run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion
T_m2_r1,0.45,0.033,Composite,9.36e9,0.33,0.25,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.15,2.2e9,0.48,0.8,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.4,Liquid,2200000000.0,440029.33528897085
T_m2_r2,0.45,0.033,Composite,9.36e9,0.33,0.25,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.15,2.2e9,0.48,0.8,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.4,Liquid,2200000000.0,440029.33528897085
T_m5_r1,0.50,0.033,Composite,9.43e9,0.33,0.15,0.04,0.01,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.05,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.10,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,440029.33528897085
T_m5_r2,0.50,0.033,Composite,9.43e9,0.33,0.15,0.04,0.01,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.05,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.10,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,440029.33528897085
T_m10_r1,0.50,0.033,Composite,9.49e9,0.33,0.10,0.04,0.01,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.03,0.07,2.2e9,0.48,0.7,0.1,0.002,200000,OFF,Gmsh,0.10,xz,Lesicar,No,0,0.02,0.005,Z,0.6,Liquid,2200000000.0,440029.33528897085
T_m10_r2,0.50,0.033,Composite,9.49e9,0.33,0.10,0.04,0.01,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.03,0.07,2.2e9,0.48,0.7,0.1,0.002,200000,OFF,Gmsh,0.10,xz,Lesicar,No,0,0.02,0.005,Z,0.6,Liquid,2200000000.0,440029.33528897085
T_m15_r1,0.55,0.027,Composite,9.53e9,0.33,0.05,0.035,0.008,Uniaxial Tension X,0.0055,Simple Shear S13,0.0055,0.02,0.03,2.2e9,0.48,0.7,0.1,0.002,200000,OFF,Gmsh,0.09,xz,Lesicar,No,0,0.02,0.005,Z,0.6,Liquid,2200000000.0,440029.33528897085
T_m15_r2,0.55,0.027,Composite,9.53e9,0.33,0.05,0.035,0.008,Uniaxial Tension X,0.0055,Simple Shear S13,0.0055,0.02,0.03,2.2e9,0.48,0.7,0.1,0.002,200000,OFF,Gmsh,0.09,xz,Lesicar,No,0,0.02,0.005,Z,0.6,Liquid,2200000000.0,440029.33528897085
T_m20_r1,0.55,0.027,Composite,9.59e9,0.33,0.03,0.03,0.008,Uniaxial Tension X,0.0055,Simple Shear S13,0.0055,0.01,0.02,2.2e9,0.48,0.7,0.1,0.001,200000,OFF,Gmsh,0.09,xz,Lesicar,No,0,0.02,0.005,Z,0.7,Liquid,2200000000.0,440029.33528897085
T_m20_r2,0.55,0.027,Composite,9.59e9,0.33,0.03,0.03,0.008,Uniaxial Tension X,0.0055,Simple Shear S13,0.0055,0.01,0.02,2.2e9,0.48,0.7,0.1,0.001,200000,OFF,Gmsh,0.09,xz,Lesicar,No,0,0.02,0.005,Z,0.7,Liquid,2200000000.0,440029.33528897085
