run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
ICE_z05,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.008,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.020,0.022,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.02,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,Yes
ICE_z15,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.008,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.015,0.019,2.2e9,0.48,0.84,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.02,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,Yes
ICE_z25,0.50,0.033,Composite,4.670e9,0.33,0.030,0.032,0.009,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.018,2.2e9,0.48,0.83,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.02,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,Yes
ICE_z35,0.50,0.033,Composite,4.660e9,0.33,0.029,0.033,0.009,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.010,0.019,2.2e9,0.48,0.82,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.02,0.005,Z,0.48,Liquid,2200000000.0,440029.33528897085,Yes
ICE_z45,0.50,0.033,Composite,4.650e9,0.33,0.030,0.035,0.010,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.010,0.020,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.02,0.005,Z,0.50,Liquid,2200000000.0,440029.33528897085,Yes
ICE_z55,0.50,0.033,Composite,4.635e9,0.33,0.033,0.037,0.010,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.010,0.023,2.2e9,0.48,0.78,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.02,0.005,Z,0.53,Liquid,2200000000.0,440029.33528897085,Yes
ICE_z65,0.50,0.033,Composite,4.626e9,0.33,0.040,0.039,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.010,0.030,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.02,0.005,Z,0.55,Liquid,2200000000.0,440029.33528897085,Yes
ICE_z75,0.50,0.033,Composite,4.616e9,0.33,0.053,0.041,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.041,2.2e9,0.48,0.72,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.02,0.005,Z,0.58,Liquid,2200000000.0,440029.33528897085,Yes
ICE_z85,0.50,0.033,Composite,4.601e9,0.33,0.065,0.043,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.015,0.050,2.2e9,0.48,0.68,0.12,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.018,0.020,0.005,Z,0.62,Liquid,2200000000.0,440029.33528897085,Yes
ICE_z95,0.50,0.033,Composite,4.591e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.020,0.090,2.2e9,0.48,0.62,0.12,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.025,0.006,Z,0.70,Liquid,2200000000.0,440029.33528897085,Yes
