run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
BSW_L050_s1,0.50,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0050,Uniaxial Tension Z,0.0050,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L050_s2,0.50,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0050,Uniaxial Tension Z,0.0050,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L050_s3,0.50,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0050,Uniaxial Tension Z,0.0050,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L050_s4,0.50,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0050,Uniaxial Tension Z,0.0050,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L050_s5,0.50,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0050,Uniaxial Tension Z,0.0050,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L065_s1,0.65,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0065,Uniaxial Tension Z,0.0065,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L065_s2,0.65,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0065,Uniaxial Tension Z,0.0065,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L065_s3,0.65,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0065,Uniaxial Tension Z,0.0065,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L065_s4,0.65,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0065,Uniaxial Tension Z,0.0065,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L065_s5,0.65,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0065,Uniaxial Tension Z,0.0065,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L080_s1,0.80,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0080,Uniaxial Tension Z,0.0080,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L080_s2,0.80,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0080,Uniaxial Tension Z,0.0080,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L080_s3,0.80,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0080,Uniaxial Tension Z,0.0080,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L080_s4,0.80,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0080,Uniaxial Tension Z,0.0080,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L080_s5,0.80,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0080,Uniaxial Tension Z,0.0080,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L100_s1,1.00,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0100,Uniaxial Tension Z,0.0100,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L100_s2,1.00,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0100,Uniaxial Tension Z,0.0100,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L100_s3,1.00,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0100,Uniaxial Tension Z,0.0100,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L100_s4,1.00,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0100,Uniaxial Tension Z,0.0100,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
BSW_L100_s5,1.00,0.033,Composite,9.37e9,0.33,0.110,0.045,0.012,Uniaxial Tension X,0.0100,Uniaxial Tension Z,0.0100,0.020,0.090,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.060,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
