run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion
BND_L096_s01,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0096,,,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
BND_L096_s02,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0096,,,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
BND_L096_s03,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0096,,,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
BND_L096_s04,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0096,,,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
BND_L096_s05,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0096,,,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
BND_L096_s06,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0096,,,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
BND_L096_s07,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0096,,,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
BND_L096_s08,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0096,,,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
BND_L112_s01,1.12,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0112,,,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
BND_L112_s02,1.12,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0112,,,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
