run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
BRINE_iso_G0p1,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.05,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.55,Liquid,2200000000.0,44002.93352889709,No
BRINE_iso_G1,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.05,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.55,Liquid,2200000000.0,440029.33528897085,No
BRINE_iso_G10,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.05,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.55,Liquid,2200000000.0,4400293.352889708,No
BRINE_iso_G100,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.05,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.55,Liquid,2200000000.0,44002933.528897084,No
BRINE_iso_G1000,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.05,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.55,Liquid,2200000000.0,440029335.2889708,No
BRINE_iso_K0p1,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.05,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.55,Liquid,220000000.0,440029.33528897085,No
BRINE_iso_K10,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.05,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.55,Liquid,22000000000.0,440029.33528897085,No
BRINE_chan_G0p1,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,44002.93352889709,No
BRINE_chan_G1,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
BRINE_chan_G10,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,4400293.352889708,No
BRINE_chan_G100,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,44002933.528897084,No
BRINE_chan_G1000,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029335.2889708,No
BRINE_chan_K0p1,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,220000000.0,440029.33528897085,No
BRINE_chan_K10,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,22000000000.0,440029.33528897085,No
