run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
CHAN_r015f20,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.064,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.016,0.015,0.0037,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
CHAN_r015f40,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.015,0.0037,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
CHAN_r015f60,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.032,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.048,0.015,0.0037,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
CHAN_r020f20,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.064,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.016,0.020,0.0050,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
CHAN_r020f40,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.020,0.0050,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
CHAN_r020f60,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.032,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.048,0.020,0.0050,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
CHAN_r025f20,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.064,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.016,0.025,0.0063,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
CHAN_r025f40,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.025,0.0063,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
CHAN_r025f60,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.032,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.048,0.025,0.0063,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
CHAN_r030f20,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.064,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.016,0.030,0.0075,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
CHAN_r030f40,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.030,0.0075,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
CHAN_r030f60,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.032,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.048,0.030,0.0075,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
