run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
CSEED_z05_s6,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.020,0.022,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
CSEED_z05_s7,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.020,0.022,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
CSEED_z05_s8,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.020,0.022,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
CSEED_z05_s9,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.020,0.022,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
CSEED_z05_s10,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.020,0.022,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
CSEED_z15_s6,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.019,2.2e9,0.48,0.84,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
CSEED_z15_s7,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.019,2.2e9,0.48,0.84,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
CSEED_z15_s8,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.019,2.2e9,0.48,0.84,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
CSEED_z15_s9,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.019,2.2e9,0.48,0.84,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
CSEED_z15_s10,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.019,2.2e9,0.48,0.84,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
CSEED_z25_s6,0.50,0.033,Composite,9.53e9,0.33,0.030,0.032,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.018,2.2e9,0.48,0.83,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.48,Liquid,2200000000.0,440029.33528897085,No
CSEED_z25_s7,0.50,0.033,Composite,9.53e9,0.33,0.030,0.032,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.018,2.2e9,0.48,0.83,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.48,Liquid,2200000000.0,440029.33528897085,No
CSEED_z25_s8,0.50,0.033,Composite,9.53e9,0.33,0.030,0.032,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.018,2.2e9,0.48,0.83,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.48,Liquid,2200000000.0,440029.33528897085,No
CSEED_z25_s9,0.50,0.033,Composite,9.53e9,0.33,0.030,0.032,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.018,2.2e9,0.48,0.83,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.48,Liquid,2200000000.0,440029.33528897085,No
CSEED_z25_s10,0.50,0.033,Composite,9.53e9,0.33,0.030,0.032,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.018,2.2e9,0.48,0.83,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.48,Liquid,2200000000.0,440029.33528897085,No
CSEED_z35_s6,0.50,0.033,Composite,9.51e9,0.33,0.029,0.033,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.019,2.2e9,0.48,0.82,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.51,Liquid,2200000000.0,440029.33528897085,No
CSEED_z35_s7,0.50,0.033,Composite,9.51e9,0.33,0.029,0.033,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.019,2.2e9,0.48,0.82,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.51,Liquid,2200000000.0,440029.33528897085,No
CSEED_z35_s8,0.50,0.033,Composite,9.51e9,0.33,0.029,0.033,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.019,2.2e9,0.48,0.82,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.51,Liquid,2200000000.0,440029.33528897085,No
CSEED_z35_s9,0.50,0.033,Composite,9.51e9,0.33,0.029,0.033,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.019,2.2e9,0.48,0.82,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.51,Liquid,2200000000.0,440029.33528897085,No
CSEED_z35_s10,0.50,0.033,Composite,9.51e9,0.33,0.029,0.033,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.019,2.2e9,0.48,0.82,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.51,Liquid,2200000000.0,440029.33528897085,No
CSEED_z45_s6,0.50,0.033,Composite,9.49e9,0.33,0.030,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.020,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.54,Liquid,2200000000.0,440029.33528897085,No
CSEED_z45_s7,0.50,0.033,Composite,9.49e9,0.33,0.030,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.020,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.54,Liquid,2200000000.0,440029.33528897085,No
CSEED_z45_s8,0.50,0.033,Composite,9.49e9,0.33,0.030,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.020,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.54,Liquid,2200000000.0,440029.33528897085,No
CSEED_z45_s9,0.50,0.033,Composite,9.49e9,0.33,0.030,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.020,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.54,Liquid,2200000000.0,440029.33528897085,No
CSEED_z45_s10,0.50,0.033,Composite,9.49e9,0.33,0.030,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.020,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.54,Liquid,2200000000.0,440029.33528897085,No
CSEED_z55_s6,0.50,0.033,Composite,9.46e9,0.33,0.033,0.037,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.023,2.2e9,0.48,0.78,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.58,Liquid,2200000000.0,440029.33528897085,No
CSEED_z55_s7,0.50,0.033,Composite,9.46e9,0.33,0.033,0.037,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.023,2.2e9,0.48,0.78,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.58,Liquid,2200000000.0,440029.33528897085,No
CSEED_z55_s8,0.50,0.033,Composite,9.46e9,0.33,0.033,0.037,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.023,2.2e9,0.48,0.78,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.58,Liquid,2200000000.0,440029.33528897085,No
CSEED_z55_s9,0.50,0.033,Composite,9.46e9,0.33,0.033,0.037,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.023,2.2e9,0.48,0.78,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.58,Liquid,2200000000.0,440029.33528897085,No
CSEED_z55_s10,0.50,0.033,Composite,9.46e9,0.33,0.033,0.037,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.023,2.2e9,0.48,0.78,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.58,Liquid,2200000000.0,440029.33528897085,No
CSEED_z65_s6,0.50,0.033,Composite,9.44e9,0.33,0.040,0.039,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.030,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.61,Liquid,2200000000.0,440029.33528897085,No
CSEED_z65_s7,0.50,0.033,Composite,9.44e9,0.33,0.040,0.039,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.030,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.61,Liquid,2200000000.0,440029.33528897085,No
CSEED_z65_s8,0.50,0.033,Composite,9.44e9,0.33,0.040,0.039,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.030,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.61,Liquid,2200000000.0,440029.33528897085,No
CSEED_z65_s9,0.50,0.033,Composite,9.44e9,0.33,0.040,0.039,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.030,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.61,Liquid,2200000000.0,440029.33528897085,No
CSEED_z65_s10,0.50,0.033,Composite,9.44e9,0.33,0.040,0.039,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.030,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.61,Liquid,2200000000.0,440029.33528897085,No
CSEED_z75_s6,0.50,0.033,Composite,9.42e9,0.33,0.053,0.041,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.041,2.2e9,0.48,0.72,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.64,Liquid,2200000000.0,440029.33528897085,No
CSEED_z75_s7,0.50,0.033,Composite,9.42e9,0.33,0.053,0.041,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.041,2.2e9,0.48,0.72,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.64,Liquid,2200000000.0,440029.33528897085,No
CSEED_z75_s8,0.50,0.033,Composite,9.42e9,0.33,0.053,0.041,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.041,2.2e9,0.48,0.72,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.64,Liquid,2200000000.0,440029.33528897085,No
CSEED_z75_s9,0.50,0.033,Composite,9.42e9,0.33,0.053,0.041,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.041,2.2e9,0.48,0.72,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.64,Liquid,2200000000.0,440029.33528897085,No
CSEED_z75_s10,0.50,0.033,Composite,9.42e9,0.33,0.053,0.041,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.041,2.2e9,0.48,0.72,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.64,Liquid,2200000000.0,440029.33528897085,No
CSEED_z85_s6,0.50,0.033,Composite,9.39e9,0.33,0.065,0.043,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.050,2.2e9,0.48,0.68,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.018,0.022,0.005,Z,0.67,Liquid,2200000000.0,440029.33528897085,No
CSEED_z85_s7,0.50,0.033,Composite,9.39e9,0.33,0.065,0.043,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.050,2.2e9,0.48,0.68,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.018,0.022,0.005,Z,0.67,Liquid,2200000000.0,440029.33528897085,No
CSEED_z85_s8,0.50,0.033,Composite,9.39e9,0.33,0.065,0.043,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.050,2.2e9,0.48,0.68,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.018,0.022,0.005,Z,0.67,Liquid,2200000000.0,440029.33528897085,No
CSEED_z85_s9,0.50,0.033,Composite,9.39e9,0.33,0.065,0.043,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.050,2.2e9,0.48,0.68,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.018,0.022,0.005,Z,0.67,Liquid,2200000000.0,440029.33528897085,No
