run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor,n_slabs,slab_vof,bridge_fraction,n_bridges,slab_axis,bridge_correlation
ERGL_L240_s1,0.240,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,2,0.1400,0.1633,2,x,1.0000
ERGL_L240_s2,0.240,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,2,0.1400,0.1633,2,x,1.0000
ERGL_L240_s3,0.240,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,2,0.1400,0.1633,2,x,1.0000
ERGL_L240_s4,0.240,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,2,0.1400,0.1633,2,x,1.0000
ERGL_L240_s5,0.240,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,2,0.1400,0.1633,2,x,1.0000
ERGL_L240_s6,0.240,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,2,0.1400,0.1633,2,x,1.0000
ERGL_L360_s1,0.360,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,3,0.1400,0.1633,4,x,1.0000
ERGL_L360_s2,0.360,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,3,0.1400,0.1633,4,x,1.0000
ERGL_L360_s3,0.360,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,3,0.1400,0.1633,4,x,1.0000
ERGL_L360_s4,0.360,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,3,0.1400,0.1633,4,x,1.0000
ERGL_L360_s5,0.360,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,3,0.1400,0.1633,4,x,1.0000
ERGL_L360_s6,0.360,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,3,0.1400,0.1633,4,x,1.0000
ERGL_L480_s1,0.480,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,4,0.1400,0.1633,7,x,1.0000
ERGL_L480_s2,0.480,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,4,0.1400,0.1633,7,x,1.0000
ERGL_L480_s3,0.480,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,4,0.1400,0.1633,7,x,1.0000
ERGL_L480_s4,0.480,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,4,0.1400,0.1633,7,x,1.0000
ERGL_L480_s5,0.480,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,4,0.1400,0.1633,7,x,1.0000
ERGL_L480_s6,0.480,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.008,Uniaxial Tension X,0.005,,,0.0100,0.0225,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,4,0.1400,0.1633,7,x,1.0000
