run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
GASD_v000_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0200,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.000,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v000_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0200,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.000,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v005_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0250,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.005,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v005_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0250,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.005,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v010_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0300,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v010_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0300,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.010,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v015_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0350,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v015_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0350,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v020_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0400,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.020,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v020_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0400,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.020,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v025_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0450,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.025,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v025_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0450,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.025,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v030_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0500,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.030,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v030_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0500,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.030,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v035_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0550,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.035,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v035_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0550,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.035,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v040_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0600,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.040,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v040_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0600,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.040,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v045_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0650,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.045,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v045_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0650,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.045,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
GASD_v050_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0700,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.050,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
