run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
GOCH_f020_s1,0.50,0.0280,Composite,9.3605e+09,0.33,0.1836,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.1636,2.2e9,0.48,0.59,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0409,0.026,0.006,Z,0.74,Liquid,2200000000.0,440029.33528897085,No
GOCH_f020_s2,0.50,0.0280,Composite,9.3605e+09,0.33,0.1836,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.1636,2.2e9,0.48,0.59,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0409,0.026,0.006,Z,0.74,Liquid,2200000000.0,440029.33528897085,No
GOCH_f020_s3,0.50,0.0280,Composite,9.3605e+09,0.33,0.1836,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.1636,2.2e9,0.48,0.59,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0409,0.026,0.006,Z,0.74,Liquid,2200000000.0,440029.33528897085,No
GOCH_f020_s4,0.50,0.0280,Composite,9.3605e+09,0.33,0.1836,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.1636,2.2e9,0.48,0.59,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0409,0.026,0.006,Z,0.74,Liquid,2200000000.0,440029.33528897085,No
GOCH_f020_s5,0.50,0.0280,Composite,9.3605e+09,0.33,0.1836,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.1636,2.2e9,0.48,0.59,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0409,0.026,0.006,Z,0.74,Liquid,2200000000.0,440029.33528897085,No
GOCH_f040_s1,0.50,0.0280,Composite,9.3605e+09,0.33,0.1427,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.1227,2.2e9,0.48,0.59,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0818,0.026,0.006,Z,0.74,Liquid,2200000000.0,440029.33528897085,No
GOCH_f040_s2,0.50,0.0280,Composite,9.3605e+09,0.33,0.1427,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.1227,2.2e9,0.48,0.59,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0818,0.026,0.006,Z,0.74,Liquid,2200000000.0,440029.33528897085,No
GOCH_f040_s3,0.50,0.0280,Composite,9.3605e+09,0.33,0.1427,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.1227,2.2e9,0.48,0.59,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0818,0.026,0.006,Z,0.74,Liquid,2200000000.0,440029.33528897085,No
GOCH_f040_s4,0.50,0.0280,Composite,9.3605e+09,0.33,0.1427,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.1227,2.2e9,0.48,0.59,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0818,0.026,0.006,Z,0.74,Liquid,2200000000.0,440029.33528897085,No
GOCH_f040_s5,0.50,0.0280,Composite,9.3605e+09,0.33,0.1427,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.1227,2.2e9,0.48,0.59,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0818,0.026,0.006,Z,0.74,Liquid,2200000000.0,440029.33528897085,No
