run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
GOGO_z042_s1,0.50,0.0193,Composite,9.4279e+09,0.33,0.0678,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0478,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0319,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
GOGO_z042_s2,0.50,0.0193,Composite,9.4279e+09,0.33,0.0678,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0478,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0319,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
GOGO_z042_s3,0.50,0.0193,Composite,9.4279e+09,0.33,0.0678,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0478,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0319,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
GOGO_z042_s4,0.50,0.0193,Composite,9.4279e+09,0.33,0.0678,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0478,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0319,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
GOGO_z042_s5,0.50,0.0193,Composite,9.4279e+09,0.33,0.0678,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0478,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0319,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
GOGO_z125_s1,0.50,0.0199,Composite,9.4218e+09,0.33,0.0621,0.032,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0421,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0281,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
GOGO_z125_s2,0.50,0.0199,Composite,9.4218e+09,0.33,0.0621,0.032,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0421,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0281,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
GOGO_z125_s3,0.50,0.0199,Composite,9.4218e+09,0.33,0.0621,0.032,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0421,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0281,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
GOGO_z125_s4,0.50,0.0199,Composite,9.4218e+09,0.33,0.0621,0.032,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0421,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0281,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
GOGO_z125_s5,0.50,0.0199,Composite,9.4218e+09,0.33,0.0621,0.032,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0421,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0281,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
