run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
MON2_z05,0.50,0.033,Composite,4.6944e+09,0.33,0.0291,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.0171,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
MON2_z15,0.50,0.033,Composite,4.6829e+09,0.33,0.0353,0.032,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.0233,2.2e9,0.48,0.82,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
MON2_z25,0.50,0.033,Composite,4.6714e+09,0.33,0.0414,0.034,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.0294,2.2e9,0.48,0.79,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.48,Liquid,2200000000.0,440029.33528897085,No
MON2_z35,0.50,0.033,Composite,4.6599e+09,0.33,0.0484,0.036,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.0364,2.2e9,0.48,0.77,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.51,Liquid,2200000000.0,440029.33528897085,No
MON2_z45,0.50,0.033,Composite,4.6484e+09,0.33,0.057,0.037,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.045,2.2e9,0.48,0.74,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.54,Liquid,2200000000.0,440029.33528897085,No
MON2_z55,0.50,0.033,Composite,4.6369e+09,0.33,0.0428,0.039,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.0308,2.2e9,0.48,0.72,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0253,0.022,0.005,Z,0.58,Liquid,2200000000.0,440029.33528897085,No
MON2_z65,0.50,0.033,Composite,4.6254e+09,0.33,0.0514,0.040,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.0394,2.2e9,0.48,0.69,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0323,0.022,0.005,Z,0.61,Liquid,2200000000.0,440029.33528897085,No
MON2_z75,0.50,0.033,Composite,4.6139e+09,0.33,0.0647,0.042,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.0527,2.2e9,0.48,0.67,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0431,0.022,0.005,Z,0.64,Liquid,2200000000.0,440029.33528897085,No
MON2_z85,0.50,0.033,Composite,4.6024e+09,0.33,0.0882,0.044,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.0762,2.2e9,0.48,0.64,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0623,0.022,0.005,Z,0.67,Liquid,2200000000.0,440029.33528897085,No
MON2_z95,0.50,0.033,Composite,4.5909e+09,0.33,0.1,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.088,2.2e9,0.48,0.61,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.072,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
