run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
PERC_p030off_s1,0.50,0.033,Composite,9.4374e+09,0.33,0.042,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.03,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p030off_s2,0.50,0.033,Composite,9.4374e+09,0.33,0.042,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.03,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p030off_s3,0.50,0.033,Composite,9.4374e+09,0.33,0.042,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.03,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p030off_s4,0.50,0.033,Composite,9.4374e+09,0.33,0.042,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.03,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p030off_s5,0.50,0.033,Composite,9.4374e+09,0.33,0.042,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.03,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p040off_s1,0.50,0.033,Composite,9.4374e+09,0.33,0.052,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.04,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p040off_s2,0.50,0.033,Composite,9.4374e+09,0.33,0.052,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.04,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p040off_s3,0.50,0.033,Composite,9.4374e+09,0.33,0.052,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.04,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p040off_s4,0.50,0.033,Composite,9.4374e+09,0.33,0.052,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.04,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p040off_s5,0.50,0.033,Composite,9.4374e+09,0.33,0.052,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.04,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p050off_s1,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.05,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
