run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
PERC_p030off,0.50,0.033,Composite,9.4374e+09,0.33,0.042,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.03,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p040off,0.50,0.033,Composite,9.4374e+09,0.33,0.052,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.04,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p050off,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.05,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p060off,0.50,0.033,Composite,9.4374e+09,0.33,0.072,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.06,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p070off,0.50,0.033,Composite,9.4374e+09,0.33,0.082,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.07,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p080off,0.50,0.033,Composite,9.4374e+09,0.33,0.092,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.08,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p100off,0.50,0.033,Composite,9.4374e+09,0.33,0.112,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.1,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p050on,0.50,0.033,Composite,9.4374e+09,0.33,0.0445,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.0325,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0175,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p060on,0.50,0.033,Composite,9.4374e+09,0.33,0.051,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.039,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.021,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p070on,0.50,0.033,Composite,9.4374e+09,0.33,0.0575,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.0455,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0245,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p080on,0.50,0.033,Composite,9.4374e+09,0.33,0.064,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.052,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.028,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
PERC_p100on,0.50,0.033,Composite,9.4374e+09,0.33,0.077,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.065,2.2e9,0.48,0.70,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.035,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
