run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion
RVE_L25_s1,0.25,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0025,Simple Shear S13,0.0025,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L25_s2,0.25,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0025,Simple Shear S13,0.0025,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L25_s3,0.25,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0025,Simple Shear S13,0.0025,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L25_s4,0.25,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0025,Simple Shear S13,0.0025,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L25_s5,0.25,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0025,Simple Shear S13,0.0025,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L35_s1,0.35,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0035,Simple Shear S13,0.0035,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L35_s2,0.35,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0035,Simple Shear S13,0.0035,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L35_s3,0.35,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0035,Simple Shear S13,0.0035,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L35_s4,0.35,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0035,Simple Shear S13,0.0035,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L35_s5,0.35,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0035,Simple Shear S13,0.0035,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L45_s1,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L45_s2,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L45_s3,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L45_s4,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L45_s5,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L55_s1,0.55,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0055,Simple Shear S13,0.0055,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L55_s2,0.55,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0055,Simple Shear S13,0.0055,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L55_s3,0.55,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0055,Simple Shear S13,0.0055,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L55_s4,0.55,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0055,Simple Shear S13,0.0055,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L55_s5,0.55,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0055,Simple Shear S13,0.0055,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L65_s1,0.65,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0065,Simple Shear S13,0.0065,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L65_s2,0.65,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0065,Simple Shear S13,0.0065,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L65_s3,0.65,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0065,Simple Shear S13,0.0065,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L65_s4,0.65,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0065,Simple Shear S13,0.0065,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
RVE_L65_s5,0.65,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0065,Simple Shear S13,0.0065,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
