run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
SZCH_L30_s1,0.30,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L30_s2,0.30,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L30_s3,0.30,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L30_s4,0.30,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L40_s1,0.40,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L40_s2,0.40,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L40_s3,0.40,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L40_s4,0.40,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L50_s1,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L50_s2,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L50_s3,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L50_s4,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L65_s1,0.65,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L65_s2,0.65,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L65_s3,0.65,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L65_s4,0.65,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SZCH_L80_s1,0.80,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.012,0.048,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.032,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
