run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
SKEL_c150_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0425,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0225,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.1275,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
SKEL_c150_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0425,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0225,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.1275,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
SKEL_c150_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0425,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0225,2.2e9,0.48,0.62,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.1275,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
SKEL_c220_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.053,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.033,2.2e9,0.48,0.58,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.187,0.027,0.006,Z,0.75,Liquid,2200000000.0,440029.33528897085,No
SKEL_c220_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.053,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.033,2.2e9,0.48,0.58,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.187,0.027,0.006,Z,0.75,Liquid,2200000000.0,440029.33528897085,No
SKEL_c220_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.053,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.033,2.2e9,0.48,0.58,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.187,0.027,0.006,Z,0.75,Liquid,2200000000.0,440029.33528897085,No
SKEL_c290_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0635,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0435,2.2e9,0.48,0.53,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.2465,0.031,0.007,Z,0.80,Liquid,2200000000.0,440029.33528897085,No
SKEL_c290_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0635,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0435,2.2e9,0.48,0.53,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.2465,0.031,0.007,Z,0.80,Liquid,2200000000.0,440029.33528897085,No
SKEL_c290_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0635,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0435,2.2e9,0.48,0.53,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.2465,0.031,0.007,Z,0.80,Liquid,2200000000.0,440029.33528897085,No
SKEL_c360_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.074,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.054,2.2e9,0.48,0.49,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.306,0.036,0.007,Z,0.85,Liquid,2200000000.0,440029.33528897085,No
SKEL_c360_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.074,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.054,2.2e9,0.48,0.49,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.306,0.036,0.007,Z,0.85,Liquid,2200000000.0,440029.33528897085,No
SKEL_c360_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.074,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.054,2.2e9,0.48,0.49,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.306,0.036,0.007,Z,0.85,Liquid,2200000000.0,440029.33528897085,No
SKEL_c430_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0845,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0645,2.2e9,0.48,0.44,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.3655,0.040,0.008,Z,0.90,Liquid,2200000000.0,440029.33528897085,No
SKEL_c430_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0845,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0645,2.2e9,0.48,0.44,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.3655,0.040,0.008,Z,0.90,Liquid,2200000000.0,440029.33528897085,No
SKEL_c430_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0845,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.0645,2.2e9,0.48,0.44,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.3655,0.040,0.008,Z,0.90,Liquid,2200000000.0,440029.33528897085,No
SKEL_c500_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.095,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.075,2.2e9,0.48,0.40,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.425,0.045,0.009,Z,0.95,Liquid,2200000000.0,440029.33528897085,No
SKEL_c500_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.095,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.02,0.075,2.2e9,0.48,0.40,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.425,0.045,0.009,Z,0.95,Liquid,2200000000.0,440029.33528897085,No
