run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
SKLM_z955_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0477,0.045,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.02,0.0277,2.2e9,0.48,0.60,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.1573,0.024,0.005,Z,0.72,Liquid,2200000000.0,440029.33528897085,No
SKLM_z955_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0477,0.045,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.02,0.0277,2.2e9,0.48,0.60,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.1573,0.024,0.005,Z,0.72,Liquid,2200000000.0,440029.33528897085,No
SKLM_z955_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0477,0.045,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.02,0.0277,2.2e9,0.48,0.60,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.1573,0.024,0.005,Z,0.72,Liquid,2200000000.0,440029.33528897085,No
SKLM_z970_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0635,0.045,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.02,0.0435,2.2e9,0.48,0.53,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.2465,0.031,0.007,Z,0.80,Liquid,2200000000.0,440029.33528897085,No
SKLM_z970_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0635,0.045,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.02,0.0435,2.2e9,0.48,0.53,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.2465,0.031,0.007,Z,0.80,Liquid,2200000000.0,440029.33528897085,No
SKLM_z970_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0635,0.045,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.02,0.0435,2.2e9,0.48,0.53,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.2465,0.031,0.007,Z,0.80,Liquid,2200000000.0,440029.33528897085,No
SKLM_z985_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0793,0.045,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.02,0.0593,2.2e9,0.48,0.47,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.3357,0.038,0.008,Z,0.88,Liquid,2200000000.0,440029.33528897085,No
SKLM_z985_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0793,0.045,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.02,0.0593,2.2e9,0.48,0.47,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.3357,0.038,0.008,Z,0.88,Liquid,2200000000.0,440029.33528897085,No
SKLM_z985_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0793,0.045,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.02,0.0593,2.2e9,0.48,0.47,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.3357,0.038,0.008,Z,0.88,Liquid,2200000000.0,440029.33528897085,No
SKLM_z995_s1,0.50,0.028,Composite,9.3587e+09,0.33,0.0898,0.045,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.02,0.0698,2.2e9,0.48,0.42,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.3952,0.043,0.009,Z,0.93,Liquid,2200000000.0,440029.33528897085,No
SKLM_z995_s2,0.50,0.028,Composite,9.3587e+09,0.33,0.0898,0.045,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.02,0.0698,2.2e9,0.48,0.42,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.3952,0.043,0.009,Z,0.93,Liquid,2200000000.0,440029.33528897085,No
SKLM_z995_s3,0.50,0.028,Composite,9.3587e+09,0.33,0.0898,0.045,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.02,0.0698,2.2e9,0.48,0.42,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.3952,0.043,0.009,Z,0.93,Liquid,2200000000.0,440029.33528897085,No
