run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
STEEP_z05_s1,0.50,0.033,Composite,9.5193e+09,0.33,0.0333,0.031,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.0196,0.0137,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
STEEP_z05_s2,0.50,0.033,Composite,9.5193e+09,0.33,0.0333,0.031,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.0196,0.0137,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
STEEP_z05_s3,0.50,0.033,Composite,9.5193e+09,0.33,0.0333,0.031,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.0196,0.0137,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
STEEP_z15_s1,0.50,0.033,Composite,9.5024e+09,0.33,0.0375,0.032,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.0188,0.0187,2.2e9,0.48,0.82,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
STEEP_z15_s2,0.50,0.033,Composite,9.5024e+09,0.33,0.0375,0.032,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.0188,0.0187,2.2e9,0.48,0.82,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
STEEP_z15_s3,0.50,0.033,Composite,9.5024e+09,0.33,0.0375,0.032,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.0188,0.0187,2.2e9,0.48,0.82,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
STEEP_z25_s1,0.50,0.033,Composite,9.4855e+09,0.33,0.0428,0.034,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.018,0.0248,2.2e9,0.48,0.79,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.48,Liquid,2200000000.0,440029.33528897085,No
STEEP_z25_s2,0.50,0.033,Composite,9.4855e+09,0.33,0.0428,0.034,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.018,0.0248,2.2e9,0.48,0.79,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.48,Liquid,2200000000.0,440029.33528897085,No
STEEP_z25_s3,0.50,0.033,Composite,9.4855e+09,0.33,0.0428,0.034,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.018,0.0248,2.2e9,0.48,0.79,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.48,Liquid,2200000000.0,440029.33528897085,No
STEEP_z35_s1,0.50,0.033,Composite,9.4686e+09,0.33,0.0495,0.036,0.010,Uniaxial Tension X,0.005,Simple Shear S12,0.005,0.0172,0.0323,2.2e9,0.48,0.77,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.51,Liquid,2200000000.0,440029.33528897085,No
