run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
WBL_CTRL_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.02,0.035,0.010,Uniaxial Tension X,0.005,,,0.0,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
WBL_CTRL_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.02,0.035,0.010,Uniaxial Tension X,0.005,,,0.0,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
WBL_CTRL_s3,0.50,0.033,Composite,9.4632e+09,0.33,0.02,0.035,0.010,Uniaxial Tension X,0.005,,,0.0,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
WBL_CTRL_s4,0.50,0.033,Composite,9.4632e+09,0.33,0.02,0.035,0.010,Uniaxial Tension X,0.005,,,0.0,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
WBL_CTRL_s5,0.50,0.033,Composite,9.4632e+09,0.33,0.02,0.035,0.010,Uniaxial Tension X,0.005,,,0.0,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
WBL_POCK_s1,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,,,0.012,0.05,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.55,Liquid,2200000000.0,440029.33528897085,No
WBL_POCK_s2,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,,,0.012,0.05,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.55,Liquid,2200000000.0,440029.33528897085,No
WBL_POCK_s3,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,,,0.012,0.05,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.55,Liquid,2200000000.0,440029.33528897085,No
WBL_POCK_s4,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,,,0.012,0.05,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.55,Liquid,2200000000.0,440029.33528897085,No
WBL_POCK_s5,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,,,0.012,0.05,2.2e9,0.48,0.75,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.55,Liquid,2200000000.0,440029.33528897085,No
WBL_ELON_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,,,0.012,0.05,2.2e9,0.48,0.60,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
WBL_ELON_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,,,0.012,0.05,2.2e9,0.48,0.60,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
WBL_ELON_s3,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,,,0.012,0.05,2.2e9,0.48,0.60,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
WBL_ELON_s4,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,,,0.012,0.05,2.2e9,0.48,0.60,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
WBL_ELON_s5,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.010,Uniaxial Tension X,0.005,,,0.012,0.05,2.2e9,0.48,0.60,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.60,Liquid,2200000000.0,440029.33528897085,No
WBL_GAS_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.12,0.035,0.010,Uniaxial Tension X,0.005,,,0.1,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
WBL_GAS_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.12,0.035,0.010,Uniaxial Tension X,0.005,,,0.1,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
WBL_GAS_s3,0.50,0.033,Composite,9.4632e+09,0.33,0.12,0.035,0.010,Uniaxial Tension X,0.005,,,0.1,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
WBL_GAS_s4,0.50,0.033,Composite,9.4632e+09,0.33,0.12,0.035,0.010,Uniaxial Tension X,0.005,,,0.1,0.02,2.2e9,0.48,0.80,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.40,Liquid,2200000000.0,440029.33528897085,No
