# Effective stiffness matrix C_ij (Voigt)
# RVE: BTEN_z95_s2, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,7.620841e+09,3.977276e+09,3.959304e+09,3.367325e+07,6.939341e+06,-6.891146e+06
22,3.977276e+09,7.720391e+09,3.984914e+09,7.475277e+06,-8.921036e+06,-1.268901e+07
33,3.959304e+09,3.984914e+09,7.886506e+09,2.531258e+07,-1.655261e+07,-1.011273e+07
12,3.367325e+07,7.475277e+06,2.531258e+07,1.818426e+09,-5.180075e+06,-6.866573e+06
13,6.939341e+06,-8.921036e+06,-1.655261e+07,-5.180075e+06,1.852752e+09,-1.966171e+06
23,-6.891146e+06,-1.268901e+07,-1.011273e+07,-6.866573e+06,-1.966171e+06,1.876459e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,4.948395e+07,2.231877e-03,1.734344e-03,2.239708e+05,1.142981e+05,2.384568e+04
uty,-6.946712e-04,5.013422e+07,4.832280e-04,-1.474572e+05,-3.073419e+04,-6.342171e+04
utz,3.881475e-03,1.395541e-03,5.177352e+07,4.691597e+04,-1.405567e+05,-4.251338e+04
ss12,2.692846e+05,-4.979105e+03,1.399303e+05,1.818627e+07,-7.088712e+04,-7.629069e+04
ss13,4.086514e+04,-6.645199e+04,-1.492585e+05,-7.088712e+04,1.852747e+07,1.411421e+04
ss23,-4.984848e+04,-1.146760e+05,-9.988013e+04,-7.629069e+04,1.411421e+04,1.876467e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.567403e-03,-3.454664e-03,-3.256704e-03,-6.396819e-05,-9.678317e-06,1.635572e-05
uty,-3.518539e-03,9.634768e-03,-3.286009e-03,-7.692594e-05,1.921773e-05,7.023868e-06
utz,-3.435315e-03,-3.404435e-03,9.648964e-03,-5.808752e-05,1.852485e-05,3.135602e-06
ss12,2.187088e-05,2.012822e-05,-4.146808e-06,9.683744e-03,-8.759186e-06,-2.325355e-06
ss13,-1.286657e-05,3.916883e-06,3.852108e-07,-1.157971e-05,9.687031e-03,1.612205e-05
ss23,-1.779235e-07,-5.273694e-07,-4.586694e-06,-5.518491e-06,1.997571e-05,9.665302e-03
