# Effective stiffness matrix C_ij (Voigt)
# RVE: BT80_z95_s2, L=0.8, applied_strain=0.01
,11,22,33,12,13,23
11,3.367127e+09,9.455082e+08,9.222285e+08,-1.019372e+07,-6.533395e+06,4.804187e+05
22,9.455082e+08,3.383358e+09,9.317325e+08,-1.830174e+06,2.330336e+06,-5.375749e+06
33,9.222285e+08,9.317325e+08,3.505186e+09,2.500291e+06,-5.805922e+06,-1.955664e+06
12,-1.019372e+07,-1.830174e+06,2.500291e+06,1.109700e+09,-3.040702e+06,-3.363710e+06
13,-6.533395e+06,2.330336e+06,-5.805922e+06,-3.040702e+06,1.104763e+09,-2.097889e+06
23,4.804187e+05,-5.375749e+06,-1.955664e+06,-3.363710e+06,-2.097889e+06,1.114687e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,2.968084e+07,-3.967801e-04,6.922803e-05,-1.055962e+05,-5.206173e+04,1.764376e+04
uty,-1.074787e-03,2.978745e+07,5.222237e-05,-1.326204e+03,5.889419e+04,-4.749743e+04
utz,-8.832617e-04,4.917173e-04,3.107443e+07,5.277659e+04,-4.388592e+04,-1.955281e+03
ss12,-1.267196e+05,-5.019287e+04,-9.122996e+03,1.109701e+07,-3.629412e+04,-3.221371e+04
ss13,-6.862965e+04,1.278673e+04,-6.339973e+04,-3.629412e+04,1.104765e+07,-2.388415e+04
ss23,-1.450882e+04,-6.245873e+04,-2.892074e+04,-3.221371e+04,-2.388415e+04,1.114685e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,6.019187e-03,-2.256586e-03,-2.030839e-03,-1.151746e-05,2.454128e-06,-1.317842e-05
uty,-2.218505e-03,5.986191e-03,-2.046994e-03,-9.063056e-06,-2.891596e-06,-4.962410e-06
utz,-2.139987e-03,-2.180052e-03,6.036372e-03,-1.416649e-05,1.067268e-06,-6.268666e-08
ss12,-2.375266e-07,-3.296490e-06,-1.373626e-06,6.078190e-03,-5.225395e-06,7.204307e-08
ss13,1.378299e-06,1.210199e-06,5.649669e-07,-5.405098e-06,6.052971e-03,-2.952249e-06
ss23,-1.352372e-06,2.120578e-06,1.161992e-06,2.449971e-06,-2.297539e-06,6.053963e-03
