# Effective stiffness matrix C_ij (Voigt)
# RVE: BT80_z95_s5, L=0.8, applied_strain=0.00625
# CORRECTED: extracted with applied_strain=0.01, but the deck prescribes Disp=0.005 over L=0.80, so the true strain is 0.00625. C_ij below rescaled by 1.6; stress/strain blocks below are raw ODB output and are unchanged.
,11,22,33,12,13,23
11,5.394285e+09,1.499589e+09,1.481667e+09,-1.590834e+07,5.821957e+06,2.179386e+05
22,1.499589e+09,5.343573e+09,1.490527e+09,-1.890133e+06,-3.994872e+06,2.792227e+06
33,1.481667e+09,1.490527e+09,5.612480e+09,-1.910286e+06,-1.454783e+06,2.364549e+06
12,-1.590834e+07,-1.890133e+06,-1.910286e+06,1.707893e+09,2.727886e+06,-4.764798e+06
13,5.821957e+06,-3.994872e+06,-1.454783e+06,2.727886e+06,1.755178e+09,-1.025698e+07
23,2.179386e+05,2.792227e+06,2.364549e+06,-4.764798e+06,-1.025698e+07,1.769590e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,2.972473e+07,2.777286e-04,4.445878e-04,-1.439121e+05,3.694954e+04,-1.049631e+04
uty,1.224419e-04,2.939494e+07,-4.579091e-04,5.073036e+04,-3.264342e+04,7.726555e+03
utz,7.536558e-04,1.077535e-04,3.105853e+07,2.194357e+04,-4.141382e+03,1.473086e+04
ss12,-1.683334e+05,-2.516924e+04,-4.580529e+04,1.067445e+07,1.293570e+04,-2.788122e+04
ss13,2.714299e+04,-2.402283e+04,-3.280725e+03,1.293570e+04,1.096985e+07,-6.601756e+04
ss23,2.263882e+03,1.571250e+04,2.115161e+04,-2.788122e+04,-6.601756e+04,1.105994e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,6.031579e-03,-2.233829e-03,-2.037680e-03,-5.821921e-05,-7.928451e-06,-2.044898e-06
uty,-2.212535e-03,6.029911e-03,-2.065363e-03,1.904127e-05,4.677720e-07,-2.572927e-06
utz,-2.147147e-03,-2.196463e-03,6.060370e-03,-9.608943e-06,5.974649e-06,5.121055e-06
ss12,-1.561524e-05,9.050753e-06,1.289610e-06,6.039399e-03,-3.445761e-06,1.114462e-06
ss13,-2.954233e-06,-9.654887e-08,2.688145e-06,-4.112292e-06,6.062080e-03,-2.340640e-06
ss23,-9.714046e-07,-2.289105e-06,1.599876e-06,2.361725e-06,-1.143992e-06,6.055896e-03
