# Effective stiffness matrix C_ij (Voigt)
# RVE: CTEN_z65, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,1.198953e+10,5.753596e+09,5.752747e+09,4.118303e+06,-2.054827e+06,4.151464e+06
22,5.753596e+09,1.199474e+10,5.747149e+09,5.292335e+06,5.281809e+05,3.512404e+06
33,5.752747e+09,5.747149e+09,1.195915e+10,-3.815786e+06,7.222438e+05,5.791353e+06
12,4.118303e+06,5.292335e+06,-3.815786e+06,3.094938e+09,3.702090e+06,-7.359577e+04
13,-2.054827e+06,5.281809e+05,7.222438e+05,3.702090e+06,3.095141e+09,-3.356630e+06
23,4.151464e+06,3.512404e+06,5.791353e+06,-7.359577e+04,-3.356630e+06,3.099581e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,8.254602e+07,6.900919e-04,1.739537e-03,4.680635e+04,1.051689e+04,4.252071e+03
uty,9.748074e-04,8.264089e+07,9.189056e-04,5.886075e+04,-1.022684e+03,2.252499e+04
utz,-2.595844e-03,-2.284332e-03,8.232975e+07,-9.373306e+04,-2.461027e+03,4.717135e+04
ss12,4.368068e+04,5.275779e+04,-6.190256e+04,3.094941e+07,4.621772e+04,-2.465617e+03
ss13,1.304130e+04,4.363841e+03,3.285230e+03,4.621772e+04,3.095143e+07,-5.475802e+04
ss23,5.729131e+04,7.106042e+04,8.953490e+04,-2.465617e+03,-5.475802e+04,3.099585e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.775177e-03,-3.238309e-03,-3.254659e-03,3.424053e-06,1.061612e-05,-3.301573e-06
uty,-3.240175e-03,9.760239e-03,-3.246481e-03,2.413184e-06,-3.549815e-06,5.624025e-06
utz,-3.245924e-03,-3.234436e-03,9.758262e-03,-8.245692e-06,-5.022628e-06,4.078452e-06
ss12,1.210591e-06,7.465608e-07,-2.921727e-06,9.771799e-03,2.711261e-06,-5.770635e-07
ss13,4.531537e-06,-1.230321e-06,-1.646292e-06,3.226404e-06,9.770900e-03,-6.943063e-06
ss23,-3.549883e-07,2.755641e-06,1.981823e-06,-5.276336e-07,-6.743468e-06,9.782278e-03
