run_id,nlgeom,eps,sigma
NLGCMP_z25,ON,0.0,0.0
NLGCMP_z25,ON,-0.0010000000474974513,-8893727.0
NLGCMP_z25,ON,-0.0020000000949949026,-17807776.0
NLGCMP_z25,ON,-0.0035000001080334187,-31217094.0
NLGCMP_z25,ON,-0.005499999970197678,-49167900.0
NLGCMP_z25,ON,-0.007499999832361937,-67201128.0
NLGCMP_z25,ON,-0.009499999694526196,-85317280.0
NLGCMP_z25,ON,-0.011500000022351742,-103516864.0
NLGCMP_z25,ON,-0.013500000350177288,-121800400.0
NLGCMP_z25,ON,-0.01549999974668026,-140168400.0
NLGCMP_z25,ON,-0.017500000074505806,-158621392.0
NLGCMP_z25,ON,-0.019500000402331352,-177159888.0
NLGCMP_z25,ON,-0.019999999552965164,-181807920.0
NLGCMP_z65,ON,0.0,0.0
NLGCMP_z65,ON,-0.0010000000474974513,-8209437.5
NLGCMP_z65,ON,-0.0020000000949949026,-16437223.0
NLGCMP_z65,ON,-0.0035000001080334187,-28813424.0
NLGCMP_z65,ON,-0.005499999970197678,-45379752.0
NLGCMP_z65,ON,-0.007499999832361937,-62020448.0
NLGCMP_z65,ON,-0.009499999694526196,-78735952.0
NLGCMP_z65,ON,-0.011500000022351742,-95526696.0
NLGCMP_z65,ON,-0.013500000350177288,-112393136.0
NLGCMP_z65,ON,-0.01549999974668026,-129335704.0
NLGCMP_z65,ON,-0.017500000074505806,-146354864.0
NLGCMP_z65,ON,-0.019500000402331352,-163451056.0
NLGCMP_z65,ON,-0.019999999552965164,-167737152.0
NLGCMP_z95,ON,0.0,0.0
NLGCMP_z95,ON,-0.0010000000474974513,-5166886.0
NLGCMP_z95,ON,-0.0020000000949949026,-10344162.0
NLGCMP_z95,ON,-0.0035000001080334187,-18129598.0
NLGCMP_z95,ON,-0.005499999970197678,-28546782.0
NLGCMP_z95,ON,-0.007499999832361937,-39006004.0
NLGCMP_z95,ON,-0.009499999694526196,-49507452.0
NLGCMP_z95,ON,-0.011500000022351742,-60051316.0
NLGCMP_z95,ON,-0.013500000350177288,-70637776.0
NLGCMP_z95,ON,-0.01549999974668026,-81267016.0
NLGCMP_z95,ON,-0.017500000074505806,-91939224.0
NLGCMP_z95,ON,-0.019500000402331352,-102654592.0
NLGCMP_z95,ON,-0.019500000402331352,-102674976.0
