run_id,n_bridges,bridge_fraction,phi_inclusion,E_x_GPa,n_exponent,solved_on
AR_n3_ran115,3,0.3144,0.09543,2.4658,0.9718,roihu
AR_n3_ran129,3,0.3144,0.09512,2.5069,0.9580,roihu
AR_n3_ran143,3,0.3144,0.09492,2.4595,0.9749,roihu
AR_b3144_lat101,4,0.3144,0.09565,3.7208,0.6158,roihu
AR_b3144_ran115,4,0.3144,0.09634,3.7395,0.6104,roihu
AR_b3144_ran136,4,0.3144,0.09542,3.8133,0.5950,roihu
AR_b3144_ran143,4,0.3144,0.09595,3.6726,0.6266,roihu
AR_n5_ran122,5,0.3144,0.09553,3.2156,0.7422,roihu
AR_n5_ran136,5,0.3144,0.09522,3.2540,0.7324,roihu
AR_n5_ran164,5,0.3144,0.09472,3.2593,0.7319,roihu
