run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
BSW_L050_s1,0.50,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6618060890.471417,0.3337752990246138,0.026553847127710695,0.12168076910903616,0.1445441981938569,0.17109804532156758,7429146653.644909,0.3433418479659954,6618060890.471417,0.3337752990246138,MISSING,1.1225564068685558
BSW_L050_s2,0.50,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6603327216.777286,0.33329066275689123,0.01981209971973752,0.12252348753503281,0.16013382980928115,0.17994592952901867,7350675573.922681,0.34404032812200025,6603327216.777286,0.33329066275689123,MISSING,1.1131775440790792
BSW_L050_s3,0.50,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6632891378.417442,0.33526570079663676,0.02031178617970575,0.12246102672753678,0.14977315046377182,0.17008493664347757,7434445412.000721,0.34333824037067395,6632891378.417442,0.33526570079663676,MISSING,1.1208453429814078
BSW_L050_s4,0.50,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6695412785.538244,0.3323824798626451,0.02778977074058453,0.12152627865742693,0.14139643787088474,0.16918620861146927,7426579189.112097,0.3431079952081509,6695412785.538244,0.3323824798626451,MISSING,1.1092040815098265
BSW_L050_s5,0.50,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6468570566.365893,0.33513023353347127,0.02225398402708767,0.12221825199661404,0.16041604399026888,0.18267002801735654,7327087626.845258,0.3445022254682132,6468570566.365893,0.33513023353347127,MISSING,1.132721294708189
BSW_L065_s1,0.65,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6607573382.642748,0.3354318654807982,0.021425415748245746,0.26874104520013803,0.15110097939396447,0.17252639514221021,7410771828.919939,0.343389687468057,6607573382.642748,0.3354318654807982,MISSING,1.1215572495020776
BSW_L065_s2,0.65,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6558035415.671568,0.3352138234481827,0.0201672610515522,0.2690865659337175,0.1557011843873268,0.175868445438879,7374630472.041075,0.34349860390671216,6558035415.671568,0.3352138234481827,MISSING,1.1245182443538062
BSW_L065_s3,0.65,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6651631298.213675,0.33362462489803946,0.020282227421181465,0.26905499329445803,0.15392627641311601,0.17420850383429748,7372413446.519497,0.3438187615261272,6651631298.213675,0.33362462489803946,MISSING,1.1083617109834984
BSW_L065_s4,0.65,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6664031428.6149025,0.33534363595016325,0.019951051800756514,0.26914594239921724,0.15161397139613733,0.17156502319689385,7420147099.10768,0.3434977277725937,6664031428.6149025,0.33534363595016325,MISSING,1.1134622005601695
BSW_L065_s5,0.65,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6614407242.292808,0.33397263595050974,0.020504877129244092,0.26899384811838134,0.15304295251300118,0.17354782964224527,7398831679.734365,0.344083818233055,6614407242.292808,0.33397263595050974,MISSING,1.1185933083203456
BSW_L080_s1,0.80,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6596200215.156928,0.335221781757417,0.020137502568251753,0.5016895986850552,0.15141621680978226,0.17155371937803401,7410546307.115995,0.34387220624819204,6596200215.156928,0.335221781757417,MISSING,1.123456848700232
BSW_L080_s2,0.80,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6518541742.028038,0.3355074445580727,0.022539980008821958,0.5004595302354833,0.15291058698303509,0.17545056699185704,7389131554.731342,0.34407010308675856,6518541742.028038,0.3355074445580727,MISSING,1.1335559159022042
BSW_L080_s3,0.80,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6636544088.628573,0.33471862353336773,0.019845767495200284,0.5018389670424576,0.15201436423308654,0.17186013172828682,7410891739.67162,0.34352408883788865,6636544088.628573,0.33471862353336773,MISSING,1.116679350080693
BSW_L080_s4,0.80,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6655498973.9566765,0.33553958497116076,0.020129436868369432,0.501693728323395,0.14903795673038897,0.1691673935987584,7426466336.5528555,0.34342335397872825,6655498973.9566765,0.33553958497116076,MISSING,1.1158391527987632
BSW_L080_s5,0.80,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6648877114.883502,0.33444856248802296,0.02111538006962632,0.5011889254043514,0.14838482704380115,0.16950020711342748,7419702458.148897,0.34348986599534065,6648877114.883502,0.33444856248802296,MISSING,1.1159331613363561
BSW_L100_s1,1.00,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6596608333.301294,0.33515487590759196,0.020216547133492524,0.9797834528665075,0.15038540520944066,0.17060195234293318,7425299401.321373,0.34368381054966635,6596608333.301294,0.33515487590759196,MISSING,1.125623809410761
BSW_L100_s2,1.00,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6580740258.982041,0.336206184526326,0.020048857075480653,0.9799511429245193,0.14961226861388902,0.16966112568936967,7421550123.884056,0.3435415085144358,6580740258.982041,0.336206184526326,MISSING,1.1277682801345024
BSW_L100_s3,1.00,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6594935580.808328,0.3358702657137086,0.01984430928606451,0.9801556907139355,0.1508187462392709,0.17066305552533542,7422630442.143062,0.34383328680851755,6594935580.808328,0.3358702657137086,MISSING,1.1255046165641673
BSW_L100_s4,1.00,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6629160783.840018,0.33446032965045425,0.019866547293627024,0.980133452706373,0.1511489031441898,0.17101545043781682,7420488949.958909,0.34376659664309456,6629160783.840018,0.33446032965045425,MISSING,1.1193707909525925
BSW_L100_s5,1.00,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,6641560419.809701,0.3340206813332597,0.020590657785650057,0.9794093422143499,0.14881855815014014,0.1694092159357902,7406995272.328033,0.3435177086116803,6641560419.809701,0.3340206813332597,MISSING,1.115249249293175
