run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_eff,D_rve,E_bending,porosity,N_membrane,B_coupling
BND_L096_s01,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,419202867.4159466,5922711229.902857,0.09900725387644971,62.81674826429769,571.0613509516071
BND_L096_s02,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,428022945.29327214,6047325774.203721,0.09892442908369325,-124.3729452369402,-1130.663144644254
BND_L096_s03,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,419827205.1538292,5931532190.871476,0.09841443443011377,456.8114408075959,4152.8313025716025
BND_L096_s04,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,410885561.2423184,5805200099.836539,0.09795666162120442,3.5753357315996936,32.503052281572934
BND_L096_s05,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,423402139.9799377,5982040687.560156,0.09791398412904428,-135.49140548776322,-1231.7400565630683
BND_L096_s06,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,419275876.36458373,5923742737.446309,0.09849365063382931,-109.53164292474113,-995.7422138022704
BND_L096_s07,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,417854300.14137655,5903657985.847991,0.09812219674592104,99.31898821147036,902.8998977240058
BND_L096_s08,0.96,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,434259492.8887121,6135438889.238035,0.09802797661681473,-106.87870489957578,-971.6245952609925
BND_L112_s01,1.12,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,758234588.8742592,5782461466.817357,0.09915006210761435,-1889.8391104783645,-17180.35564289686
BND_L112_s02,1.12,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,802607160.2046804,6120856322.006844,0.09853856874218403,369.44163994424827,3358.5603813282387
BND_L112_s03,1.12,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,772869080.4902521,5894067274.700086,0.09862714199642242,-642.0725128809628,-5837.022876000905
BND_L112_s04,1.12,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,791150079.6571361,6033482140.242386,0.09918649105768085,72.97202527944636,663.3820515895716
BND_L112_s05,1.12,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,771157584.0163516,5881015031.296606,0.0987460962474237,116.5404378489161,1059.4585316400235
BND_L112_s06,1.12,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,778362083.1504579,5935958104.643524,0.09801872200168704,-142.564613501969,-1296.041947949729
BND_L112_s07,1.12,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,788521937.0142784,6013439354.296433,0.0987114654852772,-87.18938994619114,-792.6308219875993
BND_L112_s08,1.12,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,0,0.0,0.09805001144336434,0.0,0
BND_L128_s01,1.28,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,0,0.0,0.09858535956352965,0.0,0
BND_L128_s02,1.28,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,0,0.0,0.0999309830406897,0.0,0
BND_L128_s03,1.28,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,0,0.0,0.09837830543018877,0.0,0
BND_L128_s04,1.28,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,0,0.0,0.0988878858558897,0.0,0
BND_L128_s05,1.28,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,0,0.0,0.09821999864449693,0.0,0
BND_L128_s06,1.28,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,0,0.0,0.09846781151808737,0.0,0
BND_L128_s07,1.28,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,0,0.0,0.09837519136553663,0.0,0
BND_L128_s08,1.28,0.033,Composite,9.43e9,0.33,0.20,0.04,0.10,0.10,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,MISSING,0,0.0,0.09881677803624889,0.0,0
