run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
BRKB_b020_drn_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,284726826.6523457,0.011777028814130506,0.010135419524292422,0.12373307255946345,0.1465126374292216,0.15664805695351403,7710820368.392193,0.3185130043596993,284726826.6523457,0.011777028814130506,MISSING,27.08146773190143
BRKB_b020_drn_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,266878268.92037868,0.011553486697514485,0.010337902566553092,0.12370776217918086,0.14526826607001192,0.155606168636565,7701286281.446347,0.33817216177536813,266878268.92037868,0.011553486697514485,MISSING,28.856925341283496
BRKB_b020_drn_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,287731985.3027913,0.012461082926899611,0.010261851568101221,0.12371726855398735,0.14630407824219246,0.15656592981029369,7686019960.597514,0.3298502851537934,287731985.3027913,0.012461082926899611,MISSING,26.712428069160346
BRKB_b020_und_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5440758395.211276,0.2707102079342567,0.010030848802436543,0.12374614389969543,0.1460660504710427,0.15609689927347925,7715575253.487322,0.3535596059325593,5440758395.211276,0.2707102079342567,MISSING,1.4181065750462736
BRKB_b020_und_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5404931535.205842,0.2710106103331862,0.010027092897450629,0.12374661338781867,0.1468141530087621,0.15684124590621273,7710052186.00621,0.3533901066821047,5404931535.205842,0.2710106103331862,MISSING,1.4264847086009536
BRKB_b020_und_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5382429740.030362,0.2703086602274851,0.010078574358167947,0.123740178205229,0.1452143259681875,0.15529290032635545,7736835202.140933,0.3536020151818188,5382429740.030362,0.2703086602274851,MISSING,1.4374242815656875
BRKB_b040_drn_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,416980135.0917961,0.018277472111923015,0.009895576504913128,0.12376305293688586,0.14717954090269972,0.15707511740761285,7675080495.265654,0.33153584696688343,416980135.0917961,0.018277472111923015,MISSING,18.406345648998418
BRKB_b040_drn_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,424724132.04678595,0.017361425365112752,0.01000169064446399,0.123749788669442,0.14596191479104959,0.15596360543551357,7702427037.335105,0.32190514132535136,424724132.04678595,0.017361425365112752,MISSING,18.13512926665216
BRKB_b040_drn_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,426438119.77832997,0.01776602739149752,0.010649610803218579,0.12366879864959768,0.14422454971292176,0.15487416051614034,7715930763.964348,0.32651827365574276,426438119.77832997,0.01776602739149752,MISSING,18.093904850662096
BRKB_b040_und_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5492386608.597224,0.2716824944424616,0.010088067471527351,0.12373899156605908,0.14647041166545113,0.15655847913697848,7703361612.874338,0.35339916739576815,5492386608.597224,0.2716824944424616,MISSING,1.4025526900849037
BRKB_b040_und_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5479271329.07227,0.2717682651455502,0.009780164718080409,0.12377747941023995,0.14659671098083435,0.15637687569891476,7714211497.252329,0.3533108243083219,5479271329.07227,0.2717682651455502,MISSING,1.4078900339031888
BRKB_b040_und_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5454221338.213291,0.2709590975310723,0.00987499644219958,0.12376562544472505,0.144906371170571,0.1547813676127706,7746074151.462679,0.35349563128201733,5454221338.213291,0.2709590975310723,MISSING,1.4201979844844652
BRKB_b080_drn_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,720525955.6767914,0.03160165727210116,0.009866611947196402,0.12376667350660045,0.14653082590543873,0.15639743785263513,7667211611.396551,0.326571588493535,720525955.6767914,0.03160165727210116,MISSING,10.641131732991804
BRKB_b080_drn_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,730429262.5112681,0.031256353956171906,0.010049965309225639,0.1237437543363468,0.14706246028617506,0.1571124255954007,7656281043.953778,0.32943380693672486,730429262.5112681,0.031256353956171906,MISSING,10.481892548541847
