run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
BRKC_L250_drn_s1,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,829056695.4517065,0.032893388356494586,0.012136852432611533,0.015435361680740445,0.14567324531913073,0.15781009775174226,7695701554.358523,0.31847100292155006,829056695.4517065,0.032893388356494586,MISSING,9.282479227992443
BRKC_L250_drn_s2,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,809837676.1433114,0.03294773106254957,0.013616171471063865,0.015412247320764627,0.13877589109531385,0.15239206256637772,7788322321.480953,0.3210008373969407,809837676.1433114,0.03294773106254957,MISSING,9.617140015726692
BRKC_L250_drn_s3,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,810003436.7106544,0.033157693635956546,0.010510089716714743,0.015460779848176332,0.14235561739198044,0.15286570710869518,7765989662.048654,0.32590883366185985,810003436.7106544,0.033157693635956546,MISSING,9.587600879306866
BRKC_L250_und_s1,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5546351617.783887,0.2730234493227459,0.011541487128720718,0.015444664263613739,0.14693870091778294,0.15848018804650366,7684863333.029581,0.3525826468933078,5546351617.783887,0.2730234493227459,MISSING,1.3855708874260235
BRKC_L250_und_s2,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5402308100.544955,0.27181843663833194,0.011897254743766794,0.015439105394628644,0.14134988670588022,0.15324714144964702,7792101933.210365,0.3526501300408863,5402308100.544955,0.27181843663833194,MISSING,1.4423653349990055
BRKC_L250_und_s3,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5310235383.588934,0.2723986698084896,0.011395468745561743,0.015446945800850598,0.14181841739615209,0.15321388614171383,7776905239.441178,0.3523219982073835,5310235383.588934,0.2723986698084896,MISSING,1.4645123384690981
BRKC_L375_drn_s1,0.375,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,654604151.7212596,0.026539823243895963,0.009900196223232682,0.052212294339790466,0.144444424355232,0.15434462057846468,7740918202.109663,0.3200677154560647,654604151.7212596,0.026539823243895963,MISSING,11.825342356529788
BRKC_L375_drn_s2,0.375,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,606951347.9329462,0.02498072664013631,0.010113793358481171,0.05220103042836134,0.14638517670434015,0.15649897006282132,7694717676.826196,0.31820380769320855,606951347.9329462,0.02498072664013631,MISSING,12.67765151693226
BRKC_L375_drn_s3,0.375,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,614747975.7544564,0.024910950254391752,0.010794651220158547,0.05216512581456195,0.14614722384192508,0.15694187506208362,7679356781.8684225,0.3225099427297906,614747975.7544564,0.024910950254391752,MISSING,12.491878110609221
BRKC_L375_und_s1,0.375,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5582216626.110012,0.2707439002958323,0.013126538501540885,0.05204215519620781,0.14340714700292917,0.15653368550447005,7718231656.440496,0.3530760203760198,5582216626.110012,0.2707439002958323,MISSING,1.3826463882357383
