run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
BRKD_L250_drn_s1,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2552092783.3123136,0.10319951156423213,0.009385608232626907,0.015478349871365205,0.14839727148168436,0.15778287971431126,7632874261.089675,0.3181510881013432,2552092783.3123136,0.10319951156423213,MISSING,2.9908294522047547
BRKD_L250_drn_s2,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,0.008858720828673228,0.01548658248705198,0.1426830205561238,0.15154174138479704,7735003790.844069,0.3207816790575875,7735003790.844069,0.3207816790575875,MISSING,
BRKD_L250_drn_s3,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2580313763.7177563,0.10345199025690643,0.010305239335645311,0.015463980635380542,0.14200780455879958,0.1523130438944449,7710204472.409094,0.31992356906136066,2580313763.7177563,0.10345199025690643,MISSING,2.9880879530325455
BRKD_L250_und_s1,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5778016911.69287,0.28366788125797615,0.009156333248387938,0.015481932292993938,0.1491913841696224,0.15834771741801035,7636970163.128586,0.3493538894343766,5778016911.69287,0.28366788125797615,MISSING,1.3217285930184428
BRKD_L250_und_s2,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5428328756.100375,0.28595658486362735,0.012811295850915672,0.015424823502329443,0.14077571777292608,0.15358701362384175,7744024030.157679,0.3495697332063218,5428328756.100375,0.28595658486362735,MISSING,1.4265945152004504
BRKD_L250_und_s3,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5856876251.56757,0.2801397244315875,0.010985883452442335,0.015453345571055589,0.14216102514897158,0.15314690860141392,7728188378.728224,0.35015648980744385,5856876251.56757,0.2801397244315875,MISSING,1.319506857714435
BRKD_L375_drn_s1,0.375,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2468451302.836287,0.09971190434874685,0.011008800433697008,0.05215383278962926,0.14322910286335802,0.15423790329705503,7684925951.487512,0.3196194223097911,2468451302.836287,0.09971190434874685,MISSING,3.11325807507623
BRKD_L375_drn_s2,0.375,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2527019862.4547095,0.10394214685736228,0.010069285735424205,0.05220337751004599,0.14580549028641027,0.15587477602183447,7635867593.664352,0.32031408621976865,2527019862.4547095,0.10394214685736228,MISSING,3.0216887912574553
BRKD_L375_drn_s3,0.375,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2527753926.32424,0.10273126777429091,0.009785803096090673,0.052218326789854594,0.14684106633262725,0.15662686942871792,7613944159.723435,0.31631237064014817,2527753926.32424,0.10273126777429091,MISSING,3.0121381992254808
BRKD_L375_und_s1,0.375,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5820666543.526711,0.2816593803508909,0.010401218478702123,0.052185873244287195,0.14610350209687267,0.1565047205755748,7670518968.179986,0.34972127918534757,5820666543.526711,0.2816593803508909,MISSING,1.3178076618579937
