run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
BRKG_n01_drn_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,755515817.989278,0.03358330281455346,0.010049838393059174,0.1237437702008676,0.14666044258219668,0.15671028097525586,7682497921.491977,0.3376317555462006,755515817.989278,0.03358330281455346,MISSING,10.168546757813884
BRKG_n01_drn_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,783550621.4030212,0.03425065624869566,0.010010766240681201,0.12374865421991485,0.1459192826951046,0.1559300489357858,7674588992.7912855,0.33404624885654177,783550621.4030212,0.03425065624869566,MISSING,9.794630727302865
BRKG_n01_drn_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,783834593.6930853,0.0351474283018597,0.010120755611758625,0.12373490554853017,0.14655350899748987,0.1566742646092485,7658884855.786027,0.3418804144106828,783834593.6930853,0.0351474283018597,MISSING,9.771047255902188
BRKG_n01_und_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5519618893.244524,0.2745398643896829,0.009901678251225343,0.12376229021859683,0.14583492910808873,0.15573660735931408,7693026577.488652,0.35371005354665863,5519618893.244524,0.2745398643896829,MISSING,1.3937604617782884
BRKG_n01_und_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5541244312.598899,0.2748723441937859,0.010543535083655575,0.12368205811454305,0.14617843491131577,0.15672196999497134,7692922269.322784,0.35312625779606793,5541244312.598899,0.2748723441937859,MISSING,1.3883023081714163
BRKG_n01_und_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5450026380.277669,0.2748275365768045,0.009914288587658637,0.12376071392654267,0.14576423879653078,0.1556785273841894,7713776427.419313,0.3533289406009045,5450026380.277669,0.2748275365768045,MISSING,1.4153649705868598
BRKG_n02_drn_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,914571920.5151055,0.04010336294064489,0.010068971277901406,0.12374137859026232,0.1469669804790381,0.15703595175693952,7667759650.725254,0.32645783082288105,914571920.5151055,0.04010336294064489,MISSING,8.383987610735542
BRKG_n02_drn_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,861658064.8863702,0.03765183016238165,0.010334057814140651,0.12370824277323242,0.14553739733374393,0.15587145514788459,7686084687.148322,0.32840432211604476,861658064.8863702,0.03765183016238165,MISSING,8.920109960511903
BRKG_n02_drn_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,889834044.2534045,0.03906594403786011,0.009912636114852047,0.1237609204856435,0.14519385609796684,0.15510649221281889,7697097400.037052,0.3254657230498825,889834044.2534045,0.03906594403786011,MISSING,8.650036992566553
BRKG_n02_und_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5576392930.133766,0.2757936169393587,0.010082216402674815,0.12373972294966565,0.14608562135614478,0.1561678377588196,7681147171.437057,0.3527761654913497,5576392930.133766,0.2757936169393587,MISSING,1.3774400885435456
BRKG_n02_und_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5517520336.676585,0.2763189190983737,0.009916292674992944,0.12376046341562588,0.14615361039693542,0.15606990307192836,7697563583.685321,0.35243875542758313,5517520336.676585,0.2763189190983737,MISSING,1.3951128612100159
BRKG_n02_und_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5500763991.860067,0.27548891084045013,0.010496297857080505,0.12368796276786494,0.1436309981494209,0.1541272960065014,7735133565.210423,0.3521504138842781,5500763991.860067,0.27548891084045013,MISSING,1.4061925900941645
BRKG_n04_drn_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1441382125.4548583,0.06116270458674619,0.010088566739387739,0.12373892915757653,0.14636287010095514,0.15645143684034288,7638670411.680748,0.3224791772121828,1441382125.4548583,0.06116270458674619,MISSING,5.299545676876079
