run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
BRKN_n1_und_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3220648335.4944363,0.2918056915105585,0.010668623321167914,0.12366642208485401,0.14411744307194319,0.1547860663931111,7747152411.536377,0.3525525715402522,3220648335.4944363,0.2918056915105585,MISSING,2.4054636223880146
BRKN_n1_und_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2305355753.467157,0.30960158424153317,0.010265261107422319,0.12371684236157221,0.14618415684706632,0.15644941795448863,7723775517.390869,0.3527305854351161,2305355753.467157,0.30960158424153317,MISSING,3.350361654930975
BRKN_n1_und_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2393683446.812613,0.2810691925453376,0.010122141897678683,0.12373473226279016,0.14505453087845144,0.15517667277613012,7747705278.153035,0.35255880428251657,2393683446.812613,0.2810691925453376,MISSING,3.236729271144747
BRKN_n1_drn_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,932177906.3624039,0.03548197091793616,0.011050600936127752,0.12361867488298403,0.145115072160527,0.15616567309665474,7695690235.530879,0.31120410236739793,932177906.3624039,0.03548197091793616,MISSING,8.255602479961606
BRKN_n1_drn_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,894519779.4407376,0.034455740834930665,0.010016529063374024,0.12374793386707825,0.14484868660318195,0.15486521566655598,7737886589.222334,0.3140258017162843,894519779.4407376,0.034455740834930665,MISSING,8.650324751969302
BRKN_n1_drn_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1000448512.8593569,0.03826509313221075,0.009930877366224555,0.12375864032922193,0.1469199868154778,0.15685086418170235,7699564551.316144,0.3099981183582993,1000448512.8593569,0.03826509313221075,MISSING,7.6961127457826
BRKN_n2_und_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,4306528377.035332,0.2738594720462245,0.010053231042994826,0.12374334611962565,0.14578558725029556,0.15583881829329038,7750563817.548503,0.35292179632118176,4306528377.035332,0.2738594720462245,MISSING,1.799724311321986
BRKN_n2_und_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,4792121895.620951,0.27335039762480107,0.009883384971431708,0.12376457687857104,0.1461245244438827,0.1560079094153144,7733678741.058861,0.35289191718977747,4792121895.620951,0.27335039762480107,MISSING,1.613831807601954
BRKN_n2_und_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5246852359.585307,0.2728719403203944,0.009891334153923736,0.12376358323075953,0.14740961060315172,0.15730094475707546,7706611350.815121,0.35326782010479585,5246852359.585307,0.2728719403203944,MISSING,1.468806595393552
BRKN_n2_drn_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,704702515.5800211,0.02878049515264324,0.01111013398467442,0.1236112332519157,0.14443283321993405,0.15554296720460847,7701323265.093539,0.31790986891840817,704702515.5800211,0.02878049515264324,MISSING,10.928474206956382
BRKN_n2_drn_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,720694533.7401792,0.028662442537841035,0.01090175460006182,0.12363728067499227,0.1449137647316805,0.1558155193317423,7720301461.536906,0.3163704621079516,720694533.7401792,0.028662442537841035,MISSING,10.712307503528516
BRKN_n2_drn_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,686662768.3734304,0.027401142238643646,0.01024516359862937,0.12371935455017133,0.1464447338801702,0.15668989747879958,7698559409.127716,0.3163945346305665,686662768.3734304,0.027401142238643646,MISSING,11.211557934565311
BRKN_n3_und_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5028264538.869019,0.2724918145297812,0.010076703176497448,0.12374041210293782,0.14437413511936725,0.1544508382958647,7749073847.836346,0.3535594410929534,5028264538.869019,0.2724918145297812,MISSING,1.5411030561210897
BRKN_n3_und_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5021193759.4203615,0.2729270278667023,0.009847923501181688,0.12376900956235229,0.14480242408277633,0.15465034758395801,7739931424.176823,0.35407603893228495,5021193759.4203615,0.2729270278667023,MISSING,1.5414524503572051
BRKN_n3_und_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5106281073.544482,0.2729933656007088,0.009848989258524066,0.12376887634268449,0.1442305343349801,0.15407952359350416,7765649103.318298,0.35343316717343753,5106281073.544482,0.2729933656007088,MISSING,1.5208032992057443
BRKN_n3_drn_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,503988482.09053123,0.021045367833008952,0.0098847303851477,0.12376440870185654,0.14551126168880435,0.15539599207395205,7724612916.269133,0.32699534480249903,503988482.09053123,0.021045367833008952,MISSING,15.326963196118367
BRKN_n3_drn_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,483692489.9817305,0.019914233540239547,0.010040187296171288,0.12374497658797859,0.14556763637184725,0.15560782366801854,7713244644.089845,0.3251217997451741,483692489.9817305,0.019914233540239547,MISSING,15.946587560995997
BRKN_n3_drn_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,481712311.4886501,0.01969280173111534,0.00987287587833996,0.1237658905152075,0.14650557719027768,0.15637845306861764,7703014435.840305,0.3203764106497782,481712311.4886501,0.01969280173111534,MISSING,15.990902146626578
BRKN_n4_und_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5451193262.110095,0.27139060555955447,0.009974207760350184,0.12375322402995623,0.1461986362239891,0.15617284398433928,7714164854.7116785,0.3534142948646447,5451193262.110095,0.27139060555955447,MISSING,1.4151332531779681
BRKN_n4_und_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5435370178.654182,0.2708396142368032,0.010476833808273911,0.12369039577396576,0.14461189289990073,0.15508872670817464,7735625840.040268,0.35356806428502563,5435370178.654182,0.2708396142368032,MISSING,1.4232012881881833
BRKN_n4_und_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5439425202.467531,0.2716844809631689,0.009788254974290256,0.12377646812821372,0.14732420170183416,0.15711245667612442,7694670966.037242,0.3535470996489706,5439425202.467531,0.2716844809631689,MISSING,1.4146110442968578
