run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
BRKS_L250_und_s1,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5570786252.072799,0.27313526392048304,0.00993266469014742,0.015469802114216447,0.14789151941744194,0.15782418410758936,7722585107.15315,0.35181507535904694,5570786252.072799,0.27313526392048304,MISSING,1.3862648390574492
BRKS_L250_und_s2,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5403956510.780957,0.27067021109875267,0.011075799297689315,0.015451940635973604,0.14131626428849842,0.15239206358618773,7805746027.441459,0.35273936605259804,5403956510.780957,0.27067021109875267,MISSING,1.4444501934589782
BRKS_L250_und_s3,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5066891892.139515,0.2733214040679396,0.009527600612653897,0.015476131240427283,0.14333810626815602,0.15286570688080992,7786340813.7741165,0.35201727178900477,5066891892.139515,0.2733214040679396,MISSING,1.5367094817739053
BRKS_L250_drn_s1,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,797797229.7995996,0.031537574532874535,0.014912269243005483,0.01539199579307804,0.14356791969579774,0.15848018893880322,7654452702.7084875,0.31632631869377836,797797229.7995996,0.031537574532874535,MISSING,9.594483932504033
BRKS_L250_drn_s2,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,658984322.1209108,0.026471205276902818,0.013168690554418605,0.01541923921008721,0.14007845579476186,0.15324714634918046,7776195544.2824335,0.32946215496818665,658984322.1209108,0.026471205276902818,MISSING,11.800273972004533
BRKS_L250_drn_s3,0.250,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,744862431.4425445,0.029399823342612742,0.012497239453548303,0.015429730633538308,0.14071664138336715,0.15321388083691545,7757987556.883633,0.3203387359641916,744862431.4425445,0.029399823342612742,MISSING,10.415329367409573
BRKS_L375_und_s1,0.375,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5415008582.646082,0.2702100336793234,0.010282345973158247,0.05219214191157173,0.14436391165999818,0.15464625763315643,7760952988.449752,0.3535774579638158,5415008582.646082,0.2702100336793234,MISSING,1.4332300438676882
BRKS_L375_und_s2,0.375,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5416497359.505028,0.2716137275457273,0.009972127858401847,0.05220850106996709,0.1463113140267088,0.15628344188511065,7721008374.533476,0.3529833374302125,5416497359.505028,0.2716137275457273,MISSING,1.425461485914772
BRKS_L375_und_s3,0.375,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5457365035.731239,0.2722756478658551,0.011023983029061601,0.05215303214495183,0.1458436338271538,0.1568676168562154,7709280018.5734625,0.3525269537292458,5457365035.731239,0.2722756478658551,MISSING,1.4126377781398467
BRKS_L375_drn_s1,0.375,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,445836451.28124803,0.01773934906077012,0.0102470016090761,0.05219400577452138,0.14649808570381193,0.15674508731288803,7698861444.349444,0.3242526928037701,445836451.28124803,0.01773934906077012,MISSING,17.268353500985395
