run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
BRINE_iso_G0p1,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8497027884.808014,0.3308865316273829,0.012381642199910559,0.12345229472501118,0.0487705975418109,0.06115223974172146,8623046672.347328,0.3325762865533204,8497027884.808014,0.3308865316273829,MISSING,1.0148309255009773
BRINE_iso_G1,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8512742416.255953,0.3307908090546166,0.01184942221675378,0.12351882222290578,0.04931644361217291,0.06116586582892669,8614053445.600159,0.33246153826421787,8512742416.255953,0.3307908090546166,MISSING,1.011901103591569
BRINE_iso_G10,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8505601047.717982,0.3308869654287956,0.011792951654834738,0.12352588104314566,0.04936216774678215,0.061155119401616886,8616206484.906305,0.33241534726376554,8505601047.717982,0.3308869654287956,MISSING,1.013003835539406
BRINE_iso_G100,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8512258579.749815,0.33052625130572727,0.01174221982502055,0.12353222252187243,0.04944860617686753,0.06119082600188808,8631033675.356834,0.3325992083053764,8512258579.749815,0.33052625130572727,MISSING,1.0139534172387077
BRINE_iso_G1000,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8628645467.642412,0.3285747897165291,0.011866791132239873,0.12351665110847002,0.04929407815677711,0.061160869289016984,8717669907.589767,0.3301506733021803,8628645467.642412,0.3285747897165291,MISSING,1.010317313451016
BRINE_iso_K0p1,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8454703880.901443,0.32257877232527477,0.013800115090200293,0.12327498561372496,0.04739908778262247,0.06119920287282277,8573733950.100263,0.3259917880013009,8454703880.901443,0.32257877232527477,MISSING,1.0140785615765562
BRINE_iso_K10,0.50,0.033,Composite,9.4374e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8617571155.030523,0.34768393381261986,0.012522301649103396,0.12343471229386208,0.04866811361684853,0.061190415265951925,8687550413.11164,0.34504106170920534,8617571155.030523,0.34768393381261986,MISSING,1.008120531507334
BRINE_chan_G0p1,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7528237152.774244,0.33209527929088944,0.01739053776878241,0.1228261827789022,0.09485486014881417,0.11224539791759658,8187791789.946884,0.33716767279054416,7528237152.774244,0.33209527929088944,MISSING,1.0876107678049949
BRINE_chan_G1,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7850055994.462882,0.33113594042143313,0.012283995224398936,0.12346450059695013,0.08302408954398999,0.09530808476838892,8336657926.518102,0.33637942260265197,7850055994.462882,0.33113594042143313,MISSING,1.0619870651111851
BRINE_chan_G10,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7922343926.113311,0.3309706820918432,0.021389886140598335,0.12232626423242521,0.07072205505414075,0.09211194119473909,8374335706.00149,0.3349352627371196,7922343926.113311,0.3309706820918432,MISSING,1.0570527843910362
BRINE_chan_G100,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7863108170.4576,0.3300644110820923,0.015596922418845693,0.12305038469764429,0.08491195127345108,0.10050887369229677,8311061549.472772,0.33577560385507155,7863108170.4576,0.3300644110820923,MISSING,1.0569689961405049
BRINE_chan_G1000,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,8013515157.369063,0.32624473200743564,0.01193962104968782,0.12350754736878902,0.09303816873389126,0.10497778978357908,8387990309.223003,0.3327185918489086,8013515157.369063,0.32624473200743564,MISSING,1.0467304478122288
BRINE_chan_K0p1,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7632411255.052593,0.3125351612110755,0.01191271697032903,0.12351091037870887,0.08818322940160783,0.10009594637193686,8263175211.414835,0.32801095410807346,7632411255.052593,0.3125351612110755,MISSING,1.0826428156560197
BRINE_chan_K10,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,8013051519.985761,0.36377369872781123,0.012581526810979682,0.12342730914862754,0.08960741969416475,0.10218894650514443,8330179354.2017,0.35229969307428777,8013051519.985761,0.36377369872781123,MISSING,1.0395764127342717
