run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
BKC_z05,0.50,0.033,Composite,9.5805e+09,0.33,0.0338,0.031,0.012,0.0218,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,9056407735.21613,0.33030384142937924,0.011664776926573195,0.12354190288417835,0.021662356628510793,0.03332713355508399,9114682652.793856,0.33086638821652214,9056407735.21613,0.33030384142937924,MISSING,1.006434661433266
BKC_z15,0.50,0.033,Composite,9.5570e+09,0.33,0.0306,0.032,0.012,0.0186,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,,,,,,,,,MISSING,MISSING,MISSING,
BKC_z25,0.50,0.033,Composite,9.5335e+09,0.33,0.0298,0.034,0.012,0.0178,2.2e9,0.79,Gmsh,Lesicar,Z,No,0,9069768976.347569,0.3301702778616274,0.012227816853180196,0.12347152289335248,0.017126796361168317,0.029354613214348513,9123591188.416801,0.3307181968551701,9069768976.347569,0.3301702778616274,MISSING,1.0059342428908158
BKC_z35,0.50,0.033,Composite,9.5100e+09,0.33,0.0306,0.036,0.012,0.0186,2.2e9,0.77,Gmsh,Lesicar,Z,No,0,9020948664.331018,0.33020835646428925,0.012558412550106368,0.1234301984312367,0.01767801230903565,0.03023642485914202,9096017801.92645,0.3309495687047693,9020948664.331018,0.33020835646428925,MISSING,1.0083216455817177
BKC_z45,0.50,0.033,Composite,9.4865e+09,0.33,0.0322,0.037,0.012,0.0202,2.2e9,0.74,Gmsh,Lesicar,Z,No,0,8980726530.148651,0.33020513149164965,0.012234059775950712,0.12347074252800616,0.019561804340554545,0.03179586411650526,9053558140.667738,0.33102444489985194,8980726530.148651,0.33020513149164965,MISSING,1.0081097682102431
BKC_z55,0.50,0.033,Composite,9.4631e+09,0.33,0.0355,0.039,0.012,0.0235,2.2e9,0.72,Gmsh,Lesicar,Z,No,0,8914683152.332478,0.3302645627207845,0.011485337973994092,0.12356433275325074,0.023619665582181426,0.03510500355617552,8986386828.638474,0.33112760635978283,8914683152.332478,0.3302645627207845,MISSING,1.0080433230301893
BKC_z65,0.50,0.033,Composite,9.4396e+09,0.33,0.0415,0.040,0.012,0.0295,2.2e9,0.69,Gmsh,Lesicar,Z,No,0,8780011007.937073,0.33008187960425095,0.011798791394732389,0.12352515107565845,0.029265446989789723,0.04106423838452211,8916484729.234228,0.3316677737044321,8780011007.937073,0.33008187960425095,MISSING,1.0155436845322614
BKC_z75,0.50,0.033,Composite,9.4161e+09,0.33,0.0534,0.042,0.012,0.0414,2.2e9,0.67,Gmsh,Lesicar,Z,No,0,8586841796.224237,0.3305162176506574,0.012169604480083862,0.12347879943998952,0.040576704603537905,0.05274630908362177,8715685606.663689,0.3323910435914047,8586841796.224237,0.3305162176506574,MISSING,1.0150047961167872
BKC_z85,0.50,0.033,Composite,9.3926e+09,0.33,0.053,0.044,0.012,0.041,2.2e9,0.64,Gmsh,Lesicar,Z,Yes,0.0273,7884260196.04485,0.33066514329557983,0.012038486615271182,0.1234951891730911,0.0764945897492062,0.08853307636447738,8396708582.888775,0.3362189497468008,7884260196.04485,0.33066514329557983,MISSING,1.0649963819181152
BKC_z95,0.50,0.033,Composite,9.3692e+09,0.33,0.1017,0.045,0.012,0.0897,2.2e9,0.61,Gmsh,Lesicar,Z,Yes,0.0598,6768564285.234644,0.3357476538303862,0.011870423858366008,0.12351619701770425,0.15188561117126928,0.1637560350296353,7515847556.310366,0.34349239381989793,6768564285.234644,0.3357476538303862,MISSING,1.1104049898301018
