run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
BKT_z05,0.50,0.033,Composite,9.5805e+09,0.33,0.0338,0.031,0.012,0.0218,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,9023727808.677717,0.33107633138487863,0.014894633514085376,0.12313817081073933,0.02080199910147229,0.035696632615557666,9052958820.764967,0.3312473329935528,9023727808.677717,0.33107633138487863,MISSING,1.0032393499346401
BKT_z15,0.50,0.033,Composite,9.5570e+09,0.33,0.0306,0.032,0.012,0.0186,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,9076653242.581678,0.33081432978783687,0.012104277136868902,0.12348696535789139,0.01837217700587246,0.03047645414274136,9133334619.005947,0.33127174022871797,9076653242.581678,0.33081432978783687,MISSING,1.006244744060328
BKT_z25,0.50,0.033,Composite,9.5335e+09,0.33,0.0298,0.034,0.012,0.0178,2.2e9,0.79,Gmsh,Lesicar,Z,No,0,9060029211.264393,0.33074800022933887,0.01339102469576825,0.12332612191302897,0.0167199516524299,0.03011097634819815,9111340412.638287,0.33109080187380024,9060029211.264393,0.33074800022933887,MISSING,1.0056634697501967
BKT_z35,0.50,0.033,Composite,9.5100e+09,0.33,0.0306,0.036,0.012,0.0186,2.2e9,0.77,Gmsh,Lesicar,Z,No,0,9032639932.946157,0.33057778135596383,0.014823032958151572,0.12314712088023105,0.015485274766533053,0.030308307724684624,9080708694.542849,0.33112189211904314,9032639932.946157,0.33057778135596383,MISSING,1.005321673614085
BKT_z45,0.50,0.033,Composite,9.4865e+09,0.33,0.0322,0.037,0.012,0.0202,2.2e9,0.74,Gmsh,Lesicar,Z,No,0,8967567625.664396,0.3308544424496198,0.011984212982170561,0.12350197337722868,0.02147723996333184,0.0334614529455024,9016314925.989395,0.3314142858553504,8967567625.664396,0.3308544424496198,MISSING,1.005435955697227
BKT_z55,0.50,0.033,Composite,9.4631e+09,0.33,0.0355,0.039,0.012,0.0235,2.2e9,0.72,Gmsh,Lesicar,Z,No,0,8896262309.507648,0.3308132155465425,0.012361189973113085,0.12345485125336086,0.023889212552703043,0.03625040252581613,8962214759.940414,0.3317226080891339,8896262309.507648,0.3308132155465425,MISSING,1.0074135011017247
BKT_z65,0.50,0.033,Composite,9.4396e+09,0.33,0.0415,0.040,0.012,0.0295,2.2e9,0.69,Gmsh,Lesicar,Z,No,0,8761273221.744017,0.33079138253287244,0.012899491072097646,0.1233875636159878,0.03042735616357284,0.043326847235670485,8871713986.832731,0.332019117978096,8761273221.744017,0.33079138253287244,MISSING,1.0126055611203426
BKT_z75,0.50,0.033,Composite,9.4161e+09,0.33,0.0534,0.042,0.012,0.0414,2.2e9,0.67,Gmsh,Lesicar,Z,No,0,8595816072.653238,0.33100783950714335,0.01398580803117322,0.12325177399610335,0.03895885532102028,0.0529446633521935,8699805211.222116,0.3327414970392488,8595816072.653238,0.33100783950714335,MISSING,1.0120976458418776
BKT_z85,0.50,0.033,Composite,9.3926e+09,0.33,0.053,0.044,0.012,0.041,2.2e9,0.64,Gmsh,Lesicar,Z,Yes,0.0273,8025349815.951605,0.33142548296635516,0.01361910222410212,0.12329761222198724,0.07009800940891253,0.08371711163301465,8429997371.347909,0.335427364892519,8025349815.951605,0.33142548296635516,MISSING,1.0504211734910303
BKT_z95,0.50,0.033,Composite,9.3692e+09,0.33,0.1017,0.045,0.012,0.0897,2.2e9,0.61,Gmsh,Lesicar,Z,Yes,0.0598,6687729833.624215,0.33401486259988955,0.013511523615489685,0.12331105954806379,0.15520107314144194,0.16871259675693162,7473098281.386661,0.3436790388349852,6687729833.624215,0.33401486259988955,MISSING,1.1174342366244838
