run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
CHAN_r015f20_s1,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7745187322.405656,0.33092822425407104,0.013460196833415594,0.12331747539582305,0.09074360443193186,0.10420380126534745,8187330635.090132,0.33678307701247234,7745187322.405656,0.33092822425407104,MISSING,1.0570862000206789
CHAN_r015f20_s2,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7793037306.725775,0.33160167482623304,0.012045393042981134,0.12349432586962736,0.0902090614551474,0.10225445449812853,8189033191.68198,0.33664039877796337,7793037306.725775,0.33160167482623304,MISSING,1.0508140625240485
CHAN_r015f20_s3,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7943373970.449689,0.3313682717813346,0.011852571509216814,0.1235184285613479,0.08005016979317325,0.09190274130239007,,,7943373970.449689,0.3313682717813346,MISSING,
CHAN_r015f20_s4,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7710585798.649618,0.33211237959697626,0.01184862892164218,0.12351892138479473,0.09371968558237587,0.10556831450401805,8163324534.611157,0.337077251647854,7710585798.649618,0.33211237959697626,MISSING,1.058716516200472
CHAN_r015f20_s5,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,,,0.01187140468752701,0.12351607441405912,0.09146491395059142,0.10333631863811843,8188182500.3598175,0.3368667769572611,8188182500.3598175,0.3368667769572611,MISSING,
CHAN_r015f40_s1,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7716788417.8228445,0.3315234962418868,0.016723951679320948,0.12290950604008488,0.08719569436008356,0.10391964603940451,8237445533.527199,0.33669866803052007,7716788417.8228445,0.3315234962418868,MISSING,1.0674706999225008
CHAN_r015f40_s2,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,,,0.012000008491199976,0.1234999989386,0.08015675183104753,0.09215676032224751,8348308738.485439,0.33623785517783933,8348308738.485439,0.33623785517783933,MISSING,
CHAN_r015f40_s3,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7603823615.736669,0.33192663814380274,0.01181650323316319,0.1235229370958546,0.09691942462708525,0.10873592786024844,8194404120.910592,0.33758114160576236,7603823615.736669,0.33192663814380274,MISSING,1.077668885421234
CHAN_r015f40_s4,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7876467806.833803,0.3308619148696951,0.012232717164485152,0.12347091035443936,0.0805797193950255,0.09281243655951066,8336794584.632825,0.33617622771349853,7876467806.833803,0.3308619148696951,MISSING,1.0584433008663645
CHAN_r015f40_s5,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7670466960.786441,0.33218619295164226,0.014853082565506215,0.12314336467931172,0.09152127457461456,0.10637435714012078,8208351469.783065,0.3368341203421803,7670466960.786441,0.33218619295164226,MISSING,1.0701240891521258
CHAN_r015f60_s1,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7792480862.471684,0.32975956531657846,0.013615412520218584,0.12329807343497268,0.08462732839308273,0.09824274091330132,8343406897.247988,0.3365104815248547,7792480862.471684,0.32975956531657846,MISSING,1.070699696861566
CHAN_r015f60_s2,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7734818573.852469,0.33107588348855455,0.017086557743068553,0.12286418028211643,0.08441784213629333,0.10150439987936188,8316231141.842968,0.33689615039159004,7734818573.852469,0.33107588348855455,MISSING,1.075168223073255
CHAN_r015f60_s3,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7732584495.520337,0.3301406231861382,0.018009279748354645,0.12274884003145567,0.07991836253152584,0.09792764227988049,8342589253.668307,0.33618988375350656,7732584495.520337,0.3301406231861382,MISSING,1.0788875645007643
CHAN_r015f60_s4,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7735240847.358193,0.33034024910042054,0.014245173144039613,0.12321935335699505,0.08523393167129711,0.09947910481533673,8322891787.96441,0.3367411852045057,7735240847.358193,0.33034024910042054,MISSING,1.0759706067597
CHAN_r015f60_s5,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7732307383.150604,0.33095305772608885,0.01361832690428888,0.12329770913696389,0.09074803879073556,0.10436636569502444,8284933821.972554,0.33713610411375855,7732307383.150604,0.33095305772608885,MISSING,1.071469796974985
CHAN_r020f20_s1,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7840248176.585315,0.33177820603283437,0.01320354042636751,0.12334955744670406,0.08313063563213774,0.09633417605850525,,,7840248176.585315,0.33177820603283437,MISSING,
CHAN_r020f20_s2,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7883407215.850333,0.33135698227330035,0.012795115328890105,0.12340061058388874,0.08221632750604968,0.09501144283493979,,,7883407215.850333,0.33135698227330035,MISSING,
CHAN_r020f20_s3,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,,,0.013619722301809745,0.12329753471227378,0.09047515188352051,0.10409487418533026,8208036724.854977,0.3367665471736703,8208036724.854977,0.3367665471736703,MISSING,
CHAN_r020f20_s4,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,,,0.012879126561626819,0.12339010917979665,0.09306891775956672,0.10594804432119354,8166395958.443274,0.33732271535251135,8166395958.443274,0.33732271535251135,MISSING,
CHAN_r020f20_s5,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7723303672.035647,0.3315221787816217,0.013619706899742345,0.1232975366375322,0.08861446859047772,0.10223417549022007,8210629922.270248,0.3365206158086492,7723303672.035647,0.3315221787816217,MISSING,1.063098159923337
CHAN_r020f40_s1,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7760023138.913477,0.3296989928487801,0.012564897873545311,0.12342938776580684,0.08958802398826289,0.1021529218618082,8249564730.699507,0.33697495445049325,7760023138.913477,0.3296989928487801,MISSING,1.0630850685652173
CHAN_r020f40_s2,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7777739293.728007,0.33071979338309065,0.011810775313284338,0.12352365308583946,0.08835590969949081,0.10016668501277515,8282147880.558372,0.3368450134644947,7777739293.728007,0.33071979338309065,MISSING,1.0648528534811035
CHAN_r020f40_s3,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7757498565.388821,0.3306457470180474,0.012344524983040728,0.12345693437711991,0.08767472346307059,0.10001924844611132,8273004390.430181,0.3367954614054187,7757498565.388821,0.3306457470180474,MISSING,1.0664525839993528
CHAN_r020f40_s4,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7862137364.231713,0.3306059159263426,0.013063263402552039,0.123367092074681,0.08253151786506585,0.09559478126761789,8297161201.461369,0.3360872637604915,7862137364.231713,0.3306059159263426,MISSING,1.0553314979217698
CHAN_r020f40_s5,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7751815784.194877,0.3309586370650707,0.016514047822123734,0.12293574402223453,0.08502961851157964,0.10154366633370338,8260333266.749476,0.33643753518018665,7751815784.194877,0.3309586370650707,MISSING,1.065599789354052
CHAN_r020f60_s1,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7907264456.565693,0.32781330338979664,0.011697718749907438,0.12353778515626157,0.08133271022705202,0.09303042897695946,8387081062.199592,0.3364039016190985,7907264456.565693,0.32781330338979664,MISSING,1.0606804803696035
CHAN_r020f60_s2,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7684825785.441192,0.3306296074517191,0.013137844642646002,0.12335776941966925,0.08960784253263299,0.10274568717527899,8303924599.467389,0.3374375226295937,7684825785.441192,0.3306296074517191,MISSING,1.0805612035082268
CHAN_r020f60_s3,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7856815211.192561,0.3306863275353534,0.011900683059637984,0.12351241461754525,0.07958068196277424,0.09148136502241222,8412022881.817562,0.33642785286790144,7856815211.192561,0.3306863275353534,MISSING,1.0706657412324105
CHAN_r020f60_s4,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7739357994.122433,0.3304765439968259,0.013808111783337296,0.12327398602708284,0.08606409017036576,0.09987220195370305,8325083887.495731,0.3367299803989718,7739357994.122433,0.3304765439968259,MISSING,1.0756814575340903
CHAN_r020f60_s5,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7762383216.791984,0.3285185493913432,0.01186538872708276,0.12351682640911466,0.08659697244611841,0.09846236117320117,8342068033.570074,0.336899544080695,7762383216.791984,0.3285185493913432,MISSING,1.0746787166503307
CHAN_r025f20_s1,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7888884738.424385,0.33109781145216094,0.011868120289632245,0.12351648496379597,0.0850275982134372,0.09689571850306944,8247706989.890448,0.3360322716304994,7888884738.424385,0.33109781145216094,MISSING,1.0454845346793251
CHAN_r025f20_s2,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7718292587.042084,0.3317550332215011,0.011899305815802563,0.12351258677302468,0.09299399219604254,0.1048932980118451,8181172706.349155,0.33708293037299575,7718292587.042084,0.3317550332215011,MISSING,1.0599718284953568
CHAN_r025f20_s3,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7744253925.368256,0.3316815862511824,0.013958113667881022,0.12325523579151487,0.08834437103921822,0.10230248470709924,8204124407.650867,0.33657785743046964,7744253925.368256,0.3316815862511824,MISSING,1.0593821543965896
CHAN_r025f20_s4,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7870057890.23703,0.33053648130698954,0.01276157749094331,0.12340480281363209,0.08460990129754009,0.0973714787884834,8252136686.354001,0.3361387807693331,7870057890.23703,0.33053648130698954,MISSING,1.0485484098650593
