run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
CHAN_r015f20,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7919817128.910572,0.33095101532901716,0.013799933318372481,0.12327500833520344,0.08014752408598902,0.0939474574043615,8274387928.002034,0.3357393162260155,7919817128.910572,0.33095101532901716,MISSING,1.0447700740206656
CHAN_r015f40,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7779521949.230112,0.3313890023621817,0.01728750896425546,0.12283906137946807,0.08343205299590117,0.10071956196015663,8266570121.37643,0.3360660623904834,7779521949.230112,0.3313890023621817,MISSING,1.0626064397433208
CHAN_r015f60,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7805395555.448439,0.3314413564903925,0.018399595121977086,0.12270005060975286,0.07323450346761362,0.0916340985895907,8418279064.870228,0.33537120235130224,7805395555.448439,0.3314413564903925,MISSING,1.0785204933008137
CHAN_r020f20,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7941198637.474043,0.3312115266170341,0.012545509019108225,0.12343181137261147,0.07998425212042637,0.0925297611395346,8284719409.282656,0.335903335767058,7941198637.474043,0.3312115266170341,MISSING,1.043258050514888
CHAN_r020f40,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7769199335.8640175,0.32977665630081804,0.017897450686537253,0.12276281866418284,0.08074110100057452,0.09863855168711178,8274310621.805256,0.33633743111835745,7769199335.8640175,0.32977665630081804,MISSING,1.0650145869741756
CHAN_r020f60,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7785494930.371237,0.3312017992239994,0.0219688093943724,0.12225389882570345,0.0719646496236992,0.0939334590180716,8378713401.993541,0.3352288318401817,7785494930.371237,0.3312017992239994,MISSING,1.076195344923822
CHAN_r025f20,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7769744530.242536,0.3306531761185173,0.013268430392664454,0.12334144620091694,0.08981754251315799,0.10308597290582244,8183055879.703718,0.3366324944161767,7769744530.242536,0.3306531761185173,MISSING,1.0531949728658943
CHAN_r025f40,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7598502949.057304,0.3306424633710141,0.019326604085428967,0.12258417448932138,0.08633381838728305,0.10566042247271201,8222590991.393152,0.3367041735066362,7598502949.057304,0.3306424633710141,MISSING,1.082133026271086
CHAN_r025f60,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7863613591.949261,0.3305656015550956,0.012226794520799222,0.1234716506849001,0.0821546558879458,0.09438145040874502,8375572041.909803,0.33645084147336113,7863613591.949261,0.3305656015550956,MISSING,1.0651047313012283
CHAN_r030f20,0.50,0.033,Composite,9.4116e+09,0.33,0.076,0.035,0.012,0.064,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.016,7792041034.194968,0.33172293507604317,0.016832195057416954,0.12289597561782288,0.08576191553890888,0.10259411059632584,8174172187.34662,0.33584880257253574,7792041034.194968,0.33172293507604317,MISSING,1.049041214166441
CHAN_r030f40,0.50,0.033,Composite,9.4116e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7759742256.891136,0.3307736113814633,0.023193515816865684,0.12210081052289179,0.0720353395157165,0.09522885533258219,8314052491.258652,0.3350434363453047,7759742256.891136,0.3307736113814633,MISSING,1.07143410386798
CHAN_r030f60,0.50,0.033,Composite,9.4116e+09,0.33,0.044,0.035,0.012,0.032,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.048,7643119446.607274,0.33032432535051404,0.012533168884814927,0.12343335388939813,0.09336120487802546,0.10589437376284039,8272905256.079749,0.33774096217539984,7643119446.607274,0.33032432535051404,MISSING,1.0823990536680717
