run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_eff,nu_eff,G_eff,D_rve,E_bending,porosity,N_membrane,B_coupling,D_classical,l_squared,l,D_ratio,E_bending_material
CHQ_L024_s01,0.24,0.033,Composite,9.43e9,0.33,0.0,0.04,0.0,0.0,2.2e9,0.75,Gmsh,Lesicar,Z,Yes,0.15,6596112264.5885515,0.33091051115862014,2517362619.1640096,1975283.518846001,7144399301.3816595,3.122779812514409e-10,-130.20866416870453,-1183.7151352204885,2047946.9246459082,-0.0005011266363456532,0.0,0.9645189018692607,6362074958.047312
CHQ_L024_s02,0.24,0.033,Composite,9.43e9,0.33,0.0,0.04,0.0,0.0,2.2e9,0.75,Gmsh,Lesicar,Z,Yes,0.15,6387918315.087992,0.3313602023685658,2487594005.5774474,2178961.5032108705,7881081825.849504,-4.931544062003468e-11,-327.5296873353978,-2977.5426282741046,1983970.8266184297,0.001360855024719468,0.03688976856418956,1.0982830362101603,7015742322.157331
CHQ_L024_s03,0.24,0.033,Composite,9.43e9,0.33,0.0,0.04,0.0,0.0,2.2e9,0.75,Gmsh,Lesicar,Z,Yes,0.15,6556610805.906538,0.32741734938075906,2485945566.8815203,1644684.3267476596,5948655695.701895,3.96765398313903e-10,-46.987471541915745,-427.15883451383866,2030439.1370067387,-0.002693997894312157,0.0,0.8100140983158173,5310947189.954128
CHQ_L024_s04,0.24,0.033,Composite,9.43e9,0.33,0.0,0.04,0.0,0.0,2.2e9,0.75,Gmsh,Lesicar,Z,Yes,0.15,6134312617.620658,0.3408721210673482,2502245614.665832,2306710.699019128,8343137655.595805,9.259846223130808e-10,-547.6318230266553,-4978.471145400503,1918989.432440095,0.0026900924312812766,0.05186610098398834,1.202044503228986,7373716763.099126
CHQ_L024_s05,0.24,0.033,Composite,9.43e9,0.33,0.0,0.04,0.0,0.0,2.2e9,0.75,Gmsh,Lesicar,Z,Yes,0.15,6366485036.711419,0.3361242556344788,2492154462.456754,1943463.3356210408,7029308939.601567,-2.289557432533229e-10,-18.283986030265982,-166.21805572126968,1984402.6301130073,-0.0002851956615020057,0.0,0.9793694616854871,6235141023.232772
CHQ_L024_s06,0.24,0.033,Composite,9.43e9,0.33,0.0,0.04,0.0,0.0,2.2e9,0.75,Gmsh,Lesicar,Z,Yes,0.15,5847748020.078969,0.3314365726873212,2251304338.6295605,2099558.049032651,7593887619.475735,-2.355091677230803e-10,35.3425846985354,321.296226273117,1816307.0706816844,0.0021843122775997157,0.046736626724654784,1.155948838675532,6759697532.677426
CHQ_L032_s01,0.32,0.033,Composite,9.43e9,0.33,0.0,0.04,0.0,0.0,2.2e9,0.75,Gmsh,Lesicar,Z,Yes,0.15,5756544385.888495,0.352549031021753,2508884875.7094316,6704696.784566159,7672916547.278777,-4.756639526704021e-11,38.79290599929702,352.6627837227311,5744081.881323289,0.0037391133428665234,0.06114828977875443,1.1672355866594244,6719243463.393574
CHQ_L032_s02,0.32,0.033,Composite,9.43e9,0.33,0.0,0.04,0.0,0.0,2.2e9,0.75,Gmsh,Lesicar,Z,Yes,0.15,6396723005.891939,0.3390340751746935,2563650197.0446997,7945777.938684259,9093221212.788687,4.76807482385766e-11,-0.781639963911196,-7.105817892241759,6315467.619919326,0.006210285328724664,0.0788053635784054,1.2581456222850143,8048009046.832782
CHQ_L032_s03,0.32,0.033,Composite,9.43e9,0.33,0.0,0.04,0.0,0.0,2.2e9,0.75,Gmsh,Lesicar,Z,Yes,0.15,6360375125.507688,0.33290235565253623,2522898312.1908784,6365485.517528094,7284720059.426988,7.451472772146417e-11,21.509602197052697,195.54183921458832,6250484.105119383,0.00044514702103810085,0.021098507554756115,1.0183988008728029,6477398400.918233
CHQ_L032_s04,0.32,0.033,Composite,9.43e9,0.33,0.0,0.04,0.0,0.0,2.2e9,0.75,Gmsh,Lesicar,Z,Yes,0.15,6505307573.518157,0.3365293198721598,2610468572.7353926,7468949.450585957,8547534313.872478,3.1710500891790616e-10,14.584771971406129,132.5888368221385,6410416.924598579,0.0039599142495186455,0.06292784955422079,1.1651269392362749,7579509101.923768
CHQ_L032_s05,0.32,0.033,Composite,9.43e9,0.33,0.0,0.04,0.0,0.0,2.2e9,0.75,Gmsh,Lesicar,Z,Yes,0.15,6572837745.917713,0.34093083161535254,2578631449.810152,6326370.739173955,7239956748.017069,-9.174772053199831e-11,1.667652955518012,15.160481495948755,6498815.487433501,-0.0006530715139017273,0.0,0.9734652032215725,6398428832.072208
