run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
CSEED_z05_s1,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8925920914.803333,0.33036652828577895,0.01990931962066611,0.12251133504741674,0.021469792889675432,0.04137911251034154,8995237384.139874,0.3308464906856423,8925920914.803333,0.33036652828577895,MISSING,1.007765749887116
CSEED_z05_s2,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8936418237.144688,0.3303535921652608,0.019635329635631527,0.12254558379554606,0.02172395633893842,0.04135928597456995,8985228750.343864,0.3308451950703618,8936418237.144688,0.3303535921652608,MISSING,1.0054619772602287
CSEED_z05_s3,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8939777949.291878,0.33044262605276775,0.019576010877911942,0.12255299864026101,0.021726260219455007,0.04130227109736695,8989599479.759146,0.3305835612109119,8939777949.291878,0.33044262605276775,MISSING,1.005573016550284
CSEED_z05_s4,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8935041670.511723,0.3303818356965911,0.019529355495733425,0.12255883056303332,0.021862212029546413,0.04139156752527984,8980789367.24879,0.33078041787738394,8935041670.511723,0.3303818356965911,MISSING,1.0051200317160298
CSEED_z05_s5,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8940958041.333889,0.33035030315472586,0.019685419382404534,0.12253932257719943,0.02166398822847526,0.041349407610879796,8987799334.299816,0.33087936791999817,8940958041.333889,0.33035030315472586,MISSING,1.005238956804112
CSEED_z15_s1,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9034820725.493261,0.3302848512154406,0.01448462643236681,0.12318942169595415,0.019016188736358686,0.033500815168725495,9087751759.993408,0.3306916486890939,9034820725.493261,0.3302848512154406,MISSING,1.0058585594676819
CSEED_z15_s2,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9037043815.33746,0.33022614719748267,0.015311771651886685,0.12308602854351416,0.018213421946740027,0.03352519359862671,9090788414.651182,0.3307608863823762,9037043815.33746,0.33022614719748267,MISSING,1.0059471438240133
CSEED_z15_s3,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9036126441.241417,0.3303023166257417,0.014575722039761763,0.12317803474502978,0.018887762253275042,0.033463484293036805,9080258614.603388,0.33074173252712424,9036126441.241417,0.3303023166257417,MISSING,1.00488397032168
CSEED_z15_s4,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9043590298.617107,0.3302439728537534,0.014720387450712025,0.123159951568661,0.018778316145656504,0.03349870359636853,9081211028.268436,0.3307082306800328,9043590298.617107,0.3302439728537534,MISSING,1.004159932992219
CSEED_z15_s5,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9037057998.438112,0.3303151752414407,0.014654347088130848,0.12316820661398364,0.01884052953316484,0.03349487662129569,9077024668.948551,0.33068740652615675,9037057998.438112,0.3303151752414407,MISSING,1.004422531150884
