run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
CSEED_z05_s6,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8781262558.412327,0.33093523679536774,0.018848600907560353,0.12264392488655496,0.03862046741548397,0.057469068323044326,8772533009.923622,0.33088581536577133,8781262558.412327,0.33093523679536774,MISSING,1.0009951001015134
CSEED_z05_s7,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8778207588.59268,0.330919576080131,0.019789417012731292,0.12252632287340859,0.037679651310313034,0.057469068323044326,8771313053.542707,0.3307230780747584,8778207588.59268,0.330919576080131,MISSING,1.0007860322631157
CSEED_z05_s8,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8779754196.355274,0.33094571310476734,0.02011185905357138,0.12248601761830358,0.037357209269472946,0.057469068323044326,8771385601.987856,0.33084069887924383,8779754196.355274,0.33094571310476734,MISSING,1.000954078950254
CSEED_z05_s9,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8778730281.812708,0.3309291593484467,0.02047666959717276,0.1224404163003534,0.03699239872587157,0.057469068323044326,8771324196.395405,0.3307175914219692,8778730281.812708,0.3309291593484467,MISSING,1.000844352032997
CSEED_z05_s10,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8780466901.661043,0.3309703994620721,0.019045949349461466,0.12261925633131732,0.03842311897358286,0.057469068323044326,8772003441.272217,0.3308031875772366,8780466901.661043,0.3309703994620721,MISSING,1.0009648263872089
CSEED_z15_s6,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,8892267928.12358,0.3308697858005749,0.014558366096032671,0.12318020423799592,0.03281856091609825,0.04737692701213092,8888559106.054798,0.33067608172542984,8892267928.12358,0.3308697858005749,MISSING,1.0004172579632458
CSEED_z15_s7,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,8892793465.017517,0.33089998018815625,0.014261469235101742,0.12321731634561228,0.03311545777702918,0.04737692701213092,8888449230.780619,0.33069927659232096,8892793465.017517,0.33089998018815625,MISSING,1.0004887505260034
CSEED_z15_s8,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,8893155285.581125,0.3308462253240373,0.014896243729232594,0.12313796953384593,0.032480683282898326,0.04737692701213092,8888232848.292109,0.33075002480653853,8893155285.581125,0.3308462253240373,MISSING,1.0005538150690958
CSEED_z15_s9,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,8892346547.002989,0.33085414982019523,0.01425268234684296,0.12321841470664463,0.03312424466528796,0.04737692701213092,8888828521.5331,0.33069095514106306,8892346547.002989,0.33085414982019523,MISSING,1.0003957805532377
CSEED_z15_s10,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,8891388925.11403,0.33086519524178387,0.014933579690229237,0.12313330253872135,0.03244334732190168,0.04737692701213092,8887915491.802124,0.33062406377437525,8891388925.11403,0.33086519524178387,MISSING,1.0003908040434353
