run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
CSEED_z05_s6,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8926626226.000359,0.3303284617696691,0.01960674966117182,0.12254915629235352,0.021772362849169724,0.04137911251034154,8995694373.7988,0.330837670242243,8926626226.000359,0.3303284617696691,MISSING,1.0077373182263718
CSEED_z05_s7,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8935291600.459175,0.33033141922065,0.02023349205531777,0.12247081349308528,0.021125793919251956,0.041359285974569726,8984899306.84405,0.3308007418475765,8935291600.459175,0.33033141922065,MISSING,1.0055518844379208
CSEED_z05_s8,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8941410236.637291,0.3302998297966046,0.019774705067378662,0.12252816186657767,0.021527566029988066,0.04130227109736673,8985597985.276228,0.3308112097601541,8941410236.637291,0.3302998297966046,MISSING,1.004941921628635
CSEED_z05_s9,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8934241557.793842,0.3302625258069068,0.020699252456537254,0.12241259344293284,0.020692315068742584,0.04139156752527984,8978386185.891695,0.3307485928114363,8934241557.793842,0.3302625258069068,MISSING,1.0049410605043854
CSEED_z05_s10,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8940455431.645845,0.33038513639653044,0.019707093827953104,0.12253661327150586,0.021642313782926692,0.041349407610879796,8988020166.531965,0.3308544706574246,8940455431.645845,0.33038513639653044,MISSING,1.0053201691177565
CSEED_z15_s6,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9035537634.135231,0.3301639450879432,0.015073683033694607,0.12311578962078817,0.018427132135030888,0.033500815168725495,9085501738.44126,0.330797523523986,9035537634.135231,0.3301639450879432,MISSING,1.0055297323002972
CSEED_z15_s7,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9036476490.671785,0.33025931187264956,0.014789562413382695,0.12315130469832716,0.018735631185244017,0.03352519359862671,9092366228.518188,0.3306638191733656,9036476490.671785,0.33025931187264956,MISSING,1.00618490380671
CSEED_z15_s8,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9034533990.569042,0.33031213064592496,0.014940190564544542,0.12313247617943193,0.018523293728492263,0.033463484293036805,9080241666.545343,0.3306856870637547,9034533990.569042,0.33031213064592496,MISSING,1.0050592178881628
CSEED_z15_s9,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9042432808.12519,0.3302212079061734,0.015778567948476763,0.1230276790064404,0.017720135647891766,0.03349870359636853,9080660066.198687,0.33065460267773517,9042432808.12519,0.3302212079061734,MISSING,1.0042275412916695
CSEED_z15_s10,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9036516427.791052,0.3303319897914523,0.015302593168014411,0.1230871758539982,0.018192283453281277,0.03349487662129569,9076224202.877546,0.3306779844121408,9036516427.791052,0.3303319897914523,MISSING,1.0043941462845545
CSEED_z25_s6,0.50,0.033,Composite,9.53e9,0.33,0.030,0.032,0.012,0.018,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,9053457777.223625,0.330329737376472,0.01197524903378877,0.1235030938707764,0.017685592265031858,0.029660841298820628,9111430030.132912,0.3307205097172171,9053457777.223625,0.330329737376472,MISSING,1.0064033272519513
CSEED_z25_s7,0.50,0.033,Composite,9.53e9,0.33,0.030,0.032,0.012,0.018,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,9068491854.930628,0.3302364255922502,0.012108796743241612,0.1234864004070948,0.017432744967152303,0.029541541710393915,9110418318.832563,0.33067697767467796,9068491854.930628,0.3302364255922502,MISSING,1.0046233116346837
CSEED_z25_s8,0.50,0.033,Composite,9.53e9,0.33,0.030,0.032,0.012,0.018,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,9066869358.978018,0.33027433106454057,0.012398062557426925,0.12345024218032163,0.01717462569864381,0.029572688256070734,9103298024.788097,0.33061118550059176,9066869358.978018,0.33027433106454057,MISSING,1.004017777732069
CSEED_z25_s9,0.50,0.033,Composite,9.53e9,0.33,0.030,0.032,0.012,0.018,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,9064013174.199617,0.3301867238855698,0.011909586316356524,0.12351130171045543,0.017666300120843914,0.029575886437200438,9103667143.306408,0.3307957620781483,9064013174.199617,0.3301867238855698,MISSING,1.0043748799063603
CSEED_z25_s10,0.50,0.033,Composite,9.53e9,0.33,0.030,0.032,0.012,0.018,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,9068109243.71543,0.3302186121937675,0.011585786986245239,0.12355177662671935,0.018004048293420283,0.029589835279665522,9109286677.160202,0.3306403506304325,9068109243.71543,0.3302186121937675,MISSING,1.004540906195336
CSEED_z35_s6,0.50,0.033,Composite,9.51e9,0.33,0.029,0.033,0.010,0.019,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,9057468913.602331,0.3302445991473383,0.009957959252799853,0.12375525509340002,0.01866590052799566,0.028623859780795513,9111362047.595245,0.33083980595625917,9057468913.602331,0.3302445991473383,MISSING,1.0059501318201576
