run_id,z,E_x,E_y,E_z,E_p,E_ratio,G_xy,G_xz,G_yz,G_ax,G_ratio,nu_xy,nu_xz,nu_yz
CTEN_z05,0.0500,8.9209e+09,8.9305e+09,8.9581e+09,8.9257e+09,1.0036,3.3617e+09,3.3668e+09,3.3647e+09,3.3657e+09,1.0012,0.3193,0.3192,0.3193
CTEN_z15,0.1500,8.9689e+09,8.9711e+09,9.0103e+09,8.9700e+09,1.0045,3.3796e+09,3.3853e+09,3.3822e+09,3.3838e+09,1.0012,0.3202,0.3193,0.3193
CTEN_z25,0.2500,8.9654e+09,8.9703e+09,9.0291e+09,8.9679e+09,1.0068,3.3799e+09,3.3889e+09,3.3856e+09,3.3872e+09,1.0022,0.3199,0.3195,0.3193
CTEN_z35,0.3500,8.9437e+09,8.9408e+09,9.0135e+09,8.9423e+09,1.0080,3.3681e+09,3.3802e+09,3.3779e+09,3.3790e+09,1.0033,0.3199,0.3192,0.3189
CTEN_z45,0.4500,8.8898e+09,8.8869e+09,8.9453e+09,8.8883e+09,1.0064,3.3466e+09,3.3570e+09,3.3570e+09,3.3570e+09,1.0031,0.3211,0.3200,0.3199
CTEN_z55,0.5500,8.8436e+09,8.8394e+09,8.9244e+09,8.8415e+09,1.0094,3.3273e+09,3.3437e+09,3.3446e+09,3.3441e+09,1.0051,0.3218,0.3208,0.3206
CTEN_z65,0.6500,8.7316e+09,8.7316e+09,8.8443e+09,8.7316e+09,1.0129,3.2847e+09,3.3014e+09,3.3026e+09,3.3020e+09,1.0053,0.3220,0.3193,0.3194
CTEN_z75,0.7500,8.5642e+09,8.5718e+09,8.6765e+09,8.5680e+09,1.0127,3.2165e+09,3.2421e+09,3.2393e+09,3.2407e+09,1.0075,0.3228,0.3210,0.3206
CTEN_z85,0.8500,7.9931e+09,7.9576e+09,8.4113e+09,7.9753e+09,1.0547,2.9819e+09,3.0579e+09,3.0460e+09,3.0520e+09,1.0235,0.3235,0.3107,0.3095
CTEN_z95,0.9500,6.6743e+09,6.7239e+09,7.4592e+09,6.6991e+09,1.1135,2.4660e+09,2.5890e+09,2.6000e+09,2.5945e+09,1.0521,0.3470,0.3020,0.3025
