run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,E_y,nu_y,E_z,nu_z,G_xy,G_xz,G_yz,E_eff,nu_eff,G_eff,E_anisotropy,E_z_over_xy
ICE_z05,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8739297024.208792,0.33102152389696665,8744388077.949707,0.3310044183312908,8742716818.206703,0.33088537831644427,3287467512.01368,3286714933.78436,3287347554.5349703,8739297024.208792,0.33102152389696665,3286714933.78436,1.0005825472834728,1.000100009479963
ICE_z15,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,8828203334.323524,0.3306454963119183,8871158685.257198,0.3306812884271929,8828334195.140125,0.3307104115627315,3322153017.9579916,3324955323.3311424,3321945697.58363,8828203334.323524,0.3306454963119183,3324955323.3311424,1.0048656956921989,0.9975878436040101
ICE_z25,0.50,0.033,Composite,9.53e9,0.33,0.030,0.032,0.012,0.018,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,8866675374.882336,0.33071838381524615,8874259726.999237,0.3309071809355159,8873524592.976452,0.3309738712853594,3335805005.830536,3333880561.3363805,3339056265.0384374,8866675374.882336,0.33071838381524615,3333880561.3363805,1.0008553772182058,1.0003446314433946
ICE_z35,0.50,0.033,Composite,9.51e9,0.33,0.029,0.033,0.010,0.019,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,8912061016.085135,0.3307426212144928,8919722326.148573,0.3306781373295252,8918173759.267689,0.3307697242526674,3351016285.0231686,3353350127.267217,3349454584.195118,8912061016.085135,0.3307426212144928,3353350127.267217,1.0008596563746153,1.0002559573663539
ICE_z45,0.50,0.033,Composite,9.49e9,0.33,0.030,0.035,0.010,0.020,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,8851457837.827715,0.3309091333264137,8839868103.574436,0.3309272544681086,8850757809.977535,0.33072684151434295,3327425603.9564743,3324186099.9451313,3325322461.412706,8851457837.827715,0.3309091333264137,3324186099.9451313,1.001311075472788,1.0005759703137385
ICE_z55,0.50,0.033,Composite,9.46e9,0.33,0.033,0.037,0.010,0.023,2.2e9,0.78,Gmsh,Lesicar,Z,No,0,8741906600.872248,0.33098376032006294,8739903155.71806,0.33102604430089855,8735651993.864632,0.3309508748200968,3281476970.135253,3279271974.7754464,3284130987.479838,8741906600.872248,0.33098376032006294,3279271974.7754464,1.0007159862837953,0.9993990456933622
ICE_z65,0.50,0.033,Composite,9.44e9,0.33,0.040,0.039,0.010,0.030,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8529640897.349375,0.3313190411621234,8531951938.154618,0.3313778996930648,8508031873.542157,0.3312395762852175,3200069271.358574,3195535570.232251,3196102574.4723043,8529640897.349375,0.3313190411621234,3195535570.232251,1.0028114686178888,0.997331486640278
ICE_z75,0.50,0.033,Composite,9.42e9,0.33,0.053,0.041,0.012,0.041,2.2e9,0.72,Gmsh,Lesicar,Z,No,0,7843002041.924868,0.3331803204008752,7842280487.849339,0.3338793708814689,7863797459.332188,0.333988157582224,2931473816.2502894,2936091740.3029428,2943777416.3217998,7843002041.924868,0.3331803204008752,2936091740.3029428,1.0027437135812964,1.0026975853836135
ICE_z85,0.50,0.033,Composite,9.39e9,0.33,0.065,0.043,0.015,0.050,2.2e9,0.68,Gmsh,Lesicar,Z,Yes,0.018,7348310934.969227,0.334956923199753,7312929549.771355,0.3333703114090488,7490868749.873572,0.33625698683723315,2730649763.3250146,2768972809.9746,2740464479.6338277,7348310934.969227,0.334956923199753,2768972809.9746,1.0243321365112537,1.021860156740498
ICE_z95,0.50,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,4469376880.027785,0.353790707713857,4668622163.679143,0.356688578725449,4746054626.770678,0.359384763151843,1576108457.9333847,1613978539.918399,1696861192.6765494,4469376880.027785,0.353790707713857,1613978539.918399,1.0619052172528292,1.0387513949323832
