run_id,n_bridges,bridge_fraction,slab_vof,phi_inclusion,E_x_GPa,n_exponent,solved_on
RP_b2929_n4_s108,4,0.2929,0.075,0.09553,3.0298,0.7478,local
RP_b2929_n4_s115,4,0.2929,0.075,0.09440,3.0534,0.7433,local
RP_b2929_n4_s122,4,0.2929,0.075,0.09477,3.0141,0.7533,local
RP_b2929_n6_s101,6,0.2929,0.075,0.09384,3.6536,0.5981,local
RP_b2929_n6_s122,6,0.2929,0.075,0.09492,3.6579,0.5954,local
RP_b2929_n6_s129,6,0.2929,0.075,0.09513,3.6917,0.5875,local
N6_b3876,6,0.3876,0.075,0.09551,4.4793,0.5564,roihu
N6_b3367,6,0.3367,0.075,0.09471,4.0490,0.5786,roihu
CO_b3876_n4,4,0.3876,0.075,0.09355,4.4852,0.5590,roihu
CO_b3876_n6,6,0.3876,0.075,0.09465,4.5413,0.5437,roihu
CO_b3367_n4,4,0.3367,0.075,0.09610,3.9010,0.6104,roihu
CO_b3367_n6,6,0.3367,0.075,0.09513,4.0601,0.5754,roihu
CO_b3144_n4,4,0.3144,0.075,0.09516,3.6907,0.6237,roihu
CO_b3144_n6,6,0.3144,0.075,0.09534,3.8150,0.5948,roihu
N4LOW_b2789_drn_s1,4,0.2789,0.075,0.0941,2.8958,0.7568,local
N6LOW_b2789_drn_s1,6,0.2789,0.075,0.09455,2.8676,0.7637,local
N4LOW_b2584_drn_s1,4,0.2584,0.075,0.09419,2.6821,0.7706,local
N6LOW_b2584_drn_s1,6,0.2584,0.075,0.09536,2.6928,0.766,local
N4LOW_b2254_drn_s1,4,0.2254,0.075,0.09372,2.3122,0.8001,local
N6LOW_b2254_drn_s1,6,0.2254,0.075,0.09527,2.5109,0.7428,local
RP_b2584_n4_s201_drn_s1,4,0.2584,0.075,0.09533,2.7417,0.7527,local
RP_b2584_n4_s202_drn_s1,4,0.2584,0.075,0.0948,2.7277,0.7572,local
RP_b2584_n4_s203_drn_s1,4,0.2584,0.075,0.09509,2.7174,0.7596,local
RP_b2584_n6_s301_drn_s1,6,0.2584,0.075,0.09534,2.7069,0.7621,local
RP_b2584_n6_s302_drn_s1,6,0.2584,0.075,0.09468,2.7516,0.751,local
RP_b2584_n6_s303_drn_s1,6,0.2584,0.075,0.09375,2.7142,0.7624,local
RP_b2789_n4_s201_drn_s1,4,0.2789,0.075,0.095,2.9059,0.7527,local
RP_b2789_n4_s202_drn_s1,4,0.2789,0.075,0.09497,2.9608,0.738,local
RP_b2789_n4_s203_drn_s1,4,0.2789,0.075,0.09467,2.8029,0.7814,local
RP_b2789_n6_s301_drn_s1,6,0.2789,0.075,0.09399,2.8899,0.7585,local
RP_b2789_n6_s302_drn_s1,6,0.2789,0.075,0.09472,2.8172,0.7773,local
RP_b2789_n6_s303_drn_s1,6,0.2789,0.075,0.09577,2.9003,0.753,local
