run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_eff,nu_eff,G_eff,D_rve,E_bending,N_membrane,B_coupling
ERG_L240_s1,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,7015254324.8123045,0.33414484642523146,0.01903273004627326,0.013560891539840317,0.1289187839205637,0.14795151396683695,7015254324.8123045,0.33414484642523146,MISSING,2213609.0513882586,8006398478.690173,-0.2519548584317705,-2.290498725427401
ERG_L240_s2,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6872924279.250719,0.3288299094521986,0.042728176445604116,0.013233325688815967,0.10795550933066703,0.15068368577627114,6872924279.250719,0.3288299094521986,MISSING,2055117.9579874796,7433152336.47092,-82.92830793443262,-753.8937125798935
ERG_L240_s3,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6261712770.151441,0.3408220623766348,0.014680285758694844,0.0136210597296718,0.1665193324841937,0.18119961824288855,6261712770.151441,0.3408220623766348,MISSING,1770674.5793483655,6404349607.0181055,-0.006413892283494335,-0.05830811198407889
ERG_L240_s4,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6466795837.297568,0.3356834376443546,0.04691448822540889,0.013175454114771945,0.11725776907447437,0.16417225729988327,6466795837.297568,0.3356834376443546,MISSING,1938447.9823268794,7011168917.559606,23.07539128265769,209.7762855244918
ERG_L240_s5,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6567710885.11529,0.33495077000660267,0.022562257321925183,0.013512099354781704,0.1596579845056093,0.1822202418275345,6567710885.11529,0.33495077000660267,MISSING,2014932.2498333843,7287804723.06635,1.2496009549471054,11.360008742892711
ERG_L240_s6,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6954765865.449264,0.33294184999045484,0.028992621912667937,0.013423205994679277,0.12148089969135302,0.15047352160402094,6954765865.449264,0.33294184999045484,MISSING,2109400.732744913,7629487603.967423,-0.0017277893588888797,-0.015707176075009877
ERG_L320_s1,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6630209163.463569,0.3367982358258077,0.018661263779695236,0.03215650770846695,0.13910098686896605,0.15776225064866128,6630209163.463569,0.3367982358258077,MISSING,6164936.080896569,7055209443.164713,21.01741309803685,191.06739283565355
ERG_L320_s2,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6631543671.331396,0.3340850112104071,0.03508490102936124,0.0316183379630699,0.12128328016415192,0.15636818119351314,6631543671.331396,0.3340850112104071,MISSING,6542979.264101621,7487845532.342858,4.474365829642917,40.67605321716122
ERG_L320_s3,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6541268874.606039,0.33858467813004056,0.014011505199489238,0.03230887099762314,0.15095624310641664,0.16496774830590588,6541268874.606039,0.33858467813004056,MISSING,6627009.932261996,7584011000.360866,0.02082817062913772,0.18934700674543029
ERG_L320_s4,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6598248057.560347,0.33640022001492315,0.045068885317738006,0.031291182765908365,0.11084975363439825,0.15591863895213626,6598248057.560347,0.33640022001492315,MISSING,6571961.510392305,7521013081.045882,-10.837760645648222,-98.5250973124887
ERG_L320_s5,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6640124268.337533,0.333494948103624,0.02676232311188509,0.031891052196269754,0.14333892584418226,0.17010124895606735,6640124268.337533,0.333494948103624,MISSING,6205557.792048562,7101697302.301669,78.59037479796038,714.4579565800955
ERG_L320_s6,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6430801379.303069,0.33760789783406364,0.015124437873757834,0.03227240241975271,0.15044055052686908,0.16556498840062692,6430801379.303069,0.33760789783406364,MISSING,6205364.440040104,7101476028.488278,1.698033547802874,15.43666870003496
ERG_L400_s1,0.40,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6395944641.845629,0.3346106285004069,0.015862871485034735,0.0629847762249578,0.15007282947944972,0.16593570096448446,6395944641.845629,0.3346106285004069,MISSING,15415323.961129272,7225933106.7793455,-26.037796951520082,-236.70724629644178
ERG_L400_s2,0.40,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6546780905.995018,0.339351570821846,0.012792320061633888,0.06318129151605545,0.1489025336854979,0.1616948537471318,6546780905.995018,0.339351570821846,MISSING,15892503.231541678,7449610889.78516,55.09416215182953,500.8560222760271
ERG_L400_s3,0.40,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6640998036.649933,0.34021016731842835,0.015252278781032635,0.06302385415801393,0.1380110759700327,0.15326335475106534,6640998036.649933,0.34021016731842835,MISSING,15350856.794982523,7195714122.648056,-14.598959305350409,-132.71781258596718
ERG_L400_s4,0.40,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6539805617.780719,0.3396514496588319,0.012828640697971738,0.06317896699532981,0.14006264168723787,0.15289128238520983,6539805617.780719,0.3396514496588319,MISSING,15609228.439349106,7316825830.944892,-0.1337127678548955,-1.2155706234493824
ERG_L400_s5,0.40,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6459971279.901259,0.3374140651582934,0.03022013835813253,0.06206591114507953,0.1319310198362594,0.16215115819439194,6459971279.901259,0.3374140651582934,MISSING,15973963.235062115,7487795266.435365,-4.4147611895720615,-40.13419284994459
ERG_L400_s6,0.40,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6238814185.934802,0.3371859476372816,0.01457600272055104,0.06306713582588475,0.16714257427363763,0.18171857699418867,6238814185.934802,0.3371859476372816,MISSING,14895043.380028214,6982051584.388224,-2.3912611068140643,-21.738737452466925
