run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_eff,nu_eff,G_eff,D_rve,E_bending,porosity,N_membrane,B_coupling
ERGL_L240_s1,0.240,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,1157854.079657415,4187840276.538683,0.009030732086203197,-39.39628299621145,-358.14802917894826
ERGL_L240_s2,0.240,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,1093561.6505487652,3955301108.7556615,0.011823740370856317,19.768146419227588,179.7104229667577
ERGL_L240_s3,0.240,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,1027277.1290645119,3715556745.7483797,0.010029737288677287,-241.58226163421958,-2196.2023903932563
ERGL_L240_s4,0.240,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,1092754.9793785994,3952383461.2941246,0.012843945419210079,86.63106576098555,787.5551475491363
ERGL_L240_s5,0.240,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,1068734.5261552122,3865503928.5127764,0.009794218638480512,-2.5598104777335013,-23.27100446912819
ERGL_L240_s6,0.240,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,1135781.5990998559,4108006362.4850116,0.00996642771151468,20.251264155919532,184.1024024150283
ERGL_L360_s1,0.360,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,4338780.708479974,3099837611.796964,0.01042696054635106,0.0017463030518821926,0.015875482375861068
ERGL_L360_s2,0.360,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,4294517.957227249,3068214132.678362,0.009993384932117322,-0.0001971011526462009,-0.0017918286701292183
ERGL_L360_s3,0.360,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,4315050.033182811,3082883254.160102,0.01019308300707622,0.0007808723381072442,0.007098839475804384
ERGL_L360_s4,0.360,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,4267795.528180783,3049122319.516449,0.00965486851111863,-0.0006549791884319339,-0.0059543562907364254
ERGL_L360_s5,0.360,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,4261047.561137587,3044301241.0962415,0.009373743765278886,0.0004960010455998425,0.004509100438977053
ERGL_L360_s6,0.360,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,4277654.325711475,3056165927.7202473,0.012509397194155336,0.001669284944586278,0.01517531776028611
ERGL_L480_s1,0.480,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,12117057.571430603,2739135193.194491,0.010146347616506346,3.678235578312923,37.15389493175581
ERGL_L480_s2,0.480,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,12229579.082402438,2764571370.9857945,0.011343289914543253,-10.997279150657127,-124.96908193462532
ERGL_L480_s3,0.480,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,12391981.762840927,2801283493.119061,0.0099832072378927,27.913114355494766,253.75558642495346
ERGL_L480_s4,0.480,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,12180119.450605433,2753390717.819877,0.009883043767215938,12.510967145523427,142.17008196949322
ERGL_L480_s5,0.480,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,12435892.848017715,2811209863.285255,0.0102256293082027,48.07677869383531,1092.6540671441894
ERGL_L480_s6,0.480,0.0167,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,12369838.335483888,2796277835.5314784,0.00988727794079014,-25.1020747078784,-2282.0068039906005
