run_id,S11_bar,n_matrix,SCF_p50,SCF_p90,SCF_p99,SCF_max,MC_phi_deg,MCnorm_p50,MCnorm_p90,MCnorm_p99,MCnorm_max,volfrac_SCF_gt2,volfrac_SCF_gt3
ICE_z05,8.926485e+07,68659,1.094,1.696,2.024,2.443,30.0,0.630,0.807,1.005,3.422,0.0008,0.0000
ICE_z15,9.039956e+07,61004,1.079,1.664,1.981,2.340,30.0,0.617,0.789,0.976,2.332,0.0003,0.0000
ICE_z25,9.052822e+07,59498,1.078,1.664,1.982,3.133,30.0,0.615,0.789,0.966,2.728,0.0003,0.0000
ICE_z35,9.062517e+07,52748,1.065,1.635,1.973,2.545,30.0,0.612,0.798,0.992,2.460,0.0003,0.0000
ICE_z45,9.027188e+07,38023,1.065,1.638,1.971,2.387,30.0,0.613,0.797,1.015,1.432,0.0004,0.0000
ICE_z55,8.909319e+07,50726,1.079,1.687,2.006,2.337,30.0,0.623,0.815,1.024,1.517,0.0004,0.0000
ICE_z65,8.823043e+07,64917,1.088,1.721,2.080,2.769,30.0,0.639,0.845,1.087,1.874,0.0009,0.0000
ICE_z75,8.612214e+07,72610,1.111,1.745,2.091,2.556,30.0,0.659,0.865,1.110,2.094,0.0013,0.0000
ICE_z85,7.853370e+07,124166,1.156,1.927,2.585,3.727,30.0,0.724,1.032,1.589,2.602,0.0094,0.0001
ICE_z95,6.397689e+07,180243,1.282,2.383,3.567,5.535,30.0,0.878,1.463,2.548,3.802,0.0453,0.0056
