run_id,S11_bar,n_matrix,SCF_p50,SCF_p90,SCF_p99,SCF_max,MC_phi_deg,MCnorm_p50,MCnorm_p90,MCnorm_p99,MCnorm_max,volfrac_SCF_gt2,volfrac_SCF_gt3
ICE_z05_s1,8.928484e+07,78675,1.096,1.703,2.044,2.515,30.0,0.634,0.817,1.006,1.349,0.0008,0.0000
ICE_z05_s2,8.940143e+07,72184,1.093,1.682,1.995,2.379,30.0,0.624,0.800,0.997,1.610,0.0005,0.0000
ICE_z05_s3,8.942432e+07,84164,1.094,1.690,2.018,2.470,30.0,0.630,0.802,0.999,1.557,0.0006,0.0000
ICE_z05_s4,8.936879e+07,71768,1.100,1.708,2.048,2.439,30.0,0.626,0.796,0.969,1.216,0.0007,0.0000
ICE_z05_s5,8.943578e+07,81045,1.089,1.672,2.004,2.355,30.0,0.623,0.795,0.982,2.179,0.0006,0.0000
ICE_z15_s1,9.034795e+07,65088,1.086,1.690,2.025,2.461,30.0,0.617,0.789,0.962,1.748,0.0006,0.0000
ICE_z15_s2,9.037424e+07,62319,1.070,1.661,2.005,2.515,30.0,0.612,0.790,0.982,2.590,0.0005,0.0000
ICE_z15_s3,9.036333e+07,65473,1.084,1.680,1.994,2.409,30.0,0.624,0.803,0.995,1.328,0.0004,0.0000
ICE_z15_s4,9.044684e+07,62030,1.080,1.665,1.994,2.370,30.0,0.618,0.793,0.968,1.557,0.0004,0.0000
ICE_z15_s5,9.040694e+07,61597,1.081,1.668,1.979,2.420,30.0,0.619,0.800,0.990,3.211,0.0003,0.0000
ICE_z25_s1,9.057668e+07,40290,1.067,1.676,2.050,2.416,30.0,0.617,0.806,1.035,1.350,0.0006,0.0000
ICE_z25_s2,9.070156e+07,56737,1.075,1.656,1.986,2.452,30.0,0.618,0.797,0.975,1.938,0.0003,0.0000
ICE_z25_s3,9.068207e+07,49357,1.076,1.662,1.981,2.381,30.0,0.616,0.793,0.990,2.674,0.0003,0.0000
ICE_z25_s4,9.063860e+07,46446,1.081,1.675,2.049,2.656,30.0,0.616,0.793,0.972,1.244,0.0005,0.0000
ICE_z25_s5,9.066971e+07,48865,1.072,1.678,1.999,2.411,30.0,0.615,0.794,0.995,2.082,0.0003,0.0000
ICE_z35_s1,9.047814e+07,43134,1.074,1.706,2.073,2.413,30.0,0.625,0.833,1.050,2.160,0.0007,0.0000
ICE_z35_s2,9.065089e+07,48082,1.068,1.656,1.986,2.395,30.0,0.614,0.796,0.994,1.305,0.0003,0.0000
ICE_z35_s3,9.059637e+07,54146,1.074,1.673,2.002,2.370,30.0,0.617,0.810,1.010,1.329,0.0004,0.0000
ICE_z35_s4,9.070579e+07,53790,1.067,1.647,1.955,2.356,30.0,0.608,0.784,0.980,2.102,0.0002,0.0000
ICE_z35_s5,9.069214e+07,54730,1.069,1.651,1.958,2.352,30.0,0.612,0.793,0.997,1.328,0.0002,0.0000
ICE_z45_s1,9.017770e+07,28029,1.075,1.710,2.045,2.333,30.0,0.614,0.796,1.007,1.354,0.0006,0.0000
ICE_z45_s2,9.015831e+07,34437,1.068,1.711,2.034,2.379,30.0,0.618,0.822,1.053,1.409,0.0006,0.0000
ICE_z45_s3,9.023470e+07,35114,1.072,1.667,2.039,2.479,30.0,0.614,0.794,0.994,1.296,0.0006,0.0000
ICE_z45_s4,9.030170e+07,43621,1.074,1.675,1.983,2.433,30.0,0.614,0.797,0.988,1.336,0.0003,0.0000
ICE_z45_s5,9.024955e+07,36171,1.069,1.657,1.978,2.325,30.0,0.623,0.813,1.030,1.399,0.0003,0.0000
ICE_z55_s1,8.951688e+07,47014,1.081,1.704,2.048,2.390,30.0,0.614,0.812,1.033,1.335,0.0006,0.0000
ICE_z55_s2,8.947241e+07,49376,1.080,1.723,2.045,2.464,30.0,0.623,0.810,1.027,1.360,0.0006,0.0000
ICE_z55_s3,8.943419e+07,43247,1.079,1.718,2.085,2.404,30.0,0.634,0.836,1.075,1.519,0.0007,0.0000
ICE_z55_s4,8.945133e+07,44310,1.084,1.730,2.067,2.482,30.0,0.629,0.825,1.035,1.389,0.0006,0.0000
ICE_z55_s5,8.949862e+07,52132,1.090,1.709,2.040,2.626,30.0,0.628,0.820,1.041,1.246,0.0005,0.0000
ICE_z65_s1,8.831296e+07,59023,1.085,1.703,2.017,2.348,30.0,0.630,0.829,1.054,1.679,0.0005,0.0000
ICE_z65_s2,8.814716e+07,51885,1.091,1.750,2.109,2.455,30.0,0.643,0.849,1.073,1.731,0.0011,0.0000
ICE_z65_s3,8.815231e+07,42065,1.087,1.723,2.085,2.631,30.0,0.639,0.845,1.082,1.385,0.0011,0.0000
ICE_z65_s4,8.813940e+07,42873,1.094,1.738,2.082,2.483,30.0,0.636,0.847,1.067,1.445,0.0011,0.0000
ICE_z65_s5,8.806593e+07,47166,1.087,1.764,2.094,2.555,30.0,0.643,0.842,1.083,1.461,0.0013,0.0000
ICE_z75_s1,8.582762e+07,59284,1.123,1.815,2.175,2.668,30.0,0.657,0.874,1.145,1.606,0.0025,0.0000
ICE_z75_s2,8.585007e+07,58932,1.117,1.803,2.178,2.625,30.0,0.668,0.893,1.141,1.556,0.0026,0.0000
ICE_z75_s3,8.598409e+07,69176,1.121,1.794,2.164,2.643,30.0,0.662,0.885,1.135,3.022,0.0020,0.0000
ICE_z75_s4,8.605776e+07,60444,1.106,1.755,2.121,2.466,30.0,0.660,0.881,1.134,1.873,0.0015,0.0000
ICE_z75_s5,8.597445e+07,60684,1.105,1.736,2.101,2.646,30.0,0.660,0.874,1.109,2.445,0.0020,0.0000
ICE_z85_s1,7.833324e+07,101557,1.172,1.990,2.801,3.900,30.0,0.731,1.066,1.716,2.376,0.0100,0.0003
ICE_z85_s2,7.885301e+07,96852,1.161,1.950,2.698,3.685,30.0,0.710,0.980,1.394,2.178,0.0086,0.0001
ICE_z85_s3,7.876528e+07,106691,1.157,1.940,2.730,4.009,30.0,0.718,1.033,1.646,2.560,0.0087,0.0002
ICE_z85_s4,8.067619e+07,88137,1.146,1.884,2.496,3.334,30.0,0.702,0.955,1.375,2.270,0.0069,0.0001
ICE_z85_s5,7.837038e+07,114880,1.163,1.977,2.713,3.630,30.0,0.729,1.050,1.598,2.835,0.0100,0.0002
