run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
MSEED_z05_s1,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,4330958434.596352,0.3342391085012174,0.018874365887249667,0.12264070426409379,0.0345896548801079,0.05346402076735757,4334589717.572645,0.3341252264384149,4330958434.596352,0.3342391085012174,MISSING,1.000838447893493
MSEED_z05_s2,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,4304536747.6477165,0.33433723057768994,0.02010737750418201,0.12248657781197725,0.037088024512108575,0.057195402016290586,4304767987.412272,0.33442906952340545,4304536747.6477165,0.33433723057768994,MISSING,1.0000537200117254
MSEED_z05_s3,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,4301821976.05305,0.334544209922737,0.01964975483734932,0.12254378064533133,0.03837979402987912,0.05802954886722844,4302129163.151396,0.334617745014061,4301821976.05305,0.334544209922737,MISSING,1.0000714086031584
MSEED_z05_s4,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,4291979593.40348,0.3347873433911296,0.019120645245664036,0.122609919344292,0.03977593457193507,0.058896579817599104,4292264482.7956243,0.33479040031733215,4291979593.40348,0.3347873433911296,MISSING,1.000066377154398
MSEED_z05_s5,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,4317337251.753993,0.33416274679260494,0.01903854906107938,0.12262018136736508,0.03662543427100218,0.05566398333208156,4325271103.93107,0.3341541950555843,4317337251.753993,0.33416274679260494,MISSING,1.0018376725547335
MSEED_z15_s1,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,4369202224.282431,0.33356077319876015,0.015799718589995848,0.12302503517625052,0.03041102173587973,0.04621074032587558,4366645186.935793,0.33353312032595256,4369202224.282431,0.33356077319876015,MISSING,1.0005855839522497
MSEED_z15_s2,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,4405225781.616645,0.33294835219954866,0.015403114331192569,0.12307461070860093,0.025849960615303758,0.041253074946496326,4405254348.922631,0.3329151940895697,4405225781.616645,0.33294835219954866,MISSING,1.00000648486761
MSEED_z15_s3,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,4325554978.261939,0.33387492754219106,0.018841739671358937,0.12264478254108013,0.032166330556094636,0.05100807022745357,4326408756.54427,0.3338657628206474,4325554978.261939,0.33387492754219106,MISSING,1.000197380055651
MSEED_z15_s4,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,4341540556.473323,0.3343379924267381,0.014727338285783986,0.123159082714277,0.03612449452873534,0.05085183281451933,4340447232.816769,0.33415070143841846,4341540556.473323,0.3343379924267381,MISSING,1.000251891935994
MSEED_z15_s5,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,4353229799.007275,0.33393301350445614,0.0153604034045145,0.12307994957443569,0.03346044435049578,0.04882084775501028,4353501213.553175,0.3339570995317088,4353229799.007275,0.33393301350445614,MISSING,1.0000623478562887
MSEED_z25_s1,0.50,0.033,Composite,4.670e9,0.33,0.030,0.032,0.012,0.018,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,4372137907.873259,0.3339345071015447,0.0116742321103942,0.12354072098620072,0.03275845048997894,0.04443268260037314,4370669454.263695,0.33384373343467444,4372137907.873259,0.3339345071015447,MISSING,1.0003359791045583
MSEED_z25_s2,0.50,0.033,Composite,4.670e9,0.33,0.030,0.032,0.012,0.018,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,4379372452.077304,0.3335011005014916,0.011999673769757635,0.1235000407787803,0.030394770985282094,0.04239444475503973,4375333453.321104,0.33361505369915434,4379372452.077304,0.3335011005014916,MISSING,1.00092312935672
MSEED_z25_s3,0.50,0.033,Composite,4.670e9,0.33,0.030,0.032,0.012,0.018,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,4390789567.148487,0.3334575238230256,0.012424964914288239,0.12344687938571397,0.029657215915790403,0.04208218083007864,4387411079.281981,0.33350954708328273,4390789567.148487,0.3334575238230256,MISSING,1.0007700413308567
MSEED_z25_s4,0.50,0.033,Composite,4.670e9,0.33,0.030,0.032,0.012,0.018,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,4422202275.4599905,0.3329970622145446,0.011643317039215617,0.12354458537009805,0.024609730741190106,0.03625304778040572,4424338901.080311,0.3328866266556823,4422202275.4599905,0.3329970622145446,MISSING,1.000483158726632
MSEED_z25_s5,0.50,0.033,Composite,4.670e9,0.33,0.030,0.032,0.012,0.018,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,4379085874.930212,0.3336342167578422,0.011786576981890562,0.12352667787726368,0.030561520245214524,0.042348097227105086,4391178825.436394,0.33359632761171154,4379085874.930212,0.3336342167578422,MISSING,1.002761523946222
MSEED_z35_s1,0.50,0.033,Composite,4.660e9,0.33,0.029,0.033,0.010,0.019,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,4394712618.004232,0.3335338903085941,0.010076818981929136,0.12374039762725886,0.028533912238572157,0.03861073122050129,4395488022.016321,0.33348440347060937,4394712618.004232,0.3335338903085941,MISSING,1.0001764402088347
MSEED_z35_s2,0.50,0.033,Composite,4.660e9,0.33,0.029,0.033,0.010,0.019,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,4301927076.423953,0.3350961197239326,0.010983394689077386,0.12362707566386533,0.04050392988617091,0.051487324575248294,4313764481.531039,0.3349871184596272,4301927076.423953,0.3350961197239326,MISSING,1.0027516517357906
MSEED_z35_s3,0.50,0.033,Composite,4.660e9,0.33,0.029,0.033,0.010,0.019,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,4356978368.954289,0.3339379034047304,0.011660918942126841,0.12354238513223414,0.03221629570623463,0.04387721464836147,4362756290.812667,0.33383495780778943,4356978368.954289,0.3339379034047304,MISSING,1.001326130489779
MSEED_z35_s4,0.50,0.033,Composite,4.660e9,0.33,0.029,0.033,0.010,0.019,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,4392533780.36242,0.33347596969595866,0.010133941114162326,0.12373325736072971,0.029571013036814975,0.0397049541509773,4395403896.46787,0.33342731778132934,4392533780.36242,0.33347596969595866,MISSING,1.0006534078618317
