run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
FYMY_fy_z05,0.50,0.033,Composite,9.5805e+09,0.33,0.0414,0.031,0.0196,0.0218,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8921468094.506062,0.33048301316352047,0.019978454142282942,0.12250269323221463,0.021955218174554147,0.04193367231683709,8957148703.89038,0.33073032688606246,8921468094.506062,0.33048301316352047,MISSING,1.0039994100753766
FYMY_fy_z15,0.50,0.033,Composite,9.5570e+09,0.33,0.0374,0.032,0.0188,0.0186,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,8967120299.210613,0.33038702123631164,0.01984692168664992,0.12251913478916876,0.017524246399418075,0.037371168086067996,9009970797.725483,0.33069077131276137,8967120299.210613,0.33038702123631164,MISSING,1.004778624250044
FYMY_fy_z25,0.50,0.033,Composite,9.5335e+09,0.33,0.0358,0.034,0.018,0.0178,2.2e9,0.79,Gmsh,Lesicar,Z,No,0,8964568682.794296,0.330248043154281,0.019308624745970393,0.1225864219067537,0.016343290494745588,0.03565191524071598,9027606611.316545,0.3306235078399201,8964568682.794296,0.330248043154281,MISSING,1.0070318975460848
FYMY_fy_z35,0.50,0.033,Composite,9.5100e+09,0.33,0.0358,0.036,0.0172,0.0186,2.2e9,0.77,Gmsh,Lesicar,Z,No,0,8945992755.248453,0.3301901291871367,0.018070742562574127,0.12274115717967823,0.017414716621040327,0.035485459183614454,9011287397.882309,0.3308635038318304,8945992755.248453,0.3301901291871367,MISSING,1.0072987587202715
FYMY_fy_z45,0.50,0.033,Composite,9.4865e+09,0.33,0.0366,0.037,0.0164,0.0202,2.2e9,0.74,Gmsh,Lesicar,Z,No,0,8890212365.872244,0.3302774686773645,0.017306630737875972,0.1228366711577655,0.02063972236171452,0.03794635309959049,8945594710.956383,0.33096590143141125,8890212365.872244,0.3302774686773645,MISSING,1.0062295862916324
FYMY_fy_z55,0.50,0.033,Composite,9.4631e+09,0.33,0.0391,0.039,0.0156,0.0235,2.2e9,0.72,Gmsh,Lesicar,Z,No,0,8837007528.807981,0.3303360754140843,0.019208409708667773,0.12259894878641653,0.019822024735780985,0.03903043444444876,8922464733.131952,0.3309785344162932,8837007528.807981,0.3303360754140843,MISSING,1.009670378128047
FYMY_fy_z65,0.50,0.033,Composite,9.4396e+09,0.33,0.0443,0.040,0.0148,0.0295,2.2e9,0.69,Gmsh,Lesicar,Z,No,0,8728533727.233192,0.3302194806062525,0.018183059643767763,0.12272711754452903,0.026778555663200976,0.04496161530696874,8844521066.231087,0.3314027575486673,8728533727.233192,0.3302194806062525,MISSING,1.0132882959065634
FYMY_fy_z75,0.50,0.033,Composite,9.4161e+09,0.33,0.0554,0.042,0.014,0.0414,2.2e9,0.67,Gmsh,Lesicar,Z,No,0,8559928952.27191,0.3306128887879206,0.016259782058433148,0.12296752724269586,0.038570663955518114,0.05483044601395126,8676628947.019695,0.3319959206314592,8559928952.27191,0.3306128887879206,MISSING,1.013633290112392
FYMY_fy_z85,0.50,0.033,Composite,9.3926e+09,0.33,0.0542,0.044,0.0132,0.041,2.2e9,0.64,Gmsh,Lesicar,Z,Yes,0.0273,8016331432.860034,0.3310544663961493,0.013297586764637215,0.12333780165442035,0.07149865957915935,0.08479624634379657,8409937047.224457,0.33545315397852027,8016331432.860034,0.3310544663961493,MISSING,1.0491004666736932
FYMY_fy_z95,0.50,0.033,Composite,9.3692e+09,0.33,0.1021,0.045,0.0124,0.0897,2.2e9,0.61,Gmsh,Lesicar,Z,Yes,0.0598,6658415125.7722,0.3333532844364844,0.015362170494153338,0.12307972868823083,0.154354354086349,0.16971652458050235,7465306941.802147,0.3432293969327248,6658415125.7722,0.3333532844364844,MISSING,1.1211837653237893
FYMY_my_z05,0.50,0.033,Composite,9.5805e+09,0.33,0.0727,0.031,0.068,0.0047,2.2e9,0.87,Gmsh,Lesicar,Z,No,0,8435917950.998684,0.3300688763029798,0.0672640223400105,0.11659199720749869,0.00456696966765513,0.07183099200766563,8514028158.078381,0.3301787883692998,8435917950.998684,0.3300688763029798,MISSING,1.009259242151644
FYMY_my_z15,0.50,0.033,Composite,9.5570e+09,0.33,0.0691,0.032,0.064,0.0051,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8470546883.59849,0.33002811477558835,0.06416659287969373,0.11697917589003828,0.004338663539499521,0.06850525641919325,8556847169.092204,0.33019135920488796,8470546883.59849,0.33002811477558835,MISSING,1.010188277885672
FYMY_my_z25,0.50,0.033,Composite,9.5335e+09,0.33,0.0656,0.033,0.06,0.0056,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,8479734173.207521,0.3300365509889245,0.06049238932426504,0.11743845133446687,0.004612606413203935,0.06510499573746897,8574413730.901086,0.3301784821040251,8479734173.207521,0.3300365509889245,MISSING,1.0111653921879666
FYMY_my_z35,0.50,0.033,Composite,9.5100e+09,0.33,0.0622,0.034,0.056,0.0062,2.2e9,0.81,Gmsh,Lesicar,Z,No,0,8531978555.590729,0.33000537591850054,0.059756281558655644,0.11753046480516804,0.0018182535332300631,0.06157453509188571,8611436832.99343,0.3300571812879509,8531978555.590729,0.33000537591850054,MISSING,1.00931299544238
FYMY_my_z45,0.50,0.033,Composite,9.4865e+09,0.33,0.059,0.035,0.052,0.007,2.2e9,0.79,Gmsh,Lesicar,Z,No,0,8505850197.620168,0.33010371852795123,0.05239269583256667,0.11845091302092917,0.00829008844447543,0.0606827842770421,8635897722.27454,0.3304053240239692,8505850197.620168,0.33010371852795123,MISSING,1.0152891858700683
FYMY_my_z55,0.50,0.033,Composite,9.4631e+09,0.33,0.0562,0.037,0.048,0.0082,2.2e9,0.77,Gmsh,Lesicar,Z,No,0,8535652542.310802,0.33009002120337677,0.04889700763097693,0.11888787404612788,0.006891731470489049,0.05578873910146598,8686737542.18927,0.33038389966720566,8535652542.310802,0.33009002120337677,MISSING,1.0177004627507442
