run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
GASD_v000_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0200,0.035,0.000,0.02,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,9150464685.38829,0.33029784077424185,-4.858193847212533e-10,0.12500000006072742,0.01977425929373311,0.019774258807913725,9189680859.214407,0.33092360898779305,9150464685.38829,0.33029784077424185,MISSING,1.0042857029860721
GASD_v000_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0200,0.035,0.000,0.02,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,9161479196.755747,0.33021407996781216,-1.9111467963739415e-10,0.12500000002388933,0.01972105723467621,0.01972105704356153,9200033158.38329,0.33096999941934024,9161479196.755747,0.33021407996781216,MISSING,1.0042082682064262
GASD_v005_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0250,0.035,0.005,0.02,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,9086852707.398365,0.33029469174250087,0.00508880566647818,0.12436389929169023,0.01952983688556742,0.0246186425520456,9121310727.29412,0.330741249209832,9086852707.398365,0.33029469174250087,MISSING,1.0037920742203403
GASD_v005_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0250,0.035,0.005,0.02,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,9077328504.60825,0.33022543901449364,0.0052897290389744,0.1243387838701282,0.01939707114076583,0.02468680017974023,9129009452.23077,0.3309536855199842,9077328504.60825,0.33022543901449364,MISSING,1.0056934094206553
GASD_v010_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0300,0.035,0.010,0.02,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,8999481010.639568,0.3302580374296484,0.0098482743559547,0.12376896570550566,0.01977186694304578,0.02962014129900048,9054688052.504164,0.33077630424126503,8999481010.639568,0.3302580374296484,MISSING,1.0061344695098893
GASD_v010_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0300,0.035,0.010,0.02,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,9000647599.394552,0.330241547096925,0.01015385367159638,0.12373076829105045,0.01947385664477963,0.02962771031637601,9050913991.343893,0.33087955579451994,9000647599.394552,0.330241547096925,MISSING,1.0055847528074227
GASD_v015_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0350,0.035,0.015,0.02,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,8913462961.577137,0.33017176661625025,0.01483306769353021,0.12314586653830872,0.0197523433225939,0.03458541101612411,8996289335.894203,0.3309843080322532,8913462961.577137,0.33017176661625025,MISSING,1.0092922778356854
GASD_v015_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0350,0.035,0.015,0.02,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,8919819033.862675,0.33021150175752634,0.015469383458658115,0.12306632706766774,0.019046992313654698,0.03451637577231281,8981578607.411243,0.3308574682598887,8919819033.862675,0.33021150175752634,MISSING,1.006923859476757
GASD_v020_s1,0.50,0.033,Composite,9.4632e+09,0.33,0.0400,0.035,0.020,0.02,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,8852705166.409742,0.3301822642805969,0.01989051078753623,0.12251368615155797,0.019584911736163946,0.03947542252370018,8896365046.724651,0.3309562244907907,8852705166.409742,0.3301822642805969,MISSING,1.0049318123098203
GASD_v020_s2,0.50,0.033,Composite,9.4632e+09,0.33,0.0400,0.035,0.020,0.02,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,8846864630.397572,0.33022175502942747,0.01976558727810307,0.12252930159023712,0.019714482571565384,0.03948006984966845,8906155416.909622,0.33081772102997564,8846864630.397572,0.33022175502942747,MISSING,1.0067018982418166
