run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
GOCH_f020_s1,0.50,0.0280,Composite,9.3605e+09,0.33,0.1836,0.045,0.02,0.1636,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.0409,5894532418.409545,0.338886689745709,0.021543995280033146,0.12230700058999586,0.20512136118049362,0.22666535646052677,6733142861.873463,0.3491400300477422,5894532418.409545,0.338886689745709,MISSING,1.1422692054156502
GOCH_f020_s2,0.50,0.0280,Composite,9.3605e+09,0.33,0.1836,0.045,0.02,0.1636,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.0409,5912535320.7815275,0.3377737930036323,0.021025406904206845,0.12237182413697414,0.203367188262761,0.22439259516696786,6719324307.788173,0.3500631099110557,5912535320.7815275,0.3377737930036323,MISSING,1.136453981792028
GOCH_f020_s3,0.50,0.0280,Composite,9.3605e+09,0.33,0.1836,0.045,0.02,0.1636,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.0409,5787976180.422512,0.34143494398140295,0.02150346533463221,0.12231206683317097,0.2066770398006561,0.22818050513528831,6649933640.183259,0.35046776953863024,5787976180.422512,0.34143494398140295,MISSING,1.1489220813790262
GOCH_f020_s4,0.50,0.0280,Composite,9.3605e+09,0.33,0.1836,0.045,0.02,0.1636,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.0409,6249800902.068806,0.3366441018606977,0.021472383731579114,0.12231595203355261,0.18511099279042753,0.20658337652200665,6943448200.218522,0.3479756623976987,6249800902.068806,0.3366441018606977,MISSING,1.1109871032723788
GOCH_f020_s5,0.50,0.0280,Composite,9.3605e+09,0.33,0.1836,0.045,0.02,0.1636,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.0409,5737416126.92439,0.34113589449010207,0.023555116111923624,0.12205561048600955,0.21340464654040225,0.23695976265232588,6647808171.614041,0.35117347357426126,5737416126.92439,0.34113589449010207,MISSING,1.158676314311139
GOCH_f040_s1,0.50,0.0280,Composite,9.3605e+09,0.33,0.1427,0.045,0.02,0.1227,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.0818,5941154611.462843,0.33741945256389216,0.02385968406981287,0.12201753949127339,0.20115606723620427,0.22501575130601714,6876633710.465937,0.3494269624309915,5941154611.462843,0.33741945256389216,MISSING,1.1574574573767502
GOCH_f040_s2,0.50,0.0280,Composite,9.3605e+09,0.33,0.1427,0.045,0.02,0.1227,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.0818,5866008012.30992,0.337604476281854,0.020526241706798842,0.12243421978665014,0.2082062931023021,0.22873253480910094,6826419837.464905,0.3500609597877318,5866008012.30992,0.337604476281854,MISSING,1.1637249426082514
GOCH_f040_s3,0.50,0.0280,Composite,9.3605e+09,0.33,0.1427,0.045,0.02,0.1227,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.0818,5812371137.790371,0.34098448538862625,0.020469528023522088,0.12244130899705974,0.20283041190480589,0.22329993992832797,6844724872.626197,0.3498958975054801,5812371137.790371,0.34098448538862625,MISSING,1.1776131823592195
GOCH_f040_s4,0.50,0.0280,Composite,9.3605e+09,0.33,0.1427,0.045,0.02,0.1227,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.0818,5808376965.865397,0.3386372484319403,0.025129730418408158,0.12185878369769898,0.2012638874456556,0.22639361786406376,6847796375.182574,0.3496441293479137,5808376965.865397,0.3386372484319403,MISSING,1.178951782128747
GOCH_f040_s5,0.50,0.0280,Composite,9.3605e+09,0.33,0.1427,0.045,0.02,0.1227,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.0818,5892589019.105641,0.3393299798815857,0.019922763901735863,0.12250965451228302,0.20513824995100371,0.22506101385273958,6832091269.961,0.3499329992507091,5892589019.105641,0.3393299798815857,MISSING,1.1594379393860992
GOCH_f060_s1,0.50,0.0280,Composite,9.3605e+09,0.33,0.1018,0.045,0.02,0.0818,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.1227,5870404581.493511,0.33566354162218875,0.01997987689890679,0.12250251538763665,0.20563198727250054,0.22561186417140733,6967551201.730562,0.34911535344612077,5870404581.493511,0.33566354162218875,MISSING,1.1868945496015408
GOCH_f060_s2,0.50,0.0280,Composite,9.3605e+09,0.33,0.1018,0.045,0.02,0.0818,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.1227,5698894621.064127,0.3395458734187109,0.024683272601244255,0.12191459092484447,0.2063442689810131,0.23102754158225736,6937452512.295097,0.3506122759113438,5698894621.064127,0.3395458734187109,MISSING,1.2173330046590158
GOCH_f060_s3,0.50,0.0280,Composite,9.3605e+09,0.33,0.1018,0.045,0.02,0.0818,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.1227,5788961358.56315,0.3401310875972573,0.021227697356476227,0.12234653783044047,0.20471102820517473,0.22593872556165095,6951424466.994987,0.3497121817699843,5788961358.56315,0.3401310875972573,MISSING,1.2008068522883293
GOCH_f060_s4,0.50,0.0280,Composite,9.3605e+09,0.33,0.1018,0.045,0.02,0.0818,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.1227,5862735674.0512705,0.33598021725756055,0.020113388420686107,0.12248582644741424,0.2050808006248097,0.22519418904549582,6971238276.094754,0.3499812737837862,5862735674.0512705,0.33598021725756055,MISSING,1.1890759985905157
GOCH_f060_s5,0.50,0.0280,Composite,9.3605e+09,0.33,0.1018,0.045,0.02,0.0818,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.1227,5843071239.610948,0.33953736356417674,0.021615241688442532,0.12229809478894468,0.20696065300050814,0.22857589468895068,6923198124.70443,0.35031929392328065,5843071239.610948,0.33953736356417674,MISSING,1.184856018487531
GOCH_f085_s1,0.50,0.0280,Composite,9.3605e+09,0.33,0.0507,0.045,0.02,0.0307,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.1738,5705987500.210727,0.3385613679584297,0.020048430236730752,0.12249394622040866,0.2085352826571789,0.22858371289390966,7066248219.773094,0.35006852278806466,5705987500.210727,0.3385613679584297,MISSING,1.238391815529237
GOCH_f085_s2,0.50,0.0280,Composite,9.3605e+09,0.33,0.0507,0.045,0.02,0.0307,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.1738,5591082480.929837,0.3396918546030304,0.024379002007961725,0.12195262474900478,0.20451383874585938,0.2288928407538211,7080774663.574635,0.35005656858860384,5591082480.929837,0.3396918546030304,MISSING,1.2664407451912694
GOCH_f085_s3,0.50,0.0280,Composite,9.3605e+09,0.33,0.0507,0.045,0.02,0.0307,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.1738,5766896983.916081,0.33874855584794344,0.019847428651320387,0.12251907141858495,0.2033632803986669,0.2232107090499873,7127655951.044683,0.3497386910968292,5766896983.916081,0.33874855584794344,MISSING,1.2359603389697733
GOCH_f085_s4,0.50,0.0280,Composite,9.3605e+09,0.33,0.0507,0.045,0.02,0.0307,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.1738,5743924532.653013,0.33519594344618253,0.020269104810830774,0.12246636189864615,0.20681651729898132,0.2270856221098121,7088370069.954535,0.35037240042069606,5743924532.653013,0.33519594344618253,MISSING,1.2340639278351637
GOCH_f085_s5,0.50,0.0280,Composite,9.3605e+09,0.33,0.0507,0.045,0.02,0.0307,2.2e9,0.59,Gmsh,Lesicar,Z,Yes,0.1738,5666886601.843089,0.3355031737082815,0.021301731861643747,0.12233728351729453,0.20828408120425035,0.2295858130658941,7080354766.124672,0.35013359625346613,5666886601.843089,0.3355031737082815,MISSING,1.249425877663031
