run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
GOGO_z042_s1,0.50,0.0193,Composite,9.4279e+09,0.33,0.0678,0.031,0.02,0.0478,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0319,7670348062.5639305,0.33028156685252874,0.019937071744661194,0.12250786603191735,0.08514638288440857,0.10508345462906976,8174145125.401958,0.33680142361573967,7670348062.5639305,0.33028156685252874,MISSING,1.065681121473075
GOGO_z042_s2,0.50,0.0193,Composite,9.4279e+09,0.33,0.0678,0.031,0.02,0.0478,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0319,7705038564.238715,0.33134813378452976,0.02054533161533123,0.1224318335480836,0.08002407523481159,0.10056940685014282,8236232804.575764,0.33648587928706886,7705038564.238715,0.33134813378452976,MISSING,1.0689411527156363
GOGO_z042_s3,0.50,0.0193,Composite,9.4279e+09,0.33,0.0678,0.031,0.02,0.0478,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0319,7663585687.066889,0.33143189863392614,0.020083260116454893,0.12248959248544314,0.08484589183435132,0.10492915195080621,8202098820.262526,0.3365703645598659,7663585687.066889,0.33143189863392614,MISSING,1.0702690822788652
GOGO_z042_s4,0.50,0.0193,Composite,9.4279e+09,0.33,0.0678,0.031,0.02,0.0478,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0319,7686423889.411494,0.33143722216744664,0.01988782796338584,0.12251402150457677,0.08272940182385469,0.10261722978724053,8229499857.071999,0.3366450741201813,7686423889.411494,0.33143722216744664,MISSING,1.0706539185808661
GOGO_z042_s5,0.50,0.0193,Composite,9.4279e+09,0.33,0.0678,0.031,0.02,0.0478,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0319,7693930832.533119,0.3316325064234149,0.02276079292271871,0.12215490088466016,0.0829738341367388,0.1057346270594575,8192401302.064078,0.336510742290749,7693930832.533119,0.3316325064234149,MISSING,1.0647874903454058
GOGO_z125_s1,0.50,0.0199,Composite,9.4218e+09,0.33,0.0621,0.032,0.02,0.0421,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0281,7861791321.317212,0.33104507303287883,0.02211473355232063,0.12223565830595992,0.06821891243665323,0.09033364598897387,8361515806.883356,0.3352629822054666,7861791321.317212,0.33104507303287883,MISSING,1.0635636924387886
GOGO_z125_s2,0.50,0.0199,Composite,9.4218e+09,0.33,0.0621,0.032,0.02,0.0421,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0281,7854698740.842596,0.3310888549805182,0.020108939218748345,0.12248638259765646,0.07175866476906057,0.09186760398780891,8340016682.46571,0.3357668951754302,7854698740.842596,0.3310888549805182,MISSING,1.0617869580534736
GOGO_z125_s3,0.50,0.0199,Composite,9.4218e+09,0.33,0.0621,0.032,0.02,0.0421,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0281,7902855487.239106,0.33118515510823116,0.01984639610910044,0.12251920048636245,0.0705487791526489,0.09039517526174934,8359093761.782978,0.3355277038835167,7902855487.239106,0.33118515510823116,MISSING,1.057730813283954
GOGO_z125_s4,0.50,0.0199,Composite,9.4218e+09,0.33,0.0621,0.032,0.02,0.0421,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0281,7854200212.492336,0.3310805979711416,0.024524661636149192,0.12193441729548135,0.06591791557526805,0.09044257721141724,8355677188.364047,0.3352634546440524,7854200212.492336,0.3310805979711416,MISSING,1.0638482547305195
GOGO_z125_s5,0.50,0.0199,Composite,9.4218e+09,0.33,0.0621,0.032,0.02,0.0421,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0281,7913717731.82439,0.33035164883622176,0.01996293760378509,0.12250463279952686,0.06986086356879273,0.08982380117257782,8361073238.5182295,0.33542493035637655,7913717731.82439,0.33035164883622176,MISSING,1.0565291209332415
GOGO_z208_s1,0.50,0.0205,Composite,9.4156e+09,0.33,0.0589,0.033,0.02,0.0389,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0259,7955427049.512604,0.3308690428748944,0.019868499356765712,0.12251643758040429,0.06671747570898301,0.08658597506574872,8384894129.1430025,0.3352019681172598,7955427049.512604,0.3308690428748944,MISSING,1.0539841641382044
GOGO_z208_s2,0.50,0.0205,Composite,9.4156e+09,0.33,0.0589,0.033,0.02,0.0389,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0259,7910303763.51583,0.33057989219711337,0.022009205634779816,0.12224884929565252,0.06723348433491072,0.08924268996969054,8361642093.986611,0.33513221908536156,7910303763.51583,0.33057989219711337,MISSING,1.0570570162618103
GOGO_z208_s3,0.50,0.0205,Composite,9.4156e+09,0.33,0.0589,0.033,0.02,0.0389,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0259,7868137849.604656,0.3310233479166988,0.01985568272398197,0.12251803965950225,0.06986084372650181,0.08971652645048378,8360961049.737865,0.33559162966276024,7868137849.604656,0.3310233479166988,MISSING,1.0626353032386147
GOGO_z208_s4,0.50,0.0205,Composite,9.4156e+09,0.33,0.0589,0.033,0.02,0.0389,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0259,7844115753.25031,0.33089294031031546,0.020467837135204947,0.12244152035809938,0.07173805255151566,0.09220588968672061,8351435478.054245,0.335708099744475,7844115753.25031,0.33089294031031546,MISSING,1.0646751961294962
GOGO_z208_s5,0.50,0.0205,Composite,9.4156e+09,0.33,0.0589,0.033,0.02,0.0389,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0259,7968328348.4202795,0.3306848722053656,0.021697376656978795,0.12228782791787765,0.06353566690631363,0.08523304356329242,8398345421.559341,0.3347078728561604,7968328348.4202795,0.3306848722053656,MISSING,1.0539657823242579
GOGO_z292_s1,0.50,0.0218,Composite,9.4095e+09,0.33,0.0582,0.035,0.02,0.0382,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.0255,7882185061.327044,0.33064328611207505,0.02060257411784705,0.12242467823526912,0.06902869419702817,0.08963126831487522,8359268696.012869,0.3354862067815013,7882185061.327044,0.33064328611207505,MISSING,1.060526824855531
