run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
LB_p080_b010_drn_s1,0.50,0.0050,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,844641874.4187815,0.03497248143921172,0.010503337336166707,0.12368708283297916,0.10005194229869491,0.11055527963486161,8075712270.343635,0.32798029626890135,844641874.4187815,0.03497248143921172,MISSING,9.561108103834808
LB_p080_b010_drn_s2,0.50,0.0050,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,872727163.9730948,0.03563991483067315,0.010099962185407763,0.12373750472682403,0.09931686848791572,0.10941683067332349,8076820547.901426,0.32561123136232767,872727163.9730948,0.03563991483067315,MISSING,9.254691364402662
LB_p080_b010_drn_s3,0.50,0.0050,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,855348125.0439347,0.035178960739025225,0.010609896622153281,0.12367376292223084,0.09906040674895822,0.1096703033711115,,,855348125.0439347,0.035178960739025225,MISSING,
LB_p080_b010_und_s1,0.50,0.0050,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
LB_p080_b010_und_s2,0.50,0.0050,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
LB_p080_b010_und_s3,0.50,0.0050,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
LB_p080_b020_drn_s1,0.50,0.0050,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1397878104.7847538,0.057415553216037724,0.009983756814076594,0.12375203039824043,0.09998023354223626,0.10996399035631285,8090800888.79459,0.3287626975397974,1397878104.7847538,0.057415553216037724,MISSING,5.787915885584614
LB_p080_b020_drn_s2,0.50,0.0050,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1346102826.4715514,0.055664079157274296,0.010210819679683958,0.1237236475400395,0.09947058902513559,0.10968140870481954,8070813574.661852,0.3308857301528241,1346102826.4715514,0.055664079157274296,MISSING,5.995688751220686
LB_p080_b020_drn_s3,0.50,0.0050,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1342172510.4453804,0.05643127872296754,0.010050174724275829,0.12374372815946552,0.0995340964725715,0.10958427119684733,8067137862.814724,0.3317027889887637,1342172510.4453804,0.05643127872296754,MISSING,6.010507442249552
LB_p080_b020_und_s1,0.50,0.0050,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
LB_p080_b020_und_s2,0.50,0.0050,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
LB_p080_b020_und_s3,0.50,0.0050,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
LB_p080_b030_drn_s1,0.50,0.0057,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2440538288.848624,0.09818515092383387,0.010069364903418698,0.12374132938707266,0.10047136205023761,0.11054072695365631,8054823518.05936,0.3252130684854828,2440538288.848624,0.09818515092383387,MISSING,3.300429071268287
LB_p080_b030_drn_s2,0.50,0.0057,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2392680113.7023845,0.09663697824134623,0.01065671870083329,0.12366791016239584,0.10008550308468434,0.11074222178551762,8024475059.535133,0.32621255212505984,2392680113.7023845,0.09663697824134623,MISSING,3.3537600841753243
LB_p080_b030_drn_s3,0.50,0.0057,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2380368224.9903507,0.0954730768116705,0.00996774930151123,0.1237540313373111,0.1004333176898628,0.11040106699137403,8049734009.098768,0.3238521065759288,2380368224.9903507,0.0954730768116705,MISSING,3.3817179731221625
LB_p080_b030_und_s1,0.50,0.0057,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
LB_p080_b030_und_s2,0.50,0.0057,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
LB_p080_b030_und_s3,0.50,0.0057,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
LB_p080_b045_drn_s1,0.50,0.0073,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
LB_p080_b045_drn_s2,0.50,0.0073,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
LB_p080_b045_drn_s3,0.50,0.0073,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
LB_p080_b045_und_s1,0.50,0.0073,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
LB_p080_b045_und_s2,0.50,0.0073,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,,,,,,,,,MISSING,MISSING,MISSING,
