run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_eff,nu_eff,G_eff,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_anisotropy
LCOL_p060_drn_s1,0.50,0.0055,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,,,,,,,,,
LCOL_p060_drn_s2,0.50,0.0055,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,,,,,,,,,
LCOL_p060_drn_s3,0.50,0.0055,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,,,,,,,,,
LCOL_p060_und_s1,0.50,0.0055,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,,,,,,,,,
LCOL_p060_und_s2,0.50,0.0055,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,,,,,,,,,
LCOL_p060_und_s3,0.50,0.0055,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,MISSING,MISSING,MISSING,,,,,,,,,
LCOL_p080_drn_s1,0.50,0.0063,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3788462524.300503,0.15076725672804758,MISSING,3788462524.300503,0.15076725672804758,0.010177433787685208,0.12372782077653935,0.09980299903409973,0.10998043282178493,8081854996.92152,0.32367070564153705,2.1332809669045742
LCOL_p080_drn_s2,0.50,0.0063,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3910601494.401508,0.15253098024432712,MISSING,3910601494.401508,0.15253098024432712,0.009936908398673117,0.12375788645016586,0.09899426977386648,0.1089311781725396,8069874424.052927,0.32469458947644686,2.063589050330471
LCOL_p080_drn_s3,0.50,0.0063,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3972932658.8815312,0.1539927039358236,MISSING,3972932658.8815312,0.1539927039358236,0.010072381499141914,0.12374095231260726,0.09852702191427165,0.10859940341341356,8068429017.653191,0.3252233814698714,2.0308496796733104
LCOL_p080_und_s1,0.50,0.0063,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5487421968.839072,0.30977410065608174,MISSING,5487421968.839072,0.30977410065608174,0.010008896735580919,0.12374888790805239,0.09978078845113533,0.10978968518671625,8067224720.944687,0.3459595004429809,1.470130193514424
LCOL_p080_und_s2,0.50,0.0063,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5539605390.081749,0.31490733300889256,MISSING,5539605390.081749,0.31490733300889256,0.010235221945929296,0.12372059725675884,0.10035571649959676,0.11059093844552606,8069440229.631225,0.3452081689153832,1.456681417069699
LCOL_p080_und_s3,0.50,0.0063,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5418884677.710727,0.31512827883241884,MISSING,5418884677.710727,0.31512827883241884,0.010079097513652657,0.12374011281079342,0.09905898924515798,0.10913808675881063,8082640184.073536,0.3458764134076543,1.491568960180962
LCOL_p100_drn_s1,0.50,0.0071,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2298709511.458641,0.09406452896749798,MISSING,2298709511.458641,0.09406452896749798,0.010537683795573516,0.12368278952555331,0.11853209912189436,0.12906978291746787,7856786699.82285,0.32440887361846765,3.4179119460976795
