run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
LMESH_m0p0240_drn_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2539360214.419157,0.10241180096673855,0.010143405315280463,0.12373207433558994,0.11878847584252794,0.1289318811578084,7939262571.505667,0.3252404948561465,2539360214.419157,0.10241180096673855,MISSING,3.1264814367116727
LMESH_m0p0240_drn_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2498501316.7015414,0.1012986162309849,0.009847592900036561,0.12376905088749543,0.11867696241408976,0.12852455531412632,7925370988.585227,0.3244562579696102,2498501316.7015414,0.1012986162309849,MISSING,3.1720499547497147
LMESH_m0p0240_und_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,6253374361.5165615,0.2886497195194814,0.010341980938065598,0.1237072523827418,0.11931056122600259,0.12965254216406819,7937649310.036756,0.3463236999302809,6253374361.5165615,0.2886497195194814,MISSING,1.269338576446865
LMESH_m0p0240_und_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,6190260575.75761,0.2885331117840819,0.010132398568130085,0.12373345017898374,0.11930499756719803,0.12943739613532812,7944223287.652891,0.34653183726950787,6190260575.75761,0.2885331117840819,MISSING,1.2833423069077536
LMESH_m0p0120_drn_s1,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2322552405.3891335,0.09434392368337888,0.010299350923985928,0.12371258113450176,0.11979746986528106,0.130096820789267,7881488774.041984,0.32640797506145114,2322552405.3891335,0.09434392368337888,MISSING,3.393460038083177
LMESH_m0p0120_drn_s2,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2357274220.3830943,0.0973305378980136,0.01004902625518489,0.12374387171810189,0.11814512242531608,0.12819414868050097,7894004461.890263,0.325853413460515,2357274220.3830943,0.0973305378980136,MISSING,3.3487849625773967
LMESH_m0p0120_und_s1,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5545192271.91574,0.29071447499559255,0.010030378867923462,0.12374620264150957,0.11959356246961086,0.12962394133753433,7918299413.190683,0.34798761212014606,5545192271.91574,0.29071447499559255,MISSING,1.4279575936967626
LMESH_m0p0120_und_s2,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,5585977817.968047,0.29161431762375656,0.009955646632773485,0.12375554417090331,0.11838525126979049,0.12834089790256398,7913457021.535013,0.348588554611146,5585977817.968047,0.29161431762375656,MISSING,1.4166645982875758
LMESH_m0p0080_drn_s1,0.50,0.0080,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2337235784.6689196,0.09531173068608685,0.01004310902093175,0.12374461137238353,0.11796652652918829,0.12800963555012004,7882022794.662513,0.3255455799609166,2337235784.6689196,0.09531173068608685,MISSING,3.372369551401096
LMESH_m0p0080_drn_s2,0.50,0.0080,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2312635891.898623,0.09526400644854638,0.010869844232719972,0.12364126947091,0.11927525630227342,0.1301451005349934,7839526465.578246,0.32430197841406416,2312635891.898623,0.09526400644854638,MISSING,3.3898662963075297
