run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
LSK_p220_b003_drn_s1,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,269392240.49379015,0.012041076176182072,0.00996296359015747,0.12375462955123032,0.23680444726931232,0.2467674108594698,6833601495.573143,0.3101148728907047,269392240.49379015,0.012041076176182072,MISSING,25.3667347027045
LSK_p220_b003_drn_s2,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,249321516.20899585,0.01178490555434053,0.010166902176104164,0.12372913722798698,0.23407271394483337,0.24423961612093753,6853492900.462931,0.33329162806813545,249321516.20899585,0.01178490555434053,MISSING,27.488573808920417
LSK_p220_b003_und_s1,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1966765256.882183,0.2608216934417821,0.00990858587670762,0.12376142676541155,0.23671200106046247,0.2466205869371701,6813690925.670689,0.3715709658753323,1966765256.882183,0.2608216934417821,MISSING,3.464414933011426
LSK_p220_b003_und_s2,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2278108760.948207,0.2766839610026666,0.009952272474046842,0.12375596594074414,0.23576293351935013,0.24571520599339697,6814832111.814555,0.3718932423471961,2278108760.948207,0.2766839610026666,MISSING,2.991442826890341
LSK_p220_b007_drn_s1,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,512898419.60111004,0.024834517034885418,0.009948919027411796,0.12375638512157353,0.23710887817325194,0.24705779720066373,6763760086.923599,0.3241873879712299,512898419.60111004,0.024834517034885418,MISSING,13.187328773958578
LSK_p220_b007_drn_s2,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,528100481.8683809,0.02471152723386304,0.010075157183173422,0.12374060535210332,0.23264389224260457,0.242719049425778,6837019160.203412,0.32791851272742883,528100481.8683809,0.02471152723386304,MISSING,12.946436132787719
LSK_p220_b007_und_s1,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2243753892.34637,0.2725368986532287,0.010100094530822057,0.12373748818364724,0.23725738558761833,0.2473574801184404,6799983858.229287,0.3709212837436823,2243753892.34637,0.2725368986532287,MISSING,3.0306282170360097
LSK_p220_b007_und_s2,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2016121832.159762,0.3082335302176696,0.010129082695607527,0.12373386466304906,0.23520927303188638,0.2453383557274939,6822337631.430408,0.3698688145784521,2016121832.159762,0.3082335302176696,MISSING,3.383891549907977
LSK_p220_b013_drn_s1,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,922361548.0387609,0.04322987984523363,0.010397919061996164,0.12370026011725048,0.23338820656494738,0.24378612562694355,6780256830.418955,0.3246571318883748,922361548.0387609,0.04322987984523363,MISSING,7.350975162436004
LSK_p220_b013_drn_s2,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,854206995.9229516,0.04143676252109609,0.010590603524896158,0.12367617455938798,0.23649817881175111,0.24708878233664727,6727743007.225867,0.3242609569560426,854206995.9229516,0.04143676252109609,MISSING,7.8760101934738795
LSK_p220_b013_und_s1,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2270110702.9632797,0.28108321212773757,0.010001527893487738,0.12374980901331403,0.2361693475751721,0.24617087546865984,6744681067.594637,0.3707843525877652,2270110702.9632797,0.28108321212773757,MISSING,2.971080246787302
LSK_p220_b013_und_s2,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,2136294570.3250082,0.2791039520191698,0.010128360812605264,0.12373395489842434,0.23529313582576455,0.24542149663836982,6762054095.1965275,0.37044379474939504,2136294570.3250082,0.2791039520191698,MISSING,3.1653191414364605
LSK_p280_b003_drn_s1,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,240961217.82700935,0.011681520074898786,0.010379546962947517,0.12370255662963156,0.29457578083735214,0.30495532780029966,6241752043.436643,0.3094946448971466,240961217.82700935,0.011681520074898786,MISSING,25.90355452103382
LSK_p280_b003_drn_s2,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,227026913.94949993,0.010698903870689152,0.01098871362809839,0.1236264107964877,0.2937739037061053,0.3047626173342037,6245671276.5587,0.3131243745157637,227026913.94949993,0.010698903870689152,MISSING,27.510708611173705
LSK_p280_b003_und_s1,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1581055800.3415673,0.26097225666294194,0.01010414389705816,0.12373698201286773,0.29450507485905886,0.304609218756117,6267575369.493653,0.3816916738481734,1581055800.3415673,0.26097225666294194,MISSING,3.9641708838736887
LSK_p280_b003_und_s2,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1397041822.7489514,0.26286573856231366,0.00992680559284742,0.12375914930089407,0.29662160678438143,0.30654841237722885,6228544623.823187,0.38252606310661896,1397041822.7489514,0.26286573856231366,MISSING,4.458380932052066
LSK_p280_b007_drn_s1,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,457563809.6061614,0.022464522346824993,0.010662327513397907,0.12366720906082526,0.2921106705417782,0.3027729980551761,6245875452.029608,0.313779648936306,457563809.6061614,0.022464522346824993,MISSING,13.650282913339707
LSK_p280_b007_drn_s2,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,447578549.6765421,0.022389990664412364,0.010130812348254858,0.12373364845646814,0.2958862356652352,0.30601704801349006,6181217594.243944,0.32517763987086423,447578549.6765421,0.022389990664412364,MISSING,13.810352615671622
LSK_p280_b007_und_s1,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1175788439.7831857,0.2789671922017005,0.009952343373404782,0.1237559570783244,0.29450039017989704,0.3044527335533018,6205257630.074937,0.3811619101657592,1175788439.7831857,0.2789671922017005,MISSING,5.2775290350866015
LSK_p280_b007_und_s2,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1354594373.6679683,0.27537201889358065,0.010063015577067125,0.12374212305286661,0.29160757383273544,0.30167058940980257,6271782729.48048,0.38055419128055973,1354594373.6679683,0.27537201889358065,MISSING,4.630007957657286
LSK_p280_b013_drn_s1,0.50,0.0120,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,842466549.8244455,0.04129774719801432,0.011323193754984695,0.12358460078062691,0.2928887111492662,0.3042119049042509,6142329807.023811,0.31100827557262894,842466549.8244455,0.04129774719801432,MISSING,7.290888651073161
