run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
LBASE_z05_s1,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,4331351035.297676,0.3339075546915554,0.01980092471177386,0.12252488441102827,0.032208264504049566,0.052009189215823426,4335018810.533455,0.3339152670759009,4331351035.297676,0.3339075546915554,MISSING,1.0008467970399741
LBASE_z05_s2,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,4324463493.627818,0.33422497076305935,0.01926779486252883,0.1225915256421839,0.03535973305223905,0.05462752791476788,4326708763.327464,0.3341802201929117,4324463493.627818,0.33422497076305935,MISSING,1.0005192019086193
LBASE_z05_s3,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,4329399627.522783,0.3339363345947217,0.0205571930065247,0.12243035087418441,0.033840775879482976,0.054397968886007675,4325209833.16543,0.33396217748244583,4329399627.522783,0.3339363345947217,MISSING,1.000968691582366
LBASE_z05_s4,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,4293391896.636612,0.3344914560582366,0.020734946680519784,0.12240813166493503,0.03823779666876703,0.058972743349286816,4297390453.631711,0.3344323573059751,4293391896.636612,0.3344914560582366,MISSING,1.0009313282112056
LBASE_z05_s5,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,4338691315.598184,0.3338611029936023,0.01949028242139761,0.1225637146973253,0.03210202568822318,0.05159230810962079,4338336412.129635,0.3338584919645862,4338691315.598184,0.3338611029936023,MISSING,1.000081806350369
LBASE_z15_s1,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,4388967342.475567,0.33321901071290555,0.016126757219808496,0.12298415534752394,0.027333128036360677,0.04345988525616917,4384884474.122342,0.3332556637147037,4388967342.475567,0.33321901071290555,MISSING,1.0009311233573701
LBASE_z15_s2,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,4361210351.950433,0.33400631488252297,0.014286322787579353,0.12321420965155258,0.03338798967157253,0.04767431245915188,4358495789.856862,0.3339241214913633,4361210351.950433,0.33400631488252297,MISSING,1.0006228208594095
LBASE_z15_s3,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,4375763191.41255,0.3332605865004174,0.016624299655990882,0.12292196254300114,0.028719915543046426,0.04534421519903731,4379225859.503031,0.33330273429829593,4375763191.41255,0.3332605865004174,MISSING,1.0007913289497192
LBASE_z15_s4,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,4366938067.761412,0.3337276536835472,0.014656872772462748,0.12316789090344216,0.032378241950993925,0.04703511472345667,4366635242.093039,0.33381313570657756,4366938067.761412,0.3337276536835472,MISSING,1.000069349888778
LBASE_z15_s5,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,4380824581.27622,0.33348958971408316,0.01532793458355286,0.12308400817705589,0.030085193679838085,0.045413128263390945,4376505803.350459,0.3335209415954924,4380824581.27622,0.33348958971408316,MISSING,1.000986809596472
