run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,E_y,nu_y,E_z,nu_z,G_xy,G_xz,G_yz,E_eff,nu_eff,G_eff,E_anisotropy,E_z_over_xy
ICE_z05,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,4294106609.5138497,0.3347395787918773,4296444686.835982,0.3346931711583483,4296165689.390159,0.33464749638330304,1610900714.0756714,1610534381.605251,1610844968.403178,4294106609.5138497,0.3347395787918773,1610534381.605251,1.0005444851594865,1.0002072139923361
ICE_z15,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,4335394064.829062,0.3336438400212487,4355793235.209976,0.33356308092890385,4335375516.231904,0.33369423049889313,1627791629.3375344,1629156197.2568045,1627697319.6098924,4335394064.829062,0.3336438400212487,1629156197.2568045,1.0047095618134179,0.9976486218890784
ICE_z25,0.50,0.033,Composite,4.670e9,0.33,0.030,0.032,0.012,0.018,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,4356058246.349255,0.33393210365783954,4358822773.873232,0.33398927075930496,4357932759.648187,0.3339963406701775,1634728648.530437,1633803414.6057384,1636322126.4910321,4356058246.349255,0.33393210365783954,1633803414.6057384,1.0006346397058152,1.000112967586316
ICE_z35,0.50,0.033,Composite,4.660e9,0.33,0.029,0.033,0.010,0.019,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,4377001361.072858,0.333716518652854,4380550850.944761,0.3336250465755126,4379513320.846746,0.3336804683311746,1642103387.2387934,1643246005.5924637,1641343530.176012,4377001361.072858,0.333716518652854,1643246005.5924637,1.0008109410025483,1.000168360934674
ICE_z45,0.50,0.033,Composite,4.650e9,0.33,0.030,0.035,0.010,0.020,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,4347552132.981071,0.3341418474009079,4342225247.604195,0.33420756023871984,4347877212.407787,0.3340440017632804,1630481201.2831323,1628887737.613481,1629438680.416268,4347552132.981071,0.3341418474009079,1628887737.613481,1.0013016286538132,1.0006878247817559
ICE_z55,0.50,0.033,Composite,4.635e9,0.33,0.033,0.037,0.010,0.023,2.2e9,0.78,Gmsh,Lesicar,Z,No,0,4295873228.452697,0.3348958612677992,4294811854.950034,0.3349202887443169,4293050855.447483,0.3348930471597414,1607881436.404753,1606800369.4931161,1609182717.2197716,4295873228.452697,0.3348958612677992,1606800369.4931161,1.0006574282719323,0.9994664718281177
ICE_z65,0.50,0.033,Composite,4.626e9,0.33,0.040,0.039,0.010,0.030,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,4195438151.475796,0.33627590849253175,4196145939.9632483,0.3362722599019978,4185980161.699203,0.336361816671197,1568292040.0325797,1566051265.859174,1566328565.8139372,4195438151.475796,0.33627590849253175,1566051265.859174,1.0024285299670217,0.9976614942033818
ICE_z75,0.50,0.033,Composite,4.616e9,0.33,0.053,0.041,0.012,0.041,2.2e9,0.72,Gmsh,Lesicar,Z,No,0,3873219936.7991986,0.3430778241538595,3870676457.0082693,0.3434644291537483,3880470770.500941,0.3434398368141792,1436723133.3197145,1438959087.102051,1442699450.3138638,3873219936.7991986,0.3430778241538595,1438959087.102051,1.0025303880604481,1.002201107340233
ICE_z85,0.50,0.033,Composite,4.601e9,0.33,0.065,0.043,0.015,0.050,2.2e9,0.68,Gmsh,Lesicar,Z,Yes,0.018,3637680309.537955,0.34782138291759807,3627050991.5524917,0.3470753220635209,3699508401.6615615,0.34734724584320736,1338492321.019949,1357053968.8465178,1343068997.092339,3637680309.537955,0.34782138291759807,1357053968.8465178,1.0199769482915528,1.018484579355677
ICE_z95,0.50,0.033,Composite,4.591e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,2254923690.385918,0.3830934668449568,2336371330.6948977,0.3832122970970664,2368421019.67184,0.38358673253846604,774206714.3685995,791974818.678888,832379249.2162608,2254923690.385918,0.3830934668449568,791974818.678888,1.0503331131646843,1.0317006460257048
