run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
MONO_z05,0.50,0.033,Composite,4.6944e+09,0.33,0.0251,0.031,0.012,0.0131,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,4458958115.267588,0.3322922327542684,4463280412.272051,0.3322442043213134,4458958115.267588,0.3322922327542684,MISSING,1.00096935133561
MONO_z15,0.50,0.033,Composite,4.6829e+09,0.33,0.0275,0.032,0.012,0.0155,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,4389645149.730332,0.33327753950889394,4390612962.853594,0.3333308464743011,4389645149.730332,0.33327753950889394,MISSING,1.0002204763916558
MONO_z25,0.50,0.033,Composite,4.6714e+09,0.33,0.0306,0.034,0.012,0.0186,2.2e9,0.79,Gmsh,Lesicar,Z,No,0,4342320164.454514,0.33419851289207925,4341750900.291329,0.33423983487057973,4342320164.454514,0.33419851289207925,MISSING,1.0001311139621452
MONO_z35,0.50,0.033,Composite,4.6599e+09,0.33,0.0344,0.036,0.012,0.0224,2.2e9,0.77,Gmsh,Lesicar,Z,No,0,4271518862.495026,0.33569688014085286,4272081959.4213977,0.33568171215526055,4271518862.495026,0.33569688014085286,MISSING,1.0001318259252734
MONO_z45,0.50,0.033,Composite,4.6484e+09,0.33,0.0392,0.037,0.012,0.0272,2.2e9,0.74,Gmsh,Lesicar,Z,No,0,4206539188.473197,0.3363865362468862,4216446922.0931463,0.33639104981773893,4206539188.473197,0.3363865362468862,MISSING,1.0023553170851465
MONO_z55,0.50,0.033,Composite,4.6369e+09,0.33,0.0458,0.039,0.012,0.0338,2.2e9,0.72,Gmsh,Lesicar,Z,No,0,4059994655.8225408,0.3387016361859846,4048142528.1330743,0.33879110650277544,4059994655.8225408,0.3387016361859846,MISSING,1.0029277940702677
MONO_z65,0.50,0.033,Composite,4.6254e+09,0.33,0.0552,0.040,0.012,0.0432,2.2e9,0.69,Gmsh,Lesicar,Z,No,0,3943662320.815643,0.34159160885520945,3926012869.5409207,0.3417496754131467,3943662320.815643,0.34159160885520945,MISSING,1.004495515389583
MONO_z75,0.50,0.033,Composite,4.6139e+09,0.33,0.0467,0.042,0.012,0.0347,2.2e9,0.67,Gmsh,Lesicar,Z,Yes,0.0232,3726277120.8145137,0.3453562356162676,3796369676.7902174,0.34563644772841695,3726277120.8145137,0.3453562356162676,MISSING,1.018810344400897
MONO_z85,0.50,0.033,Composite,4.6024e+09,0.33,0.0626,0.044,0.012,0.0506,2.2e9,0.64,Gmsh,Lesicar,Z,Yes,0.0337,3429380186.570287,0.35318194596549846,3542272136.4885073,0.35213448421359994,3429380186.570287,0.35318194596549846,MISSING,1.0329190535246904
MONO_z95,0.50,0.033,Composite,4.5909e+09,0.33,0.0994,0.045,0.012,0.0874,2.2e9,0.61,Gmsh,Lesicar,Z,Yes,0.0583,2496490113.9625945,0.37691170261261137,2590272479.222899,0.37869945095654733,2496490113.9625945,0.37691170261261137,MISSING,1.037565686615697
