run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
MON2_z05,0.50,0.033,Composite,4.6944e+09,0.33,0.0291,0.031,0.012,0.0171,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,4434605727.453462,0.33312598995745496,4437445069.915727,0.3330534325464888,4434605727.453462,0.33312598995745496,MISSING,1.000640269425687
MON2_z15,0.50,0.033,Composite,4.6829e+09,0.33,0.0353,0.032,0.012,0.0233,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,4295912133.305402,0.33516665048864747,4291986073.736988,0.33520736109545635,4295912133.305402,0.33516665048864747,MISSING,1.0009147419169035
MON2_z25,0.50,0.033,Composite,4.6714e+09,0.33,0.0414,0.034,0.012,0.0294,2.2e9,0.79,Gmsh,Lesicar,Z,No,0,4233610268.0854597,0.33650178215842413,4233133582.400446,0.33649281265082387,4233610268.0854597,0.33650178215842413,MISSING,1.0001126082311684
MON2_z35,0.50,0.033,Composite,4.6599e+09,0.33,0.0484,0.036,0.012,0.0364,2.2e9,0.77,Gmsh,Lesicar,Z,No,0,4123160093.8981442,0.3384579866494678,4124494650.011416,0.33847372366846823,4123160093.8981442,0.3384579866494678,MISSING,1.000323673125195
MON2_z45,0.50,0.033,Composite,4.6484e+09,0.33,0.057,0.037,0.012,0.045,2.2e9,0.74,Gmsh,Lesicar,Z,No,0,4020469085.181077,0.34038512241342045,4040699006.817097,0.34033370049466005,4020469085.181077,0.34038512241342045,MISSING,1.0050317316729496
MON2_z55,0.50,0.033,Composite,4.6369e+09,0.33,0.0428,0.039,0.012,0.0308,2.2e9,0.72,Gmsh,Lesicar,Z,Yes,0.0253,3868584268.784724,0.3427080242196834,3950670382.7427835,0.34327694360688576,3868584268.784724,0.3427080242196834,MISSING,1.0212186444070523
MON2_z65,0.50,0.033,Composite,4.6254e+09,0.33,0.0514,0.040,0.012,0.0394,2.2e9,0.69,Gmsh,Lesicar,Z,Yes,0.0323,3643014014.1642804,0.3473423263857511,3774021379.055111,0.34729622345768923,3643014014.1642804,0.3473423263857511,MISSING,1.0359612574591988
MON2_z75,0.50,0.033,Composite,4.6139e+09,0.33,0.0647,0.042,0.012,0.0527,2.2e9,0.67,Gmsh,Lesicar,Z,Yes,0.0431,3375573099.1761394,0.35317635093057653,3506845221.6241617,0.3537285259550377,3375573099.1761394,0.35317635093057653,MISSING,1.038888840084684
MON2_z85,0.50,0.033,Composite,4.6024e+09,0.33,0.0882,0.044,0.012,0.0762,2.2e9,0.64,Gmsh,Lesicar,Z,Yes,0.0623,2806104233.6164026,0.37044619472951623,2956910637.5747447,0.3683590969663392,2806104233.6164026,0.37044619472951623,MISSING,1.0537422673583257
MON2_z95,0.50,0.033,Composite,4.5909e+09,0.33,0.1,0.045,0.012,0.088,2.2e9,0.61,Gmsh,Lesicar,Z,Yes,0.072,2413507904.293287,0.38056303270537833,2558970586.5828147,0.3809800059319565,2413507904.293287,0.38056303270537833,MISSING,1.0602702323993929
