run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
MORF_s60g30,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.60,Gmsh,Lesicar,Z,No,0,8503181992.598343,0.33056313359137135,0.012261433177376047,0.123467320852828,0.04926813740270397,0.06152957058008002,8677347710.08385,0.33314481309267363,8503181992.598343,0.33056313359137135,MISSING,1.0204824167749333
MORF_s60g60,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.60,Gmsh,Lesicar,Z,No,0,8515186483.704096,0.3303608994591841,0.012547351534861306,0.12343158105814234,0.048429366308355704,0.06097671784321701,8690401298.796751,0.3330171247017779,8515186483.704096,0.3303608994591841,MISSING,1.0205767443176932
MORF_s60g90,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.60,Gmsh,Lesicar,Z,No,0,,,,,,,,,MISSING,MISSING,MISSING,
MORF_s70g30,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8519396740.790671,0.33055368688148434,0.016999195721445703,0.12287510053481929,0.04440118551902472,0.061400381240470425,8650815624.242735,0.33231484200143097,8519396740.790671,0.33055368688148434,MISSING,1.0154258438068546
MORF_s70g60,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8526412293.99068,0.33046392031504734,0.01239425314322573,0.12345071835709678,0.04895500883838799,0.06134926198161372,8648760748.625767,0.33267924101110646,8526412293.99068,0.33046392031504734,MISSING,1.0143493476994205
MORF_s70g90,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.70,Gmsh,Lesicar,Z,No,0,8530711266.875131,0.33075533178936145,0.01232290362632682,0.12345963704670915,0.048973312166520344,0.061296215792847164,8649386651.695383,0.3326932312588443,8530711266.875131,0.33075533178936145,MISSING,1.0139115463069381
MORF_s80g30,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,8507723125.755853,0.33093336270060447,0.01393148635179764,0.1232585642060253,0.04910698437440075,0.06303847072619839,8599570063.54617,0.33229987872961436,8507723125.755853,0.33093336270060447,MISSING,1.010795713075366
MORF_s80g60,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,8526052219.772793,0.3309440535306857,0.012229800595694895,0.12347127492553814,0.04956965386045198,0.061799454456146874,8607049384.569725,0.33227881578161506,8526052219.772793,0.3309440535306857,MISSING,1.0094999611436921
MORF_s80g90,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,8511467445.973626,0.3310185157157215,0.011976023489106424,0.1235029970638617,0.05036038076520022,0.06233640425430664,8616519207.482647,0.3325689982357909,8511467445.973626,0.3310185157157215,MISSING,1.0123423795221957
MORF_s90g30,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.90,Gmsh,Lesicar,Z,No,0,8520361657.289333,0.33121573061342613,0.012002318339943807,0.12349971020750702,0.051894569382216815,0.06389688772216062,8555084017.034208,0.3318406090356454,8520361657.289333,0.33121573061342613,MISSING,1.0040752213510995
MORF_s90g60,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.90,Gmsh,Lesicar,Z,No,0,8518510363.569382,0.33112632336279746,0.01593189324919453,0.12300851334385068,0.04714463677249059,0.06307653002168512,8581785686.888855,0.3315954198936487,8518510363.569382,0.33112632336279746,MISSING,1.007427979848458
MORF_s90g90,0.50,0.033,Composite,9.4632e+09,0.33,0.062,0.035,0.012,0.05,2.2e9,0.90,Gmsh,Lesicar,Z,No,0,,,,,,,,,MISSING,MISSING,MISSING,
